COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Gopal Ponangi,Jared Elad,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2643,823,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,2,PCT 002,4822,662,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,3,PCT 003,2843,269,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,4,PCT 004,1439,166,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,5,PCT 005,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,6,PCT 012,2165,481,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,7,PCT 007,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,8,PCT 008,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,9,PCT 017,4322,106,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,10,PCT 010,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,11,PCT 020,1211,97,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,12,PCT 030,4857,608,0,191,411,0,6,Jared Elad,Jared
COLLI,13,PCT 038,3697,229,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,14,PCT 043,3386,365,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,15,PCT 044,1610,209,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,16,PCT 057,2215,338,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,17,PCT 087,2461,381,0,292,84,0,5,Gopal Ponangi,Gopal
COLLI,18,PCT 092,4501,230,0,114,115,0,1,Jared Elad,Jared
COLLI,19,PCT 019,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,20,PCT 096,1397,123,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,21,PCT 097,1307,475,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,22,PCT 098,1442,126,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,23,PCT 099,472,48,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,24,PCT 024,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,25,PCT 101,4147,290,0,102,187,0,1,Jared Elad,Jared
COLLI,26,PCT 102,2459,740,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,27,PCT 111,3005,299,0,85,211,0,3,Jared Elad,Jared
COLLI,28,PCT 117,4157,308,0,136,170,0,2,Jared Elad,Jared
COLLI,29,PCT 118,2553,242,0,99,142,0,2,Jared Elad,Jared
COLLI,30,PCT 122,981,270,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,31,PCT 031,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,32,PCT 126,4832,862,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,33,PCT 127,1929,141,0,64,74,0,3,Jared Elad,Jared
COLLI,34,PCT 129,4412,777,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,35,PCT 131,2996,707,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,36,PCT 134,4049,286,0,161,123,0,2,Gopal Ponangi,Gopal
COLLI,37,PCT 140,4627,1232,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,38,PCT 146,4685,352,0,176,171,0,5,Gopal Ponangi,Gopal
COLLI,39,PCT 149,4502,1021,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,40,PCT 040,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,41,PCT 155,1056,210,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,42,PCT 156,3678,609,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,43,PCT 043,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,44,PCT 162,752,15,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,45,PCT 163,2018,184,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,46,PCT 169,3425,509,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,47,PCT 172,2881,93,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,48,PCT 173,611,235,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,49,PCT 177,3461,150,0,48,99,0,3,Jared Elad,Jared
COLLI,50,PCT 050,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,51,PCT 180,3377,336,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,52,PCT 181,2643,66,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,53,PCT 053,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,54,PCT 184,3139,82,0,35,46,0,1,Jared Elad,Jared
COLLI,55,PCT 055,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,56,PCT 203,3032,818,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,57,PCT 204,103,32,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,58,PCT 058,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,59,PCT 206,1925,379,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,60,PCT 207,3922,555,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,61,PCT 208,2795,580,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,62,PCT 209,1124,82,0,10,5,0,0,Gopal Ponangi,Gopal
COLLI,63,PCT 211,3349,572,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,64,PCT 212,2598,399,0,204,193,0,2,Gopal Ponangi,Gopal
COLLI,65,PCT 213,3593,361,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,66,PCT 220,5706,707,0,559,144,0,4,Gopal Ponangi,Gopal
COLLI,67,PCT 221,5091,1256,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,68,PCT 225,3841,509,0,315,192,0,2,Gopal Ponangi,Gopal
COLLI,69,PCT 226,4251,472,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,70,PCT 229,2351,157,0,68,89,0,0,Jared Elad,Jared
COLLI,71,PCT 230,4736,411,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,72,PCT 231,4159,646,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,73,PCT 234,3422,397,0,213,179,0,5,Gopal Ponangi,Gopal
COLLI,74,PCT 236,2910,665,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,75,PCT 238,3876,325,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,76,PCT 242,3479,474,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,77,PCT 244,3101,279,0,136,137,0,5,Jared Elad,Jared
COLLI,78,PCT 245,2599,115,0,48,64,0,3,Jared Elad,Jared
COLLI,79,PCT 248,2274,121,0,56,65,0,0,Jared Elad,Jared
COLLI,80,PCT 249,4441,173,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,81,PCT 250,4017,640,0,459,175,0,6,Gopal Ponangi,Gopal
COLLI,82,PCT 082,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,83,LB 01,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,84,LB 02,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,85,PCT 085,37,3,0,2,2,0,0,Gopal Ponangi,Gopal
COLLI,86,PCT 086,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,87,PCT 087,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,88,PCT 088,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,89,PCT 089,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,90,PCT 090,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,91,PCT 091,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,92,PCT 092,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,93,PCT 093,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,94,PCT 094,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,95,PCT 095,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,96,PCT 096,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,97,PCT 097,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,98,PCT 098,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,99,PCT 099,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,100,PCT 100,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,101,PCT 101,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,102,PCT 102,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,103,PCT 103,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,104,PCT 104,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,105,PCT 105,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,106,PCT 106,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,107,PCT 107,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,108,PCT 108,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,109,PCT 109,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,110,PCT 110,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,111,PCT 111,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,112,PCT 112,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,113,PCT 113,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,114,PCT 114,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,115,PCT 115,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
COLLI,116,PCT 116,0,0,0,0,0,0,0,Gopal Ponangi,Gopal
