COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Joshua Murray,REP Chris Hill,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,605,850,0,36,REP Chris Hill,REP
COLL,2,PCT 002,4654,2084,0,990,1042,0,52,REP Chris Hill,REP
COLL,3,PCT 003,2863,840,0,551,249,0,40,DEM Joshua Murray,DEM
COLL,4,PCT 004,3016,1694,0,490,1162,0,42,REP Chris Hill,REP
COLL,5,PCT 005,1029,576,0,185,377,0,14,REP Chris Hill,REP
COLL,6,PCT 006,1616,744,1,409,314,0,21,DEM Joshua Murray,DEM
COLL,7,PCT 007,1549,790,0,361,400,0,29,REP Chris Hill,REP
COLL,8,PCT 008,2720,1247,1,353,850,0,44,REP Chris Hill,REP
COLL,9,PCT 009,2455,1170,0,458,678,0,33,REP Chris Hill,REP
COLL,10,PCT 010,927,520,0,75,433,0,12,REP Chris Hill,REP
COLL,11,PCT 011,4412,2219,0,423,1735,0,61,REP Chris Hill,REP
COLL,12,PCT 012,2149,1253,1,431,787,0,35,REP Chris Hill,REP
COLL,13,PCT 013,2011,1249,0,317,914,0,17,REP Chris Hill,REP
COLL,14,PCT 014,3268,1576,0,833,700,0,43,DEM Joshua Murray,DEM
COLL,15,PCT 015,1650,766,0,375,360,0,31,DEM Joshua Murray,DEM
COLL,16,PCT 016,1986,1057,0,328,706,0,23,REP Chris Hill,REP
COLL,17,PCT 017,3236,1595,0,590,960,0,45,REP Chris Hill,REP
COLL,18,PCT 018,1001,498,1,82,402,0,14,REP Chris Hill,REP
COLL,19,PCT 019,1644,1038,0,451,549,0,38,REP Chris Hill,REP
COLL,20,PCT 020,995,655,0,131,505,0,19,REP Chris Hill,REP
COLL,21,PCT 021,4296,2537,1,1188,1255,0,94,REP Chris Hill,REP
COLL,22,PCT 022,4014,2199,0,395,1754,0,49,REP Chris Hill,REP
COLL,23,PCT 023,3117,1022,1,702,280,0,40,DEM Joshua Murray,DEM
COLL,24,PCT 024,2375,927,5,583,317,0,27,DEM Joshua Murray,DEM
COLL,25,PCT 025,3943,2150,8,1008,1071,0,71,REP Chris Hill,REP
COLL,26,PCT 026,1314,568,0,263,284,0,21,REP Chris Hill,REP
COLL,27,PCT 027,2741,1317,0,539,739,0,39,REP Chris Hill,REP
COLL,28,PCT 028,3618,2032,0,944,1016,0,72,REP Chris Hill,REP
COLL,29,PCT 029,2462,1383,0,388,961,0,34,REP Chris Hill,REP
COLL,30,PCT 030,1002,530,0,201,315,0,14,REP Chris Hill,REP
COLL,31,PCT 031,2058,1365,0,565,763,0,37,REP Chris Hill,REP
COLL,32,PCT 032,2493,1546,0,639,852,0,55,REP Chris Hill,REP
COLL,33,PCT 033,2508,1376,0,389,949,0,38,REP Chris Hill,REP
COLL,34,PCT 034,4438,2448,0,1288,1071,0,89,DEM Joshua Murray,DEM
COLL,35,PCT 035,1733,887,0,146,712,0,29,REP Chris Hill,REP
COLL,36,PCT 036,1985,1296,4,434,811,0,51,REP Chris Hill,REP
COLL,37,PCT 037,2571,1392,1,203,1150,0,39,REP Chris Hill,REP
COLL,38,PCT 038,3167,1369,0,702,624,0,43,DEM Joshua Murray,DEM
COLL,39,PCT 039,3081,1510,0,823,629,0,58,DEM Joshua Murray,DEM
