COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Ben Smith,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,1163,0,763,Rep Ben Smith,Rep
COLL,2,PCT 002,4987,2989,0,1682,0,1307,Rep Ben Smith,Rep
COLL,3,PCT 003,2976,1371,2,568,0,803,Rep Ben Smith,Rep
COLL,4,PCT 004,3793,2858,2,1996,0,862,Rep Ben Smith,Rep
COLL,5,PCT 005,1043,733,3,485,0,248,Rep Ben Smith,Rep
COLL,6,PCT 006,1650,1109,0,624,0,485,Rep Ben Smith,Rep
COLL,7,PCT 007,1580,1035,0,572,0,463,Rep Ben Smith,Rep
COLL,8,PCT 008,4685,3105,0,2023,0,1082,Rep Ben Smith,Rep
COLL,9,PCT 009,3563,2363,1,1489,0,874,Rep Ben Smith,Rep
COLL,10,PCT 010,997,715,0,565,0,150,Rep Ben Smith,Rep
COLL,11,PCT 011,4854,3314,1,2528,0,786,Rep Ben Smith,Rep
COLL,12,PCT 012,2195,1618,0,1067,0,551,Rep Ben Smith,Rep
COLL,13,PCT 013,2981,2319,0,1719,0,600,Rep Ben Smith,Rep
COLL,14,PCT 014,3407,2279,0,1211,0,1068,Rep Ben Smith,Rep
COLL,15,PCT 015,1670,981,3,516,0,465,Rep Ben Smith,Rep
COLL,16,PCT 016,2517,1840,0,1267,0,573,Rep Ben Smith,Rep
COLL,17,PCT 017,4072,2717,0,1802,0,916,Rep Ben Smith,Rep
COLL,18,PCT 018,1088,731,0,573,0,158,Rep Ben Smith,Rep
COLL,19,PCT 019,1611,1208,0,682,0,526,Rep Ben Smith,Rep
COLL,20,PCT 020,2184,1684,2,1180,0,504,Rep Ben Smith,Rep
COLL,21,PCT 021,4375,3105,2,1688,0,1417,Rep Ben Smith,Rep
COLL,22,PCT 022,4553,3315,0,2551,0,764,Rep Ben Smith,Rep
COLL,23,PCT 023,3580,1874,3,764,0,1110,Rep Ben Smith,Rep
COLL,24,PCT 024,2229,1201,11,543,0,658,Rep Ben Smith,Rep
COLL,25,PCT 025,4119,2900,1,1594,0,1306,Rep Ben Smith,Rep
COLL,26,PCT 026,1280,739,0,423,0,316,Rep Ben Smith,Rep
COLL,27,PCT 027,2812,1880,0,1157,0,723,Rep Ben Smith,Rep
COLL,28,PCT 028,3641,2445,0,1343,0,1102,Rep Ben Smith,Rep
COLL,29,PCT 029,3332,2504,1,1771,0,732,Rep Ben Smith,Rep
COLL,30,PCT 030,1024,704,0,434,0,270,Rep Ben Smith,Rep
COLL,31,PCT 031,2067,1577,0,945,0,632,Rep Ben Smith,Rep
COLL,32,PCT 032,2504,1865,0,1091,0,774,Rep Ben Smith,Rep
COLL,33,PCT 033,3396,2414,1,1656,0,759,Rep Ben Smith,Rep
COLL,34,PCT 034,4401,3041,2,1566,0,1475,Rep Ben Smith,Rep
COLL,35,PCT 035,1861,1293,0,1012,0,281,Rep Ben Smith,Rep
COLL,36,PCT 036,1966,1503,14,993,0,510,Rep Ben Smith,Rep
COLL,37,PCT 037,2779,1966,0,1609,0,357,Rep Ben Smith,Rep
COLL,38,PCT 038,3899,2387,0,1304,0,1083,Rep Ben Smith,Rep
COLL,39,PCT 039,3035,1905,1,930,0,975,Rep Ben Smith,Rep
COLL,40,PCT 040,3639,2556,0,1666,0,890,Rep Ben Smith,Rep
COLL,41,PCT 041,1869,1386,0,968,0,418,Rep Ben Smith,Rep
COLL,42,PCT 042,2302,1548,0,1151,0,397,Rep Ben Smith,Rep
COLL,43,PCT 043,3543,2121,0,1155,0,966,Rep Ben Smith,Rep
COLL,44,PCT 044,1697,924,1,504,0,420,Rep Ben Smith,Rep
COLL,45,PCT 045,3501,2475,0,1589,0,886,Rep Ben Smith,Rep
COLL,46,PCT 046,3182,1797,1,844,0,953,Rep Ben Smith,Rep
COLL,47,PCT 047,2634,1822,1,944,0,878,Rep Ben Smith,Rep
COLL,48,PCT 048,3837,2712,0,1429,0,1283,Rep Ben Smith,Rep
COLL,49,PCT 049,2425,1806,0,1022,0,784,Rep Ben Smith,Rep
COLL,50,PCT 050,3289,1773,1,792,0,981,Rep Ben Smith,Rep
COLL,51,PCT 051,1854,1006,0,485,0,521,Rep Ben Smith,Rep
COLL,52,PCT 052,4768,2909,2,1345,0,1564,Rep Ben Smith,Rep
