COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM Robert Johnson,"REP Jesse F. McClure, III",OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party,pct_int
COLL,1,PCT 001,2737,1491,0,592,846,0,53,"REP Jesse F. McClure, III",REP,1
COLL,2,PCT 002,4654,2084,0,992,1043,0,49,"REP Jesse F. McClure, III",REP,2
COLL,3,PCT 003,2863,840,0,547,242,0,51,DEM Robert Johnson,DEM,103
COLL,4,PCT 004,3016,1694,0,483,1171,0,40,"REP Jesse F. McClure, III",REP,4
COLL,5,PCT 005,1029,576,0,182,375,0,19,"REP Jesse F. McClure, III",REP,5
COLL,6,PCT 006,1616,744,1,400,324,0,20,DEM Robert Johnson,DEM,6
COLL,7,PCT 007,1549,790,0,366,394,0,30,"REP Jesse F. McClure, III",REP,7
COLL,8,PCT 008,2720,1247,1,351,844,0,52,"REP Jesse F. McClure, III",REP,6
COLL,9,PCT 009,2455,1170,0,440,690,0,40,"REP Jesse F. McClure, III",REP,7
COLL,10,PCT 010,927,520,0,72,434,0,14,"REP Jesse F. McClure, III",REP,208
COLL,11,PCT 011,4412,2219,0,395,1750,0,74,"REP Jesse F. McClure, III",REP,11
COLL,12,PCT 012,2149,1253,1,429,781,0,43,"REP Jesse F. McClure, III",REP,12
COLL,13,PCT 013,2011,1249,0,311,917,0,21,"REP Jesse F. McClure, III",REP,12
COLL,14,PCT 014,3268,1576,0,838,690,0,48,DEM Robert Johnson,DEM,14
COLL,15,PCT 015,1650,766,0,375,359,0,32,DEM Robert Johnson,DEM,15
COLL,16,PCT 016,1986,1057,0,317,711,0,29,"REP Jesse F. McClure, III",REP,7
COLL,17,PCT 017,3236,1595,0,580,967,0,48,"REP Jesse F. McClure, III",REP,12
COLL,18,PCT 018,1001,498,1,78,402,0,18,"REP Jesse F. McClure, III",REP,206
COLL,19,PCT 019,1644,1038,0,445,549,0,44,"REP Jesse F. McClure, III",REP,19
COLL,20,PCT 020,995,655,0,125,507,0,23,"REP Jesse F. McClure, III",REP,20
COLL,21,PCT 021,4296,2537,1,1187,1244,0,106,"REP Jesse F. McClure, III",REP,21
COLL,22,PCT 022,4014,2199,0,391,1752,0,56,"REP Jesse F. McClure, III",REP,20
COLL,23,PCT 023,3117,1022,1,693,285,0,44,DEM Robert Johnson,DEM,23
COLL,24,PCT 024,2375,927,5,570,319,0,38,DEM Robert Johnson,DEM,24
COLL,25,PCT 025,3943,2150,8,990,1080,0,80,"REP Jesse F. McClure, III",REP,25
COLL,26,PCT 026,1314,568,0,263,282,0,23,"REP Jesse F. McClure, III",REP,26
COLL,27,PCT 027,2741,1317,0,531,730,0,56,"REP Jesse F. McClure, III",REP,27
COLL,28,PCT 028,3618,2032,0,942,1004,0,86,"REP Jesse F. McClure, III",REP,28
COLL,29,PCT 029,2462,1383,0,382,959,0,42,"REP Jesse F. McClure, III",REP,18
