COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Christine Vinh Weems,Rep John Devine,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,777,1040,0,109,Rep John Devine,Rep
COLL,2,PCT 002,4987,2989,0,1328,1451,0,210,Rep John Devine,Rep
COLL,3,PCT 003,2976,1371,2,796,442,0,133,Dem Christine Vinh Weems,Dem
COLL,4,PCT 004,3793,2858,2,881,1829,0,148,Rep John Devine,Rep
COLL,5,PCT 005,1043,733,3,220,454,0,59,Rep John Devine,Rep
COLL,6,PCT 006,1650,1109,0,540,495,0,74,Dem Christine Vinh Weems,Dem
COLL,7,PCT 007,1580,1035,0,432,523,0,80,Rep John Devine,Rep
COLL,8,PCT 008,4685,3105,0,1032,1860,0,213,Rep John Devine,Rep
COLL,9,PCT 009,3563,2363,1,910,1299,0,154,Rep John Devine,Rep
COLL,10,PCT 010,997,715,0,102,570,0,43,Rep John Devine,Rep
COLL,11,PCT 011,4854,3314,1,642,2447,0,225,Rep John Devine,Rep
COLL,12,PCT 012,2195,1618,0,535,987,0,96,Rep John Devine,Rep
COLL,13,PCT 013,2981,2319,0,648,1590,0,80,Rep John Devine,Rep
COLL,14,PCT 014,3407,2279,0,1135,986,0,158,Dem Christine Vinh Weems,Dem
COLL,15,PCT 015,1670,981,3,475,434,0,72,Dem Christine Vinh Weems,Dem
COLL,16,PCT 016,2517,1840,0,584,1154,0,102,Rep John Devine,Rep
COLL,17,PCT 017,4072,2717,0,955,1609,0,153,Rep John Devine,Rep
COLL,18,PCT 018,1088,731,0,121,571,0,39,Rep John Devine,Rep
COLL,19,PCT 019,1611,1208,0,517,633,0,58,Rep John Devine,Rep
COLL,20,PCT 020,2184,1684,2,508,1086,0,90,Rep John Devine,Rep
COLL,21,PCT 021,4375,3105,2,1468,1461,0,176,Dem Christine Vinh Weems,Dem
