COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Darrel Evans,Rep Candy Noble,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,2,PCT 002,4987,2989,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,3,PCT 003,2976,1371,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,4,PCT 004,3793,2858,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,5,PCT 005,1043,733,3,0,0,0,0,Dem Darrel Evans,Dem
COLL,6,PCT 006,1650,1109,0,543,503,0,63,Dem Darrel Evans,Dem
COLL,7,PCT 007,1580,1035,0,417,542,0,76,Rep Candy Noble,Rep
COLL,8,PCT 008,4685,3105,0,1002,1860,0,243,Rep Candy Noble,Rep
COLL,9,PCT 009,3563,2363,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,10,PCT 010,997,715,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,11,PCT 011,4854,3314,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,12,PCT 012,2195,1618,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,13,PCT 013,2981,2319,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,14,PCT 014,3407,2279,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,15,PCT 015,1670,981,3,0,0,0,0,Dem Darrel Evans,Dem
COLL,16,PCT 016,2517,1840,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,17,PCT 017,4072,2717,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,18,PCT 018,1088,731,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,19,PCT 019,1611,1208,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,20,PCT 020,2184,1684,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,21,PCT 021,4375,3105,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,22,PCT 022,4553,3315,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,23,PCT 023,3580,1874,3,0,0,0,0,Dem Darrel Evans,Dem
COLL,24,PCT 024,2229,1201,11,0,0,0,0,Dem Darrel Evans,Dem
COLL,25,PCT 025,4119,2900,1,1238,1416,0,246,Rep Candy Noble,Rep
COLL,26,PCT 026,1280,739,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,27,PCT 027,2812,1880,0,703,1058,0,119,Rep Candy Noble,Rep
COLL,28,PCT 028,3641,2445,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,29,PCT 029,3332,2504,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,30,PCT 030,1024,704,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,31,PCT 031,2067,1577,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,32,PCT 032,2504,1865,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,33,PCT 033,3396,2414,1,702,1567,0,145,Rep Candy Noble,Rep
COLL,34,PCT 034,4401,3041,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,35,PCT 035,1861,1293,0,204,1010,0,79,Rep Candy Noble,Rep
COLL,36,PCT 036,1966,1503,14,0,0,0,0,Dem Darrel Evans,Dem
COLL,37,PCT 037,2779,1966,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,38,PCT 038,3899,2387,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,39,PCT 039,3035,1905,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,40,PCT 040,3639,2556,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,41,PCT 041,1869,1386,0,436,879,0,71,Rep Candy Noble,Rep
COLL,42,PCT 042,2302,1548,0,354,1099,0,95,Rep Candy Noble,Rep
COLL,43,PCT 043,3543,2121,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,44,PCT 044,1697,924,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,45,PCT 045,3501,2475,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,46,PCT 046,3182,1797,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,47,PCT 047,2634,1822,1,898,823,0,101,Dem Darrel Evans,Dem
COLL,48,PCT 048,3837,2712,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,49,PCT 049,2425,1806,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,50,PCT 050,3289,1773,1,962,634,0,177,Dem Darrel Evans,Dem
COLL,51,PCT 051,1854,1006,0,521,404,0,81,Dem Darrel Evans,Dem
COLL,52,PCT 052,4768,2909,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,53,PCT 053,2224,1662,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,54,PCT 054,3726,2254,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,55,PCT 055,4272,2791,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,56,PCT 056,3558,2429,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,57,PCT 057,1581,1035,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,58,PCT 058,3671,2397,3,0,0,0,0,Dem Darrel Evans,Dem
COLL,59,PCT 059,4034,2725,0,994,1539,0,192,Rep Candy Noble,Rep
COLL,60,PCT 060,3282,2489,0,818,1516,0,155,Rep Candy Noble,Rep
COLL,61,PCT 061,1688,1214,0,501,654,0,59,Rep Candy Noble,Rep
COLL,62,PCT 062,2524,1721,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,63,PCT 063,2074,1604,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,64,PCT 064,2695,1840,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,65,PCT 065,1249,847,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,66,PCT 066,2197,1497,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,67,PCT 067,3003,1995,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,68,PCT 068,2042,1285,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,69,PCT 069,3878,2831,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,70,PCT 070,1912,1416,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,71,PCT 071,1812,1314,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,72,PCT 072,1732,1249,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,73,PCT 073,1936,1122,6,0,0,0,0,Dem Darrel Evans,Dem
COLL,74,PCT 074,1988,1373,9,0,0,0,0,Dem Darrel Evans,Dem
COLL,75,PCT 075,2381,1701,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,76,PCT 076,3331,2363,4,0,0,0,0,Dem Darrel Evans,Dem
COLL,77,PCT 077,3677,2432,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,78,PCT 078,4899,3053,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,79,PCT 079,2773,1660,17,0,0,0,0,Dem Darrel Evans,Dem
COLL,80,PCT 080,3657,2509,0,1057,1287,0,165,Rep Candy Noble,Rep
COLL,81,PCT 081,2973,2031,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,82,PCT 082,3005,1870,0,863,894,0,113,Rep Candy Noble,Rep
COLL,83,PCT 083,4265,2914,1,920,1835,0,159,Rep Candy Noble,Rep
COLL,84,PCT 084,2541,1705,11,0,0,0,0,Dem Darrel Evans,Dem
COLL,85,PCT 085,3423,2301,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,86,PCT 086,3050,2194,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,87,PCT 087,3486,2531,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,88,PCT 088,1661,726,7,0,0,0,0,Dem Darrel Evans,Dem
COLL,89,PCT 089,3267,2264,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,90,PCT 090,3268,2400,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,91,PCT 091,2325,1659,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,92,PCT 092,4619,2877,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,93,PCT 093,297,222,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,94,PCT 094,4318,3088,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,95,PCT 095,3171,2237,0,958,1113,0,166,Rep Candy Noble,Rep
COLL,96,PCT 096,1509,782,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,97,PCT 097,1344,1070,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,98,PCT 098,1618,1019,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,99,PCT 099,403,257,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,100,PCT 100,1545,1024,0,331,613,0,80,Rep Candy Noble,Rep
COLL,101,PCT 101,4300,2865,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,102,PCT 102,2555,1957,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,103,PCT 103,1419,810,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,104,PCT 104,2426,1167,4,0,0,0,0,Dem Darrel Evans,Dem
COLL,105,PCT 105,173,115,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,106,PCT 106,1869,1255,1,560,620,0,75,Rep Candy Noble,Rep
COLL,107,PCT 107,3373,2417,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,108,PCT 108,2997,2047,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,109,PCT 109,4859,3312,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,110,PCT 110,2816,1947,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,111,PCT 111,3096,2183,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,112,PCT 112,3166,2322,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,113,PCT 113,3351,2087,0,928,1024,0,135,Rep Candy Noble,Rep
COLL,114,PCT 114,4252,3062,0,1116,1743,0,203,Rep Candy Noble,Rep
COLL,115,PCT 115,2995,2123,15,0,0,0,0,Dem Darrel Evans,Dem
COLL,116,PCT 116,5006,3553,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,117,PCT 117,4426,2934,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,118,PCT 118,4297,2996,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,119,PCT 119,2398,1696,2,0,0,0,0,Dem Darrel Evans,Dem
COLL,120,PCT 120,3653,2693,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,121,PCT 121,2892,1952,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,122,PCT 122,4972,3708,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,123,PCT 123,2078,1458,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,124,PCT 124,3288,2171,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,125,PCT 125,2250,1532,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,126,PCT 126,4969,3443,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,127,PCT 127,3929,2671,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,128,PCT 128,3137,2395,0,592,1669,0,134,Rep Candy Noble,Rep
COLL,129,PCT 129,4643,3072,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,130,PCT 130,3972,2813,1,0,0,0,0,Dem Darrel Evans,Dem
COLL,131,PCT 131,3151,2136,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,132,PCT 132,2874,2016,6,0,0,0,0,Dem Darrel Evans,Dem
COLL,133,PCT 133,2939,1791,0,707,968,0,116,Rep Candy Noble,Rep
COLL,134,PCT 134,4149,2771,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,135,PCT 135,4286,2900,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,136,PCT 136,1978,1427,10,0,0,0,0,Dem Darrel Evans,Dem
COLL,137,PCT 137,2004,1418,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,138,PCT 138,2349,1774,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,139,PCT 139,4130,2721,0,0,0,0,0,Dem Darrel Evans,Dem
COLL,140,PCT 140,4848,3591,0,0,0,0,0,Dem Darrel Evans,Dem
