COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Dem Tina Clinton,Rep Matthew J. Kolodoski,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2782,1926,0,760,1030,0,136,Rep Matthew J. Kolodoski,Rep
COLL,10,PCT 010,868,625,0,93,491,0,41,Rep Matthew J. Kolodoski,Rep
COLL,100,PCT 100,25,8,0,5,2,0,1,Dem Tina Clinton,Dem
COLL,101,PCT 101,4300,2865,0,1231,1449,0,185,Rep Matthew J. Kolodoski,Rep
COLL,102,PCT 102,2555,1957,0,616,1227,0,114,Rep Matthew J. Kolodoski,Rep
COLL,103,PCT 103,1419,810,0,401,334,0,75,Dem Tina Clinton,Dem
COLL,104,PCT 104,2426,1167,4,710,373,0,84,Dem Tina Clinton,Dem
COLL,105,PCT 105,173,115,0,65,42,0,8,Dem Tina Clinton,Dem
COLL,106,PCT 106,1869,1255,1,571,604,0,80,Rep Matthew J. Kolodoski,Rep
COLL,107,PCT 107,3373,2417,0,1147,1094,0,176,Dem Tina Clinton,Dem
COLL,108,PCT 108,2997,2047,1,997,871,0,179,Dem Tina Clinton,Dem
COLL,109,PCT 109,4859,3312,0,1260,1807,0,245,Rep Matthew J. Kolodoski,Rep
COLL,11,PCT 011,5011,3421,1,664,2512,0,245,Rep Matthew J. Kolodoski,Rep
COLL,110,PCT 110,2816,1947,1,857,964,0,126,Rep Matthew J. Kolodoski,Rep
COLL,111,PCT 111,3096,2183,0,648,1388,0,147,Rep Matthew J. Kolodoski,Rep
COLL,112,PCT 112,3166,2322,0,992,1154,0,176,Rep Matthew J. Kolodoski,Rep
COLL,113,PCT 113,3351,2087,0,949,977,0,161,Rep Matthew J. Kolodoski,Rep
COLL,114,PCT 114,4252,3062,0,1117,1712,1,232,Rep Matthew J. Kolodoski,Rep
COLL,115,PCT 115,2995,2123,15,1006,948,0,169,Dem Tina Clinton,Dem
COLL,116,PCT 116,5006,3553,1,1461,1842,0,250,Rep Matthew J. Kolodoski,Rep
COLL,117,PCT 117,4426,2934,2,1268,1419,0,247,Rep Matthew J. Kolodoski,Rep
COLL,118,PCT 118,4297,2996,0,1122,1614,0,260,Rep Matthew J. Kolodoski,Rep
COLL,119,PCT 119,2398,1696,2,735,845,0,116,Rep Matthew J. Kolodoski,Rep
COLL,12,PCT 012,2195,1618,0,520,980,0,118,Rep Matthew J. Kolodoski,Rep
COLL,120,PCT 120,3653,2693,0,987,1514,0,192,Rep Matthew J. Kolodoski,Rep
COLL,121,PCT 121,2892,1952,1,1029,794,0,129,Dem Tina Clinton,Dem
COLL,122,PCT 122,4972,3708,1,1104,2335,0,269,Rep Matthew J. Kolodoski,Rep
COLL,123,PCT 123,2078,1458,0,599,774,0,85,Rep Matthew J. Kolodoski,Rep
COLL,124,PCT 124,3288,2171,1,1001,999,0,171,Dem Tina Clinton,Dem
COLL,125,PCT 125,5295,3605,1,1772,1462,0,371,Dem Tina Clinton,Dem
COLL,126,PCT 126,4969,3443,0,1475,1716,0,252,Rep Matthew J. Kolodoski,Rep
COLL,127,PCT 127,3929,2671,1,1182,1240,0,249,Rep Matthew J. Kolodoski,Rep
COLL,128,PCT 128,3137,2395,0,530,1717,0,148,Rep Matthew J. Kolodoski,Rep
COLL,129,PCT 129,4643,3072,0,1243,1599,0,230,Rep Matthew J. Kolodoski,Rep
COLL,13,PCT 013,3241,2521,0,675,1731,0,115,Rep Matthew J. Kolodoski,Rep
COLL,130,PCT 130,3972,2813,1,1277,1313,0,223,Rep Matthew J. Kolodoski,Rep
COLL,131,PCT 131,3151,2136,0,723,1245,0,168,Rep Matthew J. Kolodoski,Rep
COLL,132,PCT 132,2874,2016,6,1036,851,0,129,Dem Tina Clinton,Dem
COLL,133,PCT 133,2939,1791,0,727,922,0,142,Rep Matthew J. Kolodoski,Rep
COLL,134,PCT 134,4149,2771,0,1273,1258,0,240,Dem Tina Clinton,Dem
COLL,135,PCT 135,4286,2900,0,1388,1262,0,250,Dem Tina Clinton,Dem
COLL,136,PCT 136,1978,1427,10,615,726,0,86,Rep Matthew J. Kolodoski,Rep
COLL,137,PCT 137,2004,1418,0,553,787,0,78,Rep Matthew J. Kolodoski,Rep
COLL,138,PCT 138,2349,1774,0,832,808,0,134,Dem Tina Clinton,Dem
COLL,139,PCT 139,4130,2721,0,1321,1173,0,227,Dem Tina Clinton,Dem
COLL,14,PCT 014,3407,2279,0,1105,976,0,198,Dem Tina Clinton,Dem
COLL,140,PCT 140,4848,3591,0,1135,2214,0,242,Rep Matthew J. Kolodoski,Rep
COLL,141,PCT 141,3514,2511,0,1146,1195,0,170,Rep Matthew J. Kolodoski,Rep
COLL,142,PCT 142,2797,2040,17,962,928,0,150,Dem Tina Clinton,Dem
COLL,143,PCT 143,2165,1543,0,609,838,0,96,Rep Matthew J. Kolodoski,Rep
COLL,144,PCT 144,2956,2072,1,795,1091,0,186,Rep Matthew J. Kolodoski,Rep
COLL,145,PCT 145,1780,1237,1,570,564,0,103,Dem Tina Clinton,Dem
COLL,146,PCT 146,4860,3233,0,1418,1556,0,259,Rep Matthew J. Kolodoski,Rep
COLL,147,PCT 147,2281,1409,0,636,654,0,119,Rep Matthew J. Kolodoski,Rep
COLL,148,PCT 148,1133,851,0,315,410,0,126,Rep Matthew J. Kolodoski,Rep
COLL,149,PCT 149,4621,3310,0,1203,1870,0,237,Rep Matthew J. Kolodoski,Rep
COLL,15,PCT 015,1670,981,3,455,443,0,83,Dem Tina Clinton,Dem
COLL,150,PCT 150,4928,3948,0,1361,2342,0,245,Rep Matthew J. Kolodoski,Rep
COLL,151,PCT 151,1856,1296,0,607,583,0,106,Dem Tina Clinton,Dem
COLL,152,PCT 152,231,119,0,73,39,0,7,Dem Tina Clinton,Dem
COLL,153,PCT 153,5328,3739,2,1453,1970,0,316,Rep Matthew J. Kolodoski,Rep
COLL,154,PCT 154,2773,2103,0,417,1567,0,119,Rep Matthew J. Kolodoski,Rep
COLL,155,PCT 155,3016,2129,1,790,1196,0,143,Rep Matthew J. Kolodoski,Rep
COLL,156,PCT 156,3797,2569,0,1051,1313,0,205,Rep Matthew J. Kolodoski,Rep
COLL,157,PCT 157,4358,3111,1,1377,1507,0,227,Rep Matthew J. Kolodoski,Rep
COLL,158,PCT 158,2851,1955,0,931,853,0,171,Dem Tina Clinton,Dem
COLL,159,PCT 159,3385,2049,1,894,946,0,209,Rep Matthew J. Kolodoski,Rep
COLL,16,PCT 016,5869,4290,1,1336,2670,0,284,Rep Matthew J. Kolodoski,Rep
COLL,160,PCT 160,530,430,0,64,347,0,19,Rep Matthew J. Kolodoski,Rep
COLL,161,PCT 161,298,192,0,51,128,0,13,Rep Matthew J. Kolodoski,Rep
COLL,162,PCT 162,687,558,0,155,376,0,27,Rep Matthew J. Kolodoski,Rep
COLL,163,PCT 163,2188,1474,0,560,782,0,132,Rep Matthew J. Kolodoski,Rep
COLL,164,PCT 164,2330,1845,80,719,947,0,179,Rep Matthew J. Kolodoski,Rep
COLL,165,PCT 165,972,736,0,219,459,0,58,Rep Matthew J. Kolodoski,Rep
COLL,166,PCT 166,4384,3051,0,1241,1521,0,289,Rep Matthew J. Kolodoski,Rep
