COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Lauren Tyra,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2645,717,0,0,0,0,Lauren Tyra,Lauren
COLLI,10,PCT 010,872,33,0,0,0,0,Lauren Tyra,Lauren
COLLI,101,PCT 101,4122,431,0,0,0,0,Lauren Tyra,Lauren
COLLI,102,PCT 102,2457,715,0,0,0,0,Lauren Tyra,Lauren
COLLI,103,PCT 103,1365,98,0,66,0,32,Lauren Tyra,Lauren
COLLI,104,PCT 104,2138,100,0,55,0,45,Lauren Tyra,Lauren
COLLI,106,PCT 106,1805,72,0,0,0,0,Lauren Tyra,Lauren
COLLI,107,PCT 107,3260,554,0,345,0,209,Lauren Tyra,Lauren
COLLI,108,PCT 108,2927,309,0,200,0,109,Lauren Tyra,Lauren
COLLI,109,PCT 109,4630,546,0,296,0,240,Lauren Tyra,Lauren
COLLI,11,PCT 011,4912,48,0,0,0,0,Lauren Tyra,Lauren
COLLI,110,PCT 110,2732,484,0,264,0,220,Lauren Tyra,Lauren
COLLI,111,PCT 111,2994,370,0,0,0,0,Lauren Tyra,Lauren
COLLI,112,PCT 112,3081,414,0,263,0,151,Lauren Tyra,Lauren
COLLI,113,PCT 113,3212,102,0,0,0,0,Lauren Tyra,Lauren
COLLI,114,PCT 114,4571,35,0,0,0,0,Lauren Tyra,Lauren
COLLI,115,PCT 115,2892,392,0,204,0,188,Lauren Tyra,Lauren
COLLI,116,PCT 116,4943,638,0,386,0,252,Lauren Tyra,Lauren
COLLI,117,PCT 117,4154,452,0,0,0,0,Lauren Tyra,Lauren
COLLI,118,PCT 118,4124,581,0,0,0,0,Lauren Tyra,Lauren
COLLI,119,PCT 119,2297,331,0,192,0,139,Lauren Tyra,Lauren
COLLI,12,PCT 012,2154,434,0,0,0,0,Lauren Tyra,Lauren
COLLI,120,PCT 120,3488,194,0,0,0,0,Lauren Tyra,Lauren
COLLI,121,PCT 121,2792,307,0,214,0,93,Lauren Tyra,Lauren
COLLI,122,PCT 122,4786,1042,0,0,0,0,Lauren Tyra,Lauren
COLLI,123,PCT 123,2000,214,0,117,0,97,Lauren Tyra,Lauren
COLLI,124,PCT 124,3092,301,0,192,0,109,Lauren Tyra,Lauren
COLLI,125,PCT 125,5126,750,0,376,0,374,Lauren Tyra,Lauren
COLLI,126,PCT 126,4824,717,0,0,0,0,Lauren Tyra,Lauren
COLLI,127,PCT 127,3831,455,0,0,0,0,Lauren Tyra,Lauren
COLLI,128,PCT 128,3073,868,0,0,0,0,Lauren Tyra,Lauren
COLLI,129,PCT 129,4378,667,0,0,0,0,Lauren Tyra,Lauren
COLLI,13,PCT 013,3378,217,0,0,0,0,Lauren Tyra,Lauren
COLLI,130,PCT 130,3851,225,0,113,0,49,Lauren Tyra,Lauren
COLLI,131,PCT 131,2976,601,0,0,0,0,Lauren Tyra,Lauren
COLLI,132,PCT 132,2725,322,0,180,0,142,Lauren Tyra,Lauren
COLLI,133,PCT 133,2867,140,0,0,0,0,Lauren Tyra,Lauren
COLLI,134,PCT 134,4030,439,0,0,0,0,Lauren Tyra,Lauren
COLLI,135,PCT 135,4083,390,0,0,0,0,Lauren Tyra,Lauren
COLLI,136,PCT 136,1901,304,0,138,0,166,Lauren Tyra,Lauren
COLLI,137,PCT 137,1951,225,0,131,0,94,Lauren Tyra,Lauren
COLLI,138,PCT 138,2381,275,0,188,0,87,Lauren Tyra,Lauren
COLLI,139,PCT 139,3814,383,0,0,0,0,Lauren Tyra,Lauren
COLLI,14,PCT 014,3240,238,0,0,0,0,Lauren Tyra,Lauren
COLLI,140,PCT 140,4611,938,0,0,0,0,Lauren Tyra,Lauren
COLLI,141,PCT 141,3441,508,0,335,0,173,Lauren Tyra,Lauren
COLLI,142,PCT 142,2675,444,0,238,0,206,Lauren Tyra,Lauren
COLLI,143,PCT 143,2043,203,0,134,0,69,Lauren Tyra,Lauren
COLLI,144,PCT 144,2846,499,0,237,0,89,Lauren Tyra,Lauren
COLLI,145,PCT 145,1706,75,0,0,0,0,Lauren Tyra,Lauren
COLLI,146,PCT 146,4694,521,0,0,0,0,Lauren Tyra,Lauren
COLLI,147,PCT 147,2102,56,0,0,0,0,Lauren Tyra,Lauren
COLLI,148,PCT 148,1208,256,0,0,0,0,Lauren Tyra,Lauren
COLLI,149,PCT 149,4479,919,0,0,0,0,Lauren Tyra,Lauren
COLLI,15,PCT 015,1574,164,0,88,0,76,Lauren Tyra,Lauren
COLLI,150,PCT 150,5542,329,0,0,0,0,Lauren Tyra,Lauren
COLLI,151,PCT 151,1825,66,0,0,0,0,Lauren Tyra,Lauren
COLLI,152,PCT 152,270,23,0,18,0,5,Lauren Tyra,Lauren
COLLI,153,PCT 153,5245,697,0,0,0,1,Lauren Tyra,Lauren
COLLI,154,PCT 154,2927,421,0,0,0,0,Lauren Tyra,Lauren
COLLI,155,PCT 155,2904,455,0,0,0,0,Lauren Tyra,Lauren
COLLI,156,PCT 156,3665,535,0,0,0,0,Lauren Tyra,Lauren
COLLI,157,PCT 157,4265,181,0,0,0,0,Lauren Tyra,Lauren
COLLI,158,PCT 158,2808,246,0,140,0,106,Lauren Tyra,Lauren
COLLI,159,PCT 159,3280,242,0,0,0,0,Lauren Tyra,Lauren
COLLI,16,PCT 016,5943,639,0,0,0,0,Lauren Tyra,Lauren
COLLI,160,PCT 160,546,53,0,0,0,0,Lauren Tyra,Lauren
COLLI,161,PCT 161,277,14,0,0,0,0,Lauren Tyra,Lauren
COLLI,162,PCT 162,904,43,0,0,0,0,Lauren Tyra,Lauren
COLLI,163,PCT 163,2103,205,0,0,0,0,Lauren Tyra,Lauren
COLLI,164,PCT 164,2290,328,0,194,0,134,Lauren Tyra,Lauren
COLLI,165,PCT 165,944,208,0,104,0,104,Lauren Tyra,Lauren
COLLI,166,PCT 166,4282,810,0,0,0,0,Lauren Tyra,Lauren
COLLI,167,PCT 167,5023,497,0,186,0,97,Lauren Tyra,Lauren
COLLI,168,PCT 168,1909,444,0,0,0,0,Lauren Tyra,Lauren
COLLI,169,PCT 169,3407,478,0,0,0,0,Lauren Tyra,Lauren
COLLI,17,PCT 017,6019,364,0,0,0,0,Lauren Tyra,Lauren
COLLI,170,PCT 170,1852,215,0,0,0,0,Lauren Tyra,Lauren
COLLI,171,PCT 171,2912,85,0,0,0,0,Lauren Tyra,Lauren
COLLI,172,PCT 172,3152,171,0,0,0,0,Lauren Tyra,Lauren
COLLI,173,PCT 173,613,197,0,0,0,0,Lauren Tyra,Lauren
COLLI,174,PCT 174,4506,259,0,0,0,0,Lauren Tyra,Lauren
COLLI,175,PCT 175,2045,246,0,57,0,57,Lauren Tyra,Lauren
COLLI,176,PCT 176,3706,122,0,52,0,37,Lauren Tyra,Lauren
COLLI,177,PCT 177,3447,229,0,0,0,0,Lauren Tyra,Lauren
COLLI,178,PCT 178,3314,294,0,0,0,0,Lauren Tyra,Lauren
COLLI,179,PCT 179,4574,1059,0,0,0,0,Lauren Tyra,Lauren
COLLI,18,PCT 018,991,32,0,0,0,0,Lauren Tyra,Lauren
COLLI,180,PCT 180,3435,336,0,0,0,0,Lauren Tyra,Lauren
COLLI,181,PCT 181,3214,152,0,0,0,0,Lauren Tyra,Lauren
COLLI,182,PCT 182,3888,157,0,0,0,0,Lauren Tyra,Lauren
COLLI,184,PCT 184,3132,123,0,0,0,0,Lauren Tyra,Lauren
COLLI,186,PCT 186,148,18,0,0,0,0,Lauren Tyra,Lauren
COLLI,187,PCT 187,605,86,0,0,0,0,Lauren Tyra,Lauren
COLLI,189,PCT 189,1438,19,0,0,0,0,Lauren Tyra,Lauren
COLLI,19,PCT 019,1567,235,0,143,0,92,Lauren Tyra,Lauren
COLLI,192,PCT 192,5216,92,0,0,0,0,Lauren Tyra,Lauren
COLLI,193,PCT 193,1311,44,0,0,0,0,Lauren Tyra,Lauren
COLLI,195,PCT 195,887,106,0,0,0,0,Lauren Tyra,Lauren
COLLI,196,PCT 196,1945,160,0,3,0,3,Lauren Tyra,Lauren
COLLI,197,PCT 197,1239,117,0,81,0,36,Lauren Tyra,Lauren
COLLI,199,PCT 199,4140,397,0,0,0,0,Lauren Tyra,Lauren
COLLI,2,PCT 002,4804,609,0,0,0,0,Lauren Tyra,Lauren
COLLI,20,PCT 020,2395,190,0,0,0,0,Lauren Tyra,Lauren
COLLI,200,PCT 200,2919,352,0,0,0,0,Lauren Tyra,Lauren
COLLI,203,PCT 203,3026,680,0,0,0,0,Lauren Tyra,Lauren
COLLI,204,PCT 204,344,95,0,0,0,0,Lauren Tyra,Lauren
COLLI,206,PCT 206,1921,314,0,0,0,0,Lauren Tyra,Lauren
COLLI,207,PCT 207,3918,535,0,0,0,0,Lauren Tyra,Lauren
COLLI,208,PCT 208,4399,523,0,0,0,0,Lauren Tyra,Lauren
COLLI,209,PCT 209,1150,124,0,0,0,0,Lauren Tyra,Lauren
COLLI,21,PCT 021,4259,606,0,376,0,230,Lauren Tyra,Lauren
COLLI,210,PCT 210,1722,485,0,246,0,239,Lauren Tyra,Lauren
COLLI,211,PCT 211,3321,492,0,0,0,0,Lauren Tyra,Lauren
COLLI,212,PCT 212,2580,492,0,0,0,0,Lauren Tyra,Lauren
COLLI,213,PCT 213,3574,420,0,0,0,0,Lauren Tyra,Lauren
COLLI,214,PCT 214,4743,471,0,0,0,0,Lauren Tyra,Lauren
COLLI,215,PCT 215,3591,22,0,0,0,0,Lauren Tyra,Lauren
COLLI,216,PCT 216,4794,794,0,0,0,0,Lauren Tyra,Lauren
COLLI,217,PCT 217,3075,197,0,0,0,0,Lauren Tyra,Lauren
COLLI,218,PCT 218,4195,142,0,0,0,0,Lauren Tyra,Lauren
COLLI,219,PCT 219,4482,193,0,0,0,0,Lauren Tyra,Lauren
COLLI,22,PCT 022,5098,885,0,0,0,0,Lauren Tyra,Lauren
COLLI,220,PCT 220,5634,865,0,0,0,0,Lauren Tyra,Lauren
COLLI,221,PCT 221,5077,962,0,0,0,0,Lauren Tyra,Lauren
