precinct,party,candidate,votes
1,DEM,Rochelle Mercedes Garza,203
1,LIB,Mark Ash,17
1,REP,Ken Paxton,592
10,DEM,Rochelle Mercedes Garza,27
10,LIB,Mark Ash,5
10,REP,Ken Paxton,245
11,DEM,Rochelle Mercedes Garza,123
11,LIB,Mark Ash,5
11,REP,Ken Paxton,532
13,DEM,Rochelle Mercedes Garza,186
13,LIB,Mark Ash,22
13,REP,Ken Paxton,556
15,DEM,Rochelle Mercedes Garza,59
15,LIB,Mark Ash,6
15,REP,Ken Paxton,464
16,DEM,Rochelle Mercedes Garza,83
16,LIB,Mark Ash,18
16,REP,Ken Paxton,423
17,DEM,Rochelle Mercedes Garza,72
17,LIB,Mark Ash,7
17,REP,Ken Paxton,353
18,DEM,Rochelle Mercedes Garza,130
18,LIB,Mark Ash,17
18,REP,Ken Paxton,936
19,DEM,Rochelle Mercedes Garza,214
19,LIB,Mark Ash,21
19,REP,Ken Paxton,763
2,DEM,Rochelle Mercedes Garza,133
2,LIB,Mark Ash,27
2,REP,Ken Paxton,1149
20,DEM,Rochelle Mercedes Garza,121
20,LIB,Mark Ash,12
20,REP,Ken Paxton,424
21,DEM,Rochelle Mercedes Garza,101
21,LIB,Mark Ash,22
21,REP,Ken Paxton,811
22,DEM,Rochelle Mercedes Garza,89
22,LIB,Mark Ash,13
22,REP,Ken Paxton,555
23,DEM,Rochelle Mercedes Garza,58
23,LIB,Mark Ash,15
23,REP,Ken Paxton,722
24,DEM,Rochelle Mercedes Garza,33
24,LIB,Mark Ash,6
24,REP,Ken Paxton,483
3,DEM,Rochelle Mercedes Garza,75
3,LIB,Mark Ash,25
3,REP,Ken Paxton,551
4,DEM,Rochelle Mercedes Garza,69
4,LIB,Mark Ash,11
4,REP,Ken Paxton,796
5,DEM,Rochelle Mercedes Garza,9
5,LIB,Mark Ash,3
5,REP,Ken Paxton,159
6,DEM,Rochelle Mercedes Garza,267
6,LIB,Mark Ash,12
6,REP,Ken Paxton,284
7,DEM,Rochelle Mercedes Garza,283
7,LIB,Mark Ash,8
7,REP,Ken Paxton,89
8,DEM,Rochelle Mercedes Garza,72
8,LIB,Mark Ash,6
8,REP,Ken Paxton,57
9,DEM,Rochelle Mercedes Garza,110
9,LIB,Mark Ash,17
9,REP,Ken Paxton,565
