precinct,party,candidate,votes
1,DEM,Julia Maldonado,199
1,REP,Evan Young,603
10,DEM,Julia Maldonado,27
10,REP,Evan Young,245
11,DEM,Julia Maldonado,126
11,REP,Evan Young,535
13,DEM,Julia Maldonado,188
13,REP,Evan Young,577
15,DEM,Julia Maldonado,54
15,REP,Evan Young,466
16,DEM,Julia Maldonado,89
16,REP,Evan Young,425
17,DEM,Julia Maldonado,76
17,REP,Evan Young,350
18,DEM,Julia Maldonado,132
18,REP,Evan Young,935
19,DEM,Julia Maldonado,220
19,REP,Evan Young,761
2,DEM,Julia Maldonado,136
2,REP,Evan Young,1165
20,DEM,Julia Maldonado,116
20,REP,Evan Young,429
21,DEM,Julia Maldonado,98
21,REP,Evan Young,827
22,DEM,Julia Maldonado,83
22,REP,Evan Young,564
23,DEM,Julia Maldonado,58
23,REP,Evan Young,730
24,DEM,Julia Maldonado,38
24,REP,Evan Young,481
3,DEM,Julia Maldonado,74
3,REP,Evan Young,567
4,DEM,Julia Maldonado,73
4,REP,Evan Young,796
5,DEM,Julia Maldonado,9
5,REP,Evan Young,161
6,DEM,Julia Maldonado,269
6,REP,Evan Young,283
7,DEM,Julia Maldonado,285
7,REP,Evan Young,86
8,DEM,Julia Maldonado,78
8,REP,Evan Young,59
9,DEM,Julia Maldonado,107
9,REP,Evan Young,580
