precinct,party,candidate,votes
1,DEM,Steve Russell,166
1,LIB,Desarae Lindsey,19
1,REP,Robert Nichols,612
10,DEM,Steve Russell,24
10,LIB,Desarae Lindsey,3
10,REP,Robert Nichols,249
11,DEM,Steve Russell,119
11,LIB,Desarae Lindsey,10
11,REP,Robert Nichols,532
13,DEM,Steve Russell,170
13,LIB,Desarae Lindsey,14
13,REP,Robert Nichols,591
15,DEM,Steve Russell,50
15,LIB,Desarae Lindsey,4
15,REP,Robert Nichols,474
16,DEM,Steve Russell,86
16,LIB,Desarae Lindsey,10
16,REP,Robert Nichols,423
17,DEM,Steve Russell,74
17,LIB,Desarae Lindsey,7
17,REP,Robert Nichols,350
18,DEM,Steve Russell,121
18,LIB,Desarae Lindsey,14
18,REP,Robert Nichols,941
19,DEM,Steve Russell,199
19,LIB,Desarae Lindsey,23
19,REP,Robert Nichols,770
2,DEM,Steve Russell,126
2,LIB,Desarae Lindsey,21
2,REP,Robert Nichols,1155
20,DEM,Steve Russell,106
20,LIB,Desarae Lindsey,14
20,REP,Robert Nichols,433
21,DEM,Steve Russell,89
21,LIB,Desarae Lindsey,14
21,REP,Robert Nichols,826
22,DEM,Steve Russell,81
22,LIB,Desarae Lindsey,6
22,REP,Robert Nichols,564
23,DEM,Steve Russell,61
23,LIB,Desarae Lindsey,8
23,REP,Robert Nichols,724
24,DEM,Steve Russell,33
24,LIB,Desarae Lindsey,5
24,REP,Robert Nichols,480
3,DEM,Steve Russell,69
3,LIB,Desarae Lindsey,13
3,REP,Robert Nichols,562
4,DEM,Steve Russell,71
4,LIB,Desarae Lindsey,8
4,REP,Robert Nichols,798
5,DEM,Steve Russell,8
5,LIB,Desarae Lindsey,1
5,REP,Robert Nichols,163
6,DEM,Steve Russell,256
6,LIB,Desarae Lindsey,15
6,REP,Robert Nichols,285
7,DEM,Steve Russell,285
7,LIB,Desarae Lindsey,6
7,REP,Robert Nichols,89
8,DEM,Steve Russell,71
8,LIB,Desarae Lindsey,5
8,REP,Robert Nichols,59
9,DEM,Steve Russell,104
9,LIB,Desarae Lindsey,9
9,REP,Robert Nichols,582
