precinct,party,candidate,votes
1,DEM,Delonia A. Watson,87
1,REP,Mike Wallach,829
10,DEM,Delonia A. Watson,79
10,REP,Mike Wallach,523
11,DEM,Delonia A. Watson,6
11,REP,Mike Wallach,67
2,DEM,Delonia A. Watson,61
2,REP,Mike Wallach,716
3,DEM,Delonia A. Watson,24
3,REP,Mike Wallach,247
4,DEM,Delonia A. Watson,29
4,REP,Mike Wallach,477
5,DEM,Delonia A. Watson,8
5,REP,Mike Wallach,120
6,DEM,Delonia A. Watson,72
6,REP,Mike Wallach,726
7,DEM,Delonia A. Watson,9
7,REP,Mike Wallach,132
8,DEM,Delonia A. Watson,31
8,REP,Mike Wallach,223
9,DEM,Delonia A. Watson,11
9,REP,Mike Wallach,126
