precinct,party,candidate,votes
10,,Over Votes,0
10,,Under Votes,10
10,DEM,Kathy Jones-Hospod,100
10,REP,Pete Flores,200
11,,Over Votes,0
11,,Under Votes,22
11,DEM,Kathy Jones-Hospod,271
11,REP,Pete Flores,560
12,,Over Votes,0
12,,Under Votes,16
12,DEM,Kathy Jones-Hospod,189
12,REP,Pete Flores,407
13,,Over Votes,0
13,,Under Votes,29
13,DEM,Kathy Jones-Hospod,225
13,REP,Pete Flores,916
15,,Over Votes,0
15,,Under Votes,27
15,DEM,Kathy Jones-Hospod,283
15,REP,Pete Flores,615
17,,Over Votes,0
17,,Under Votes,32
17,DEM,Kathy Jones-Hospod,344
17,REP,Pete Flores,387
19,,Over Votes,0
19,,Under Votes,5
19,DEM,Kathy Jones-Hospod,44
19,REP,Pete Flores,171
20,,Over Votes,0
20,,Under Votes,37
20,DEM,Kathy Jones-Hospod,376
20,REP,Pete Flores,1679
3,,Over Votes,0
3,,Under Votes,11
3,DEM,Kathy Jones-Hospod,149
3,REP,Pete Flores,425
8,,Over Votes,0
8,,Under Votes,3
8,DEM,Kathy Jones-Hospod,85
8,REP,Pete Flores,211
9,,Over Votes,0
9,,Under Votes,33
9,DEM,Kathy Jones-Hospod,320
9,REP,Pete Flores,537
