precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,5
101,DEM,Rochelle Mercedes Garza,114
101,LIB,Mark Ash,13
101,REP,Ken Paxton,585
102,,Over Votes,0
102,,Under Votes,12
102,DEM,Rochelle Mercedes Garza,146
102,LIB,Mark Ash,20
102,REP,Ken Paxton,641
103,,Over Votes,0
103,,Under Votes,6
103,DEM,Rochelle Mercedes Garza,122
103,LIB,Mark Ash,29
103,REP,Ken Paxton,778
104,,Over Votes,0
104,,Under Votes,7
104,DEM,Rochelle Mercedes Garza,60
104,LIB,Mark Ash,10
104,REP,Ken Paxton,397
205,,Over Votes,0
205,,Under Votes,32
205,DEM,Rochelle Mercedes Garza,243
205,LIB,Mark Ash,51
205,REP,Ken Paxton,1271
206,,Over Votes,0
206,,Under Votes,6
206,DEM,Rochelle Mercedes Garza,108
206,LIB,Mark Ash,23
206,REP,Ken Paxton,758
207,,Over Votes,0
207,,Under Votes,4
207,DEM,Rochelle Mercedes Garza,72
207,LIB,Mark Ash,11
207,REP,Ken Paxton,397
208,,Over Votes,0
208,,Under Votes,6
208,DEM,Rochelle Mercedes Garza,85
208,LIB,Mark Ash,4
208,REP,Ken Paxton,357
309,,Over Votes,0
309,,Under Votes,0
309,DEM,Rochelle Mercedes Garza,37
309,LIB,Mark Ash,10
309,REP,Ken Paxton,390
310,,Over Votes,0
310,,Under Votes,20
310,DEM,Rochelle Mercedes Garza,239
310,LIB,Mark Ash,53
310,REP,Ken Paxton,1134
311,,Over Votes,0
311,,Under Votes,12
311,DEM,Rochelle Mercedes Garza,159
311,LIB,Mark Ash,6
311,REP,Ken Paxton,216
412,,Over Votes,0
412,,Under Votes,6
412,DEM,Rochelle Mercedes Garza,79
412,LIB,Mark Ash,7
412,REP,Ken Paxton,255
413,,Over Votes,0
413,,Under Votes,12
413,DEM,Rochelle Mercedes Garza,114
413,LIB,Mark Ash,17
413,REP,Ken Paxton,703
414,,Over Votes,0
414,,Under Votes,3
414,DEM,Rochelle Mercedes Garza,143
414,LIB,Mark Ash,19
414,REP,Ken Paxton,526
415,,Over Votes,0
415,,Under Votes,15
415,DEM,Rochelle Mercedes Garza,155
415,LIB,Mark Ash,14
415,REP,Ken Paxton,547
