precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,17
101,DEM,William Demond,99
101,REP,Randy Wilson,601
102,,Over Votes,0
102,,Under Votes,21
102,DEM,William Demond,141
102,REP,Randy Wilson,657
103,,Over Votes,0
103,,Under Votes,20
103,DEM,William Demond,100
103,REP,Randy Wilson,815
104,,Over Votes,0
104,,Under Votes,9
104,DEM,William Demond,56
104,REP,Randy Wilson,409
205,,Over Votes,0
205,,Under Votes,42
205,DEM,William Demond,234
205,REP,Randy Wilson,1321
206,,Over Votes,0
206,,Under Votes,22
206,DEM,William Demond,95
206,REP,Randy Wilson,778
207,,Over Votes,0
207,,Under Votes,15
207,DEM,William Demond,59
207,REP,Randy Wilson,410
208,,Over Votes,0
208,,Under Votes,12
208,DEM,William Demond,74
208,REP,Randy Wilson,366
309,,Over Votes,0
309,,Under Votes,13
309,DEM,William Demond,24
309,REP,Randy Wilson,400
310,,Over Votes,0
310,,Under Votes,31
310,DEM,William Demond,225
310,REP,Randy Wilson,1190
311,,Over Votes,0
311,,Under Votes,22
311,DEM,William Demond,143
311,REP,Randy Wilson,228
412,,Over Votes,0
412,,Under Votes,10
412,DEM,William Demond,82
412,REP,Randy Wilson,255
413,,Over Votes,0
413,,Under Votes,11
413,DEM,William Demond,88
413,REP,Randy Wilson,747
414,,Over Votes,0
414,,Under Votes,14
414,DEM,William Demond,135
414,REP,Randy Wilson,542
415,,Over Votes,0
415,,Under Votes,25
415,DEM,William Demond,146
415,REP,Randy Wilson,560
