precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,17
101,DEM,Mike Engelhart,100
101,REP,April Farris,600
102,,Over Votes,0
102,,Under Votes,20
102,DEM,Mike Engelhart,140
102,REP,April Farris,659
103,,Over Votes,0
103,,Under Votes,16
103,DEM,Mike Engelhart,108
103,REP,April Farris,811
104,,Over Votes,0
104,,Under Votes,11
104,DEM,Mike Engelhart,56
104,REP,April Farris,407
205,,Over Votes,0
205,,Under Votes,45
205,DEM,Mike Engelhart,242
205,REP,April Farris,1310
206,,Over Votes,0
206,,Under Votes,21
206,DEM,Mike Engelhart,102
206,REP,April Farris,772
207,,Over Votes,0
207,,Under Votes,13
207,DEM,Mike Engelhart,60
207,REP,April Farris,411
208,,Over Votes,0
208,,Under Votes,10
208,DEM,Mike Engelhart,78
208,REP,April Farris,364
309,,Over Votes,0
309,,Under Votes,12
309,DEM,Mike Engelhart,30
309,REP,April Farris,395
310,,Over Votes,0
310,,Under Votes,28
310,DEM,Mike Engelhart,239
310,REP,April Farris,1179
311,,Over Votes,0
311,,Under Votes,18
311,DEM,Mike Engelhart,152
311,REP,April Farris,223
412,,Over Votes,0
412,,Under Votes,11
412,DEM,Mike Engelhart,84
412,REP,April Farris,252
413,,Over Votes,0
413,,Under Votes,12
413,DEM,Mike Engelhart,99
413,REP,April Farris,735
414,,Over Votes,0
414,,Under Votes,12
414,DEM,Mike Engelhart,147
414,REP,April Farris,532
415,,Over Votes,0
415,,Under Votes,24
415,DEM,Mike Engelhart,161
415,REP,April Farris,546
