precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,11
101,DEM,Luke Warford,99
101,GRN,Hunter Wayne Crow,5
101,LIB,Jaime Andres Diez,8
101,REP,Wayne Christian,594
102,,Over Votes,0
102,,Under Votes,17
102,DEM,Luke Warford,135
102,GRN,Hunter Wayne Crow,7
102,LIB,Jaime Andres Diez,14
102,REP,Wayne Christian,646
103,,Over Votes,0
103,,Under Votes,16
103,DEM,Luke Warford,107
103,GRN,Hunter Wayne Crow,5
103,LIB,Jaime Andres Diez,12
103,REP,Wayne Christian,795
104,,Over Votes,0
104,,Under Votes,5
104,DEM,Luke Warford,53
104,GRN,Hunter Wayne Crow,4
104,LIB,Jaime Andres Diez,7
104,REP,Wayne Christian,405
205,,Over Votes,0
205,,Under Votes,30
205,DEM,Luke Warford,210
205,GRN,Hunter Wayne Crow,13
205,LIB,Jaime Andres Diez,38
205,REP,Wayne Christian,1306
206,,Over Votes,0
206,,Under Votes,18
206,DEM,Luke Warford,86
206,GRN,Hunter Wayne Crow,7
206,LIB,Jaime Andres Diez,15
206,REP,Wayne Christian,769
207,,Over Votes,0
207,,Under Votes,14
207,DEM,Luke Warford,60
207,GRN,Hunter Wayne Crow,3
207,LIB,Jaime Andres Diez,2
207,REP,Wayne Christian,405
208,,Over Votes,0
208,,Under Votes,11
208,DEM,Luke Warford,79
208,GRN,Hunter Wayne Crow,2
208,LIB,Jaime Andres Diez,3
208,REP,Wayne Christian,357
309,,Over Votes,0
309,,Under Votes,8
309,DEM,Luke Warford,27
309,GRN,Hunter Wayne Crow,0
309,LIB,Jaime Andres Diez,4
309,REP,Wayne Christian,398
310,,Over Votes,0
310,,Under Votes,34
310,DEM,Luke Warford,221
310,GRN,Hunter Wayne Crow,6
310,LIB,Jaime Andres Diez,28
310,REP,Wayne Christian,1157
311,,Over Votes,0
311,,Under Votes,17
311,DEM,Luke Warford,142
311,GRN,Hunter Wayne Crow,1
311,LIB,Jaime Andres Diez,10
311,REP,Wayne Christian,223
412,,Over Votes,0
412,,Under Votes,10
412,DEM,Luke Warford,74
412,GRN,Hunter Wayne Crow,2
412,LIB,Jaime Andres Diez,4
412,REP,Wayne Christian,257
413,,Over Votes,0
413,,Under Votes,9
413,DEM,Luke Warford,85
413,GRN,Hunter Wayne Crow,5
413,LIB,Jaime Andres Diez,12
413,REP,Wayne Christian,735
414,,Over Votes,0
414,,Under Votes,10
414,DEM,Luke Warford,131
414,GRN,Hunter Wayne Crow,5
414,LIB,Jaime Andres Diez,14
414,REP,Wayne Christian,531
415,,Over Votes,0
415,,Under Votes,26
415,DEM,Luke Warford,143
415,GRN,Hunter Wayne Crow,5
415,LIB,Jaime Andres Diez,15
415,REP,Wayne Christian,542
