precinct,party,candidate,votes
1,GRN,"Katija ""Kat"" Gruene",1
1,DEM,Chrysta Castaneda,109
1,LIB,Matt Sterett,13
1,REP,"James ""Jim"" Wright",419
2,GRN,"Katija ""Kat"" Gruene",4
2,DEM,Chrysta Castaneda,87
2,LIB,Matt Sterett,13
2,REP,"James ""Jim"" Wright",596
3,GRN,"Katija ""Kat"" Gruene",2
3,DEM,Chrysta Castaneda,94
3,LIB,Matt Sterett,10
3,REP,"James ""Jim"" Wright",250
4,GRN,"Katija ""Kat"" Gruene",3
4,DEM,Chrysta Castaneda,82
4,LIB,Matt Sterett,7
4,REP,"James ""Jim"" Wright",113
