precinct,party,candidate,votes
4021,,Nathaniel Hellman,346
4021,,OVER VOTES,0
4021,,Steve Jackobs,324
4021,,UNDER VOTES,466
4022,,Nathaniel Hellman,382
4022,,OVER VOTES,0
4022,,Steve Jackobs,337
4022,,UNDER VOTES,429
4023,,Nathaniel Hellman,6
4023,,OVER VOTES,0
4023,,Steve Jackobs,2
4023,,UNDER VOTES,8
4024,,Nathaniel Hellman,306
4024,,OVER VOTES,0
4024,,Steve Jackobs,229
4024,,UNDER VOTES,309
4025,,Nathaniel Hellman,355
4025,,OVER VOTES,0
4025,,Steve Jackobs,320
4025,,UNDER VOTES,370
4026,,Nathaniel Hellman,405
4026,,OVER VOTES,0
4026,,Steve Jackobs,341
4026,,UNDER VOTES,389
