precinct,party,candidate,votes
1001,,OVER VOTES,0
1001,,UNDER VOTES,3
1001,DEM,Rochelle Mercedes Garza,83
1001,LIB,Mark Ash,18
1001,REP,Ken Paxton,142
1002,,OVER VOTES,0
1002,,UNDER VOTES,8
1002,DEM,Rochelle Mercedes Garza,210
1002,LIB,Mark Ash,18
1002,REP,Ken Paxton,244
1003,,OVER VOTES,0
1003,,UNDER VOTES,16
1003,DEM,Rochelle Mercedes Garza,608
1003,LIB,Mark Ash,54
1003,REP,Ken Paxton,929
1004,,OVER VOTES,0
1004,,UNDER VOTES,31
1004,DEM,Rochelle Mercedes Garza,675
1004,LIB,Mark Ash,41
1004,REP,Ken Paxton,480
1005,,OVER VOTES,0
1005,,UNDER VOTES,4
1005,DEM,Rochelle Mercedes Garza,250
1005,LIB,Mark Ash,27
1005,REP,Ken Paxton,376
1006,,OVER VOTES,0
1006,,UNDER VOTES,27
1006,DEM,Rochelle Mercedes Garza,455
1006,LIB,Mark Ash,32
1006,REP,Ken Paxton,512
1007,,OVER VOTES,0
1007,,UNDER VOTES,22
1007,DEM,Rochelle Mercedes Garza,621
1007,LIB,Mark Ash,54
1007,REP,Ken Paxton,791
1008,,OVER VOTES,0
1008,,UNDER VOTES,12
1008,DEM,Rochelle Mercedes Garza,432
1008,LIB,Mark Ash,33
1008,REP,Ken Paxton,409
1009,,OVER VOTES,0
1009,,UNDER VOTES,10
1009,DEM,Rochelle Mercedes Garza,474
1009,LIB,Mark Ash,44
1009,REP,Ken Paxton,535
2010,,OVER VOTES,0
2010,,UNDER VOTES,5
2010,DEM,Rochelle Mercedes Garza,149
2010,LIB,Mark Ash,19
2010,REP,Ken Paxton,144
2011,,OVER VOTES,0
2011,,UNDER VOTES,24
2011,DEM,Rochelle Mercedes Garza,548
2011,LIB,Mark Ash,43
2011,REP,Ken Paxton,588
2012,,OVER VOTES,0
2012,,UNDER VOTES,13
2012,DEM,Rochelle Mercedes Garza,306
2012,LIB,Mark Ash,40
2012,REP,Ken Paxton,666
2013,,OVER VOTES,0
2013,,UNDER VOTES,21
2013,DEM,Rochelle Mercedes Garza,661
2013,LIB,Mark Ash,80
2013,REP,Ken Paxton,1020
2014,,OVER VOTES,0
2014,,UNDER VOTES,28
2014,DEM,Rochelle Mercedes Garza,531
2014,LIB,Mark Ash,56
2014,REP,Ken Paxton,1130
2015,,OVER VOTES,0
2015,,UNDER VOTES,32
2015,DEM,Rochelle Mercedes Garza,637
2015,LIB,Mark Ash,42
2015,REP,Ken Paxton,983
2016,,OVER VOTES,0
2016,,UNDER VOTES,20
2016,DEM,Rochelle Mercedes Garza,407
2016,LIB,Mark Ash,68
2016,REP,Ken Paxton,1158
3017,,OVER VOTES,0
3017,,UNDER VOTES,17
3017,DEM,Rochelle Mercedes Garza,519
3017,LIB,Mark Ash,60
3017,REP,Ken Paxton,874
3018,,OVER VOTES,0
3018,,UNDER VOTES,11
3018,DEM,Rochelle Mercedes Garza,279
3018,LIB,Mark Ash,34
3018,REP,Ken Paxton,662
3019,,OVER VOTES,0
3019,,UNDER VOTES,17
3019,DEM,Rochelle Mercedes Garza,506
3019,LIB,Mark Ash,42
3019,REP,Ken Paxton,583
3020,,OVER VOTES,0
3020,,UNDER VOTES,19
3020,DEM,Rochelle Mercedes Garza,676
3020,LIB,Mark Ash,46
3020,REP,Ken Paxton,440
4021,,OVER VOTES,0
4021,,UNDER VOTES,24
4021,DEM,Rochelle Mercedes Garza,612
4021,LIB,Mark Ash,46
4021,REP,Ken Paxton,718
4022,,OVER VOTES,0
4022,,UNDER VOTES,17
4022,DEM,Rochelle Mercedes Garza,502
4022,LIB,Mark Ash,56
4022,REP,Ken Paxton,698
4023,,OVER VOTES,0
4023,,UNDER VOTES,8
4023,DEM,Rochelle Mercedes Garza,229
4023,LIB,Mark Ash,24
4023,REP,Ken Paxton,521
4024,,OVER VOTES,0
4024,,UNDER VOTES,18
4024,DEM,Rochelle Mercedes Garza,299
4024,LIB,Mark Ash,30
4024,REP,Ken Paxton,497
4025,,OVER VOTES,0
4025,,UNDER VOTES,33
4025,DEM,Rochelle Mercedes Garza,642
4025,LIB,Mark Ash,38
4025,REP,Ken Paxton,332
4026,,OVER VOTES,0
4026,,UNDER VOTES,17
4026,DEM,Rochelle Mercedes Garza,629
4026,LIB,Mark Ash,60
4026,REP,Ken Paxton,429
