precinct,party,candidate,votes
1001,,OVER VOTES,0
1001,,UNDER VOTES,6
1001,DEM,Janet T. Dudding,79
1001,LIB,V. Alonzo Echevarria-Garza,9
1001,REP,Glenn Hegar,152
1002,,OVER VOTES,0
1002,,UNDER VOTES,10
1002,DEM,Janet T. Dudding,199
1002,LIB,V. Alonzo Echevarria-Garza,10
1002,REP,Glenn Hegar,261
1003,,OVER VOTES,0
1003,,UNDER VOTES,24
1003,DEM,Janet T. Dudding,575
1003,LIB,V. Alonzo Echevarria-Garza,37
1003,REP,Glenn Hegar,971
1004,,OVER VOTES,0
1004,,UNDER VOTES,32
1004,DEM,Janet T. Dudding,641
1004,LIB,V. Alonzo Echevarria-Garza,34
1004,REP,Glenn Hegar,520
1005,,OVER VOTES,0
1005,,UNDER VOTES,9
1005,DEM,Janet T. Dudding,231
1005,LIB,V. Alonzo Echevarria-Garza,16
1005,REP,Glenn Hegar,401
1006,,OVER VOTES,0
1006,,UNDER VOTES,31
1006,DEM,Janet T. Dudding,416
1006,LIB,V. Alonzo Echevarria-Garza,49
1006,REP,Glenn Hegar,530
1007,,OVER VOTES,0
1007,,UNDER VOTES,31
1007,DEM,Janet T. Dudding,568
1007,LIB,V. Alonzo Echevarria-Garza,32
1007,REP,Glenn Hegar,857
1008,,OVER VOTES,0
1008,,UNDER VOTES,19
1008,DEM,Janet T. Dudding,395
1008,LIB,V. Alonzo Echevarria-Garza,31
1008,REP,Glenn Hegar,441
1009,,OVER VOTES,0
1009,,UNDER VOTES,13
1009,DEM,Janet T. Dudding,450
1009,LIB,V. Alonzo Echevarria-Garza,36
1009,REP,Glenn Hegar,564
2010,,OVER VOTES,0
2010,,UNDER VOTES,6
2010,DEM,Janet T. Dudding,146
2010,LIB,V. Alonzo Echevarria-Garza,11
2010,REP,Glenn Hegar,154
2011,,OVER VOTES,0
2011,,UNDER VOTES,28
2011,DEM,Janet T. Dudding,504
2011,LIB,V. Alonzo Echevarria-Garza,48
2011,REP,Glenn Hegar,623
2012,,OVER VOTES,0
2012,,UNDER VOTES,20
2012,DEM,Janet T. Dudding,269
2012,LIB,V. Alonzo Echevarria-Garza,20
2012,REP,Glenn Hegar,716
2013,,OVER VOTES,0
2013,,UNDER VOTES,26
2013,DEM,Janet T. Dudding,617
2013,LIB,V. Alonzo Echevarria-Garza,52
2013,REP,Glenn Hegar,1087
2014,,OVER VOTES,0
2014,,UNDER VOTES,24
2014,DEM,Janet T. Dudding,489
2014,LIB,V. Alonzo Echevarria-Garza,46
2014,REP,Glenn Hegar,1186
2015,,OVER VOTES,0
2015,,UNDER VOTES,34
2015,DEM,Janet T. Dudding,582
2015,LIB,V. Alonzo Echevarria-Garza,32
2015,REP,Glenn Hegar,1046
2016,,OVER VOTES,0
2016,,UNDER VOTES,26
2016,DEM,Janet T. Dudding,387
2016,LIB,V. Alonzo Echevarria-Garza,32
2016,REP,Glenn Hegar,1208
3017,,OVER VOTES,0
3017,,UNDER VOTES,29
3017,DEM,Janet T. Dudding,485
3017,LIB,V. Alonzo Echevarria-Garza,34
3017,REP,Glenn Hegar,922
3018,,OVER VOTES,0
3018,,UNDER VOTES,19
3018,DEM,Janet T. Dudding,258
3018,LIB,V. Alonzo Echevarria-Garza,23
3018,REP,Glenn Hegar,686
3019,,OVER VOTES,0
3019,,UNDER VOTES,22
3019,DEM,Janet T. Dudding,478
3019,LIB,V. Alonzo Echevarria-Garza,38
3019,REP,Glenn Hegar,610
3020,,OVER VOTES,0
3020,,UNDER VOTES,26
3020,DEM,Janet T. Dudding,614
3020,LIB,V. Alonzo Echevarria-Garza,52
3020,REP,Glenn Hegar,489
4021,,OVER VOTES,0
4021,,UNDER VOTES,26
4021,DEM,Janet T. Dudding,586
4021,LIB,V. Alonzo Echevarria-Garza,36
4021,REP,Glenn Hegar,752
4022,,OVER VOTES,0
4022,,UNDER VOTES,16
4022,DEM,Janet T. Dudding,470
4022,LIB,V. Alonzo Echevarria-Garza,38
4022,REP,Glenn Hegar,749
4023,,OVER VOTES,0
4023,,UNDER VOTES,8
4023,DEM,Janet T. Dudding,219
4023,LIB,V. Alonzo Echevarria-Garza,16
4023,REP,Glenn Hegar,539
4024,,OVER VOTES,0
4024,,UNDER VOTES,15
4024,DEM,Janet T. Dudding,280
4024,LIB,V. Alonzo Echevarria-Garza,23
4024,REP,Glenn Hegar,526
4025,,OVER VOTES,0
4025,,UNDER VOTES,27
4025,DEM,Janet T. Dudding,600
4025,LIB,V. Alonzo Echevarria-Garza,49
4025,REP,Glenn Hegar,369
4026,,OVER VOTES,0
4026,,UNDER VOTES,16
4026,DEM,Janet T. Dudding,600
4026,LIB,V. Alonzo Echevarria-Garza,42
4026,REP,Glenn Hegar,477
