precinct,party,candidate,votes
1,DEM,Luke Warford,269
1,GRN,Hunter Wayne Crow,11
1,LIB,Jaime Andres Diez,27
1,REP,Wayne Christian,602
10,DEM,Luke Warford,180
10,GRN,Hunter Wayne Crow,4
10,LIB,Jaime Andres Diez,21
10,REP,Wayne Christian,166
13,DEM,Luke Warford,196
13,GRN,Hunter Wayne Crow,5
13,LIB,Jaime Andres Diez,20
13,REP,Wayne Christian,428
16,DEM,Luke Warford,128
16,GRN,Hunter Wayne Crow,3
16,LIB,Jaime Andres Diez,10
16,REP,Wayne Christian,288
17,DEM,Luke Warford,167
17,GRN,Hunter Wayne Crow,1
17,LIB,Jaime Andres Diez,18
17,REP,Wayne Christian,255
18,DEM,Luke Warford,193
18,GRN,Hunter Wayne Crow,1
18,LIB,Jaime Andres Diez,21
18,REP,Wayne Christian,643
19,DEM,Luke Warford,77
19,GRN,Hunter Wayne Crow,1
19,LIB,Jaime Andres Diez,3
19,REP,Wayne Christian,67
2,DEM,Luke Warford,38
2,GRN,Hunter Wayne Crow,2
2,LIB,Jaime Andres Diez,8
2,REP,Wayne Christian,251
3,DEM,Luke Warford,200
3,GRN,Hunter Wayne Crow,7
3,LIB,Jaime Andres Diez,26
3,REP,Wayne Christian,415
4,DEM,Luke Warford,49
4,GRN,Hunter Wayne Crow,3
4,LIB,Jaime Andres Diez,5
4,REP,Wayne Christian,243
5,DEM,Luke Warford,97
5,GRN,Hunter Wayne Crow,0
5,LIB,Jaime Andres Diez,13
5,REP,Wayne Christian,307
6,DEM,Luke Warford,121
6,GRN,Hunter Wayne Crow,4
6,LIB,Jaime Andres Diez,23
6,REP,Wayne Christian,381
9,DEM,Luke Warford,164
9,GRN,Hunter Wayne Crow,2
9,LIB,Jaime Andres Diez,16
9,REP,Wayne Christian,81
