precinct,party,candidate,votes
1001,DEM,Brandon Birmingham,401
1001,REP,David Newell,124
1002,DEM,Brandon Birmingham,290
1002,REP,David Newell,167
1003,DEM,Brandon Birmingham,1049
1003,REP,David Newell,285
1004,DEM,Brandon Birmingham,382
1004,REP,David Newell,108
1005,DEM,Brandon Birmingham,334
1005,REP,David Newell,92
1006,DEM,Brandon Birmingham,831
1006,REP,David Newell,285
1007,DEM,Brandon Birmingham,566
1007,REP,David Newell,176
1008,DEM,Brandon Birmingham,1007
1008,REP,David Newell,231
1009,DEM,Brandon Birmingham,677
1009,REP,David Newell,483
1010,DEM,Brandon Birmingham,311
1010,REP,David Newell,80
1011,DEM,Brandon Birmingham,202
1011,REP,David Newell,75
1012,DEM,Brandon Birmingham,766
1012,REP,David Newell,418
1013,DEM,Brandon Birmingham,1034
1013,REP,David Newell,252
1014,DEM,Brandon Birmingham,501
1014,REP,David Newell,118
1015,DEM,Brandon Birmingham,524
1015,REP,David Newell,169
1016,DEM,Brandon Birmingham,438
1016,REP,David Newell,117
1017,DEM,Brandon Birmingham,80
1017,REP,David Newell,42
1018,DEM,Brandon Birmingham,835
1018,REP,David Newell,299
1019,DEM,Brandon Birmingham,300
1019,REP,David Newell,106
1020,DEM,Brandon Birmingham,932
1020,REP,David Newell,336
1021,DEM,Brandon Birmingham,619
1021,REP,David Newell,217
1022,DEM,Brandon Birmingham,347
1022,REP,David Newell,130
1023,DEM,Brandon Birmingham,902
1023,REP,David Newell,243
1024,DEM,Brandon Birmingham,1236
1024,REP,David Newell,734
1025,DEM,Brandon Birmingham,211
1025,REP,David Newell,60
1026,DEM,Brandon Birmingham,444
1026,REP,David Newell,154
1027,DEM,Brandon Birmingham,168
1027,REP,David Newell,128
1028,DEM,Brandon Birmingham,359
1028,REP,David Newell,140
1029,DEM,Brandon Birmingham,774
1029,REP,David Newell,230
1030,DEM,Brandon Birmingham,22
1030,REP,David Newell,19
1031,DEM,Brandon Birmingham,577
1031,REP,David Newell,171
1032,DEM,Brandon Birmingham,865
1032,REP,David Newell,212
1033,DEM,Brandon Birmingham,641
1033,REP,David Newell,332
1034,DEM,Brandon Birmingham,1602
1034,REP,David Newell,1444
1035,DEM,Brandon Birmingham,189
1035,REP,David Newell,249
1036,DEM,Brandon Birmingham,1231
1036,REP,David Newell,782
1037,DEM,Brandon Birmingham,880
1037,REP,David Newell,356
1038,DEM,Brandon Birmingham,1156
1038,REP,David Newell,613
1039,DEM,Brandon Birmingham,973
1039,REP,David Newell,343
1040,DEM,Brandon Birmingham,906
1040,REP,David Newell,278
1041,DEM,Brandon Birmingham,756
1041,REP,David Newell,241
1042,DEM,Brandon Birmingham,422
1042,REP,David Newell,154
1043,DEM,Brandon Birmingham,587
1043,REP,David Newell,294
1044,DEM,Brandon Birmingham,880
1044,REP,David Newell,321
1045,DEM,Brandon Birmingham,1280
1045,REP,David Newell,537
1046,DEM,Brandon Birmingham,788
1046,REP,David Newell,283
1047,DEM,Brandon Birmingham,638
1047,REP,David Newell,217
1048,DEM,Brandon Birmingham,823
1048,REP,David Newell,351
1049,DEM,Brandon Birmingham,929
1049,REP,David Newell,391
1050,DEM,Brandon Birmingham,525
1050,REP,David Newell,237
1051,DEM,Brandon Birmingham,680
1051,REP,David Newell,406
1052,DEM,Brandon Birmingham,817
1052,REP,David Newell,371
1053,DEM,Brandon Birmingham,87
1053,REP,David Newell,37
1054,DEM,Brandon Birmingham,1014
1054,REP,David Newell,420
1055,DEM,Brandon Birmingham,832
1055,REP,David Newell,504
1056,DEM,Brandon Birmingham,1133
1056,REP,David Newell,717
1057,DEM,Brandon Birmingham,623
1057,REP,David Newell,678
1058,DEM,Brandon Birmingham,735
1058,REP,David Newell,694
1059,DEM,Brandon Birmingham,141
1059,REP,David Newell,85
1060,DEM,Brandon Birmingham,1112
1060,REP,David Newell,392
1061,DEM,Brandon Birmingham,933
1061,REP,David Newell,322
1062,DEM,Brandon Birmingham,31
1062,REP,David Newell,67
1063,DEM,Brandon Birmingham,536
1063,REP,David Newell,643
1064,DEM,Brandon Birmingham,362
1064,REP,David Newell,309
1065,DEM,Brandon Birmingham,667
1065,REP,David Newell,689
1066,DEM,Brandon Birmingham,253
1066,REP,David Newell,171
1067,DEM,Brandon Birmingham,803
1067,REP,David Newell,1075
1068,DEM,Brandon Birmingham,663
1068,REP,David Newell,593
1069,DEM,Brandon Birmingham,177
1069,REP,David Newell,194
1070,DEM,Brandon Birmingham,390
1070,REP,David Newell,202
1071,DEM,Brandon Birmingham,736
1071,REP,David Newell,417
1072,DEM,Brandon Birmingham,839
1072,REP,David Newell,346
1073,DEM,Brandon Birmingham,1302
1073,REP,David Newell,1086
1074,DEM,Brandon Birmingham,4
1074,REP,David Newell,6
1075,DEM,Brandon Birmingham,791
1075,REP,David Newell,307
1076,DEM,Brandon Birmingham,1094
1076,REP,David Newell,631
1077,DEM,Brandon Birmingham,682
1077,REP,David Newell,208
1078,DEM,Brandon Birmingham,205
1078,REP,David Newell,55
1079,DEM,Brandon Birmingham,1090
1079,REP,David Newell,566
1080,DEM,Brandon Birmingham,2003
1080,REP,David Newell,875
1081,DEM,Brandon Birmingham,436
1081,REP,David Newell,800
1082,DEM,Brandon Birmingham,1720
1082,REP,David Newell,1020
1083,DEM,Brandon Birmingham,1089
1083,REP,David Newell,753
1084,DEM,Brandon Birmingham,723
1084,REP,David Newell,317
1085,DEM,Brandon Birmingham,613
1085,REP,David Newell,259
1086,DEM,Brandon Birmingham,960
1086,REP,David Newell,473
1087,DEM,Brandon Birmingham,592
1087,REP,David Newell,251
1088,DEM,Brandon Birmingham,345
1088,REP,David Newell,111
1089,DEM,Brandon Birmingham,611
1089,REP,David Newell,447
1090,DEM,Brandon Birmingham,0
1090,REP,David Newell,0
1091,DEM,Brandon Birmingham,941
1091,REP,David Newell,447
1092,DEM,Brandon Birmingham,416
1092,REP,David Newell,190
1093,DEM,Brandon Birmingham,493
1093,REP,David Newell,321
1094,DEM,Brandon Birmingham,951
1094,REP,David Newell,555
1095,DEM,Brandon Birmingham,83
1095,REP,David Newell,80
1096,DEM,Brandon Birmingham,57
1096,REP,David Newell,18
1097,DEM,Brandon Birmingham,278
1097,REP,David Newell,117
1098,DEM,Brandon Birmingham,377
1098,REP,David Newell,81
1099,DEM,Brandon Birmingham,1222
1099,REP,David Newell,716
1100,DEM,Brandon Birmingham,1125
1100,REP,David Newell,691
1101,DEM,Brandon Birmingham,0
1101,REP,David Newell,0
1102,DEM,Brandon Birmingham,277
1102,REP,David Newell,311
1103,DEM,Brandon Birmingham,269
1103,REP,David Newell,278
1104,DEM,Brandon Birmingham,1309
1104,REP,David Newell,837
1105,DEM,Brandon Birmingham,250
1105,REP,David Newell,153
1106,DEM,Brandon Birmingham,0
1106,REP,David Newell,0
1107,DEM,Brandon Birmingham,885
1107,REP,David Newell,767
1108,DEM,Brandon Birmingham,1778
1108,REP,David Newell,1410
1109,DEM,Brandon Birmingham,0
1109,REP,David Newell,3
1110,DEM,Brandon Birmingham,1165
1110,REP,David Newell,764
1111,DEM,Brandon Birmingham,2029
1111,REP,David Newell,1379
1112,DEM,Brandon Birmingham,1993
1112,REP,David Newell,926
1113,DEM,Brandon Birmingham,1169
1113,REP,David Newell,743
1114,DEM,Brandon Birmingham,23
1114,REP,David Newell,18
1115,DEM,Brandon Birmingham,48
1115,REP,David Newell,57
1116,DEM,Brandon Birmingham,472
1116,REP,David Newell,450
1117,DEM,Brandon Birmingham,121
1117,REP,David Newell,73
1118,DEM,Brandon Birmingham,1599
1118,REP,David Newell,1561
