precinct,party,candidate,votes
102,,Over Votes,1
102,,Under Votes,39
102,DEM,Kathy Cheng,412
102,REP,Jane Bland,1397
201,,Over Votes,0
201,,Under Votes,30
201,DEM,Kathy Cheng,436
201,REP,Jane Bland,1371
302,,Over Votes,0
302,,Under Votes,19
302,DEM,Kathy Cheng,276
302,REP,Jane Bland,707
303,,Over Votes,0
303,,Under Votes,5
303,DEM,Kathy Cheng,94
303,REP,Jane Bland,398
304,,Over Votes,0
304,,Under Votes,1
304,DEM,Kathy Cheng,69
304,REP,Jane Bland,168
401,,Over Votes,0
401,,Under Votes,31
401,DEM,Kathy Cheng,497
401,REP,Jane Bland,1526
