precinct,party,candidate,votes
10,,Over Votes,0
10,,Under Votes,27
10,DEM,Julia Maldonado,167
10,REP,Evan Young,906
11,,Over Votes,0
11,,Under Votes,6
11,DEM,Julia Maldonado,54
11,REP,Evan Young,489
11A,,Over Votes,0
11A,,Under Votes,18
11A,DEM,Julia Maldonado,125
11A,REP,Evan Young,906
12,,Over Votes,0
12,,Under Votes,16
12,DEM,Julia Maldonado,171
12,REP,Evan Young,1203
12A,,Over Votes,0
12A,,Under Votes,0
12A,DEM,Julia Maldonado,0
12A,REP,Evan Young,40
13,,Over Votes,0
13,,Under Votes,0
13,DEM,Julia Maldonado,0
13,REP,Evan Young,2
14,,Over Votes,0
14,,Under Votes,7
14,DEM,Julia Maldonado,84
14,REP,Evan Young,490
14A,,Over Votes,0
14A,,Under Votes,12
14A,DEM,Julia Maldonado,167
14A,REP,Evan Young,299
15,,Over Votes,0
15,,Under Votes,3
15,DEM,Julia Maldonado,29
15,REP,Evan Young,306
16,,Over Votes,0
16,,Under Votes,12
16,DEM,Julia Maldonado,41
16,REP,Evan Young,594
16A,,Over Votes,0
16A,,Under Votes,1
16A,DEM,Julia Maldonado,5
16A,REP,Evan Young,31
17,,Over Votes,0
17,,Under Votes,15
17,DEM,Julia Maldonado,100
17,REP,Evan Young,786
18,,Over Votes,0
18,,Under Votes,25
18,DEM,Julia Maldonado,163
18,REP,Evan Young,925
18A,,Over Votes,0
18A,,Under Votes,0
18A,DEM,Julia Maldonado,6
18A,REP,Evan Young,43
19,,Over Votes,0
19,,Under Votes,11
19,DEM,Julia Maldonado,19
19,REP,Evan Young,448
1A,,Over Votes,0
1A,,Under Votes,12
1A,DEM,Julia Maldonado,199
1A,REP,Evan Young,48
1B,,Over Votes,0
1B,,Under Votes,9
1B,DEM,Julia Maldonado,245
1B,REP,Evan Young,120
20,,Over Votes,0
20,,Under Votes,8
20,DEM,Julia Maldonado,30
20,REP,Evan Young,138
20A,,Over Votes,0
20A,,Under Votes,0
20A,DEM,Julia Maldonado,48
20A,REP,Evan Young,55
21,,Over Votes,0
21,,Under Votes,1
21,DEM,Julia Maldonado,24
21,REP,Evan Young,120
22,,Over Votes,0
22,,Under Votes,1
22,DEM,Julia Maldonado,16
22,REP,Evan Young,101
22A,,Over Votes,0
22A,,Under Votes,3
22A,DEM,Julia Maldonado,3
22A,REP,Evan Young,70
24,,Over Votes,0
24,,Under Votes,3
24,DEM,Julia Maldonado,15
24,REP,Evan Young,304
25,,Over Votes,0
25,,Under Votes,16
25,DEM,Julia Maldonado,85
25,REP,Evan Young,527
27,,Over Votes,0
27,,Under Votes,6
27,DEM,Julia Maldonado,12
27,REP,Evan Young,363
28,,Over Votes,0
28,,Under Votes,11
28,DEM,Julia Maldonado,22
28,REP,Evan Young,411
29,,Over Votes,0
29,,Under Votes,4
29,DEM,Julia Maldonado,11
29,REP,Evan Young,173
2A,,Over Votes,0
2A,,Under Votes,8
2A,DEM,Julia Maldonado,263
2A,REP,Evan Young,114
2B,,Over Votes,0
2B,,Under Votes,5
2B,DEM,Julia Maldonado,93
2B,REP,Evan Young,44
2C,,Over Votes,0
2C,,Under Votes,20
2C,DEM,Julia Maldonado,233
2C,REP,Evan Young,38
2D,,Over Votes,0
2D,,Under Votes,1
2D,DEM,Julia Maldonado,9
2D,REP,Evan Young,7
30,,Over Votes,0
30,,Under Votes,22
30,DEM,Julia Maldonado,257
30,REP,Evan Young,960
3A,,Over Votes,0
3A,,Under Votes,18
3A,DEM,Julia Maldonado,188
3A,REP,Evan Young,390
3B,,Over Votes,0
3B,,Under Votes,10
3B,DEM,Julia Maldonado,161
3B,REP,Evan Young,172
4A,,Over Votes,0
4A,,Under Votes,12
4A,DEM,Julia Maldonado,171
4A,REP,Evan Young,142
4B,,Over Votes,0
4B,,Under Votes,18
4B,DEM,Julia Maldonado,198
4B,REP,Evan Young,432
4C,,Over Votes,0
4C,,Under Votes,4
4C,DEM,Julia Maldonado,164
4C,REP,Evan Young,160
4D,,Over Votes,0
4D,,Under Votes,0
4D,DEM,Julia Maldonado,4
4D,REP,Evan Young,12
5A,,Over Votes,0
5A,,Under Votes,2
5A,DEM,Julia Maldonado,38
5A,REP,Evan Young,58
5B,,Over Votes,0
5B,,Under Votes,0
5B,DEM,Julia Maldonado,0
5B,REP,Evan Young,0
5C,,Over Votes,0
5C,,Under Votes,33
5C,DEM,Julia Maldonado,485
5C,REP,Evan Young,1879
6A,,Over Votes,0
6A,,Under Votes,22
6A,DEM,Julia Maldonado,303
6A,REP,Evan Young,821
6B,,Over Votes,0
6B,,Under Votes,24
6B,DEM,Julia Maldonado,253
6B,REP,Evan Young,909
7,,Over Votes,0
7,,Under Votes,45
7,DEM,Julia Maldonado,560
7,REP,Evan Young,1159
8A,,Over Votes,0
8A,,Under Votes,7
8A,DEM,Julia Maldonado,199
8A,REP,Evan Young,118
8B,,Over Votes,0
8B,,Under Votes,34
8B,DEM,Julia Maldonado,326
8B,REP,Evan Young,1144
8C,,Over Votes,0
8C,,Under Votes,9
8C,DEM,Julia Maldonado,94
8C,REP,Evan Young,527
9,,Over Votes,0
9,,Under Votes,21
9,DEM,Julia Maldonado,382
9,REP,Evan Young,798
9A,,Over Votes,0
9A,,Under Votes,3
9A,DEM,Julia Maldonado,17
9A,REP,Evan Young,125
