precinct,party,candidate,votes
1,DEM,Susan Hays,505
1,REP,Sid Miller,1216
10,DEM,Susan Hays,58
10,REP,Sid Miller,465
11,DEM,Susan Hays,724
11,REP,Sid Miller,1082
12,DEM,Susan Hays,648
12,REP,Sid Miller,1072
13,DEM,Susan Hays,923
13,REP,Sid Miller,1379
14,DEM,Susan Hays,468
14,REP,Sid Miller,1941
15,DEM,Susan Hays,145
15,REP,Sid Miller,1228
16,DEM,Susan Hays,195
16,REP,Sid Miller,591
17,DEM,Susan Hays,405
17,REP,Sid Miller,464
18,DEM,Susan Hays,772
18,REP,Sid Miller,1814
19,DEM,Susan Hays,265
19,REP,Sid Miller,311
2,DEM,Susan Hays,423
2,REP,Sid Miller,1554
20,DEM,Susan Hays,133
20,REP,Sid Miller,583
21,DEM,Susan Hays,1498
21,REP,Sid Miller,695
22,DEM,Susan Hays,506
22,REP,Sid Miller,1798
23,DEM,Susan Hays,489
23,REP,Sid Miller,1303
24,DEM,Susan Hays,138
24,REP,Sid Miller,602
25,DEM,Susan Hays,148
25,REP,Sid Miller,636
26,DEM,Susan Hays,878
26,REP,Sid Miller,1045
27,DEM,Susan Hays,667
27,REP,Sid Miller,766
28,DEM,Susan Hays,820
28,REP,Sid Miller,1234
29,DEM,Susan Hays,1084
29,REP,Sid Miller,729
3,DEM,Susan Hays,504
3,REP,Sid Miller,1508
30,DEM,Susan Hays,309
30,REP,Sid Miller,1416
31,DEM,Susan Hays,92
31,REP,Sid Miller,531
32,DEM,Susan Hays,230
32,REP,Sid Miller,1171
33,DEM,Susan Hays,258
33,REP,Sid Miller,817
34,DEM,Susan Hays,574
34,REP,Sid Miller,2120
35,DEM,Susan Hays,153
35,REP,Sid Miller,794
36,DEM,Susan Hays,158
36,REP,Sid Miller,393
37,DEM,Susan Hays,750
37,REP,Sid Miller,1185
38,DEM,Susan Hays,98
38,REP,Sid Miller,315
39,DEM,Susan Hays,420
39,REP,Sid Miller,1030
4,DEM,Susan Hays,347
4,REP,Sid Miller,1241
40,DEM,Susan Hays,232
40,REP,Sid Miller,927
41,DEM,Susan Hays,663
41,REP,Sid Miller,488
42,DEM,Susan Hays,92
42,REP,Sid Miller,209
43,DEM,Susan Hays,574
43,REP,Sid Miller,1444
44,DEM,Susan Hays,1315
44,REP,Sid Miller,955
45,DEM,Susan Hays,471
45,REP,Sid Miller,1233
46,DEM,Susan Hays,821
46,REP,Sid Miller,1591
47,DEM,Susan Hays,516
47,REP,Sid Miller,813
48,DEM,Susan Hays,379
48,REP,Sid Miller,915
49,DEM,Susan Hays,156
49,REP,Sid Miller,985
5,DEM,Susan Hays,201
5,REP,Sid Miller,925
50,DEM,Susan Hays,945
50,REP,Sid Miller,315
51,DEM,Susan Hays,497
51,REP,Sid Miller,1402
52,DEM,Susan Hays,473
52,REP,Sid Miller,1113
53,DEM,Susan Hays,1038
53,REP,Sid Miller,310
54,DEM,Susan Hays,1004
54,REP,Sid Miller,553
55,DEM,Susan Hays,438
55,REP,Sid Miller,1172
56,DEM,Susan Hays,677
56,REP,Sid Miller,1562
57,DEM,Susan Hays,132
57,REP,Sid Miller,485
58,DEM,Susan Hays,1094
58,REP,Sid Miller,706
59,DEM,Susan Hays,839
59,REP,Sid Miller,468
6,DEM,Susan Hays,84
6,REP,Sid Miller,774
60,DEM,Susan Hays,1281
60,REP,Sid Miller,1282
61,DEM,Susan Hays,102
61,REP,Sid Miller,411
62,DEM,Susan Hays,1134
62,REP,Sid Miller,828
63,DEM,Susan Hays,1382
63,REP,Sid Miller,491
64,DEM,Susan Hays,4
64,REP,Sid Miller,12
65,DEM,Susan Hays,863
65,REP,Sid Miller,1130
66,DEM,Susan Hays,1561
66,REP,Sid Miller,702
67,DEM,Susan Hays,807
67,REP,Sid Miller,299
68,DEM,Susan Hays,990
68,REP,Sid Miller,363
69,DEM,Susan Hays,841
69,REP,Sid Miller,404
7,DEM,Susan Hays,334
7,REP,Sid Miller,502
70,DEM,Susan Hays,1364
70,REP,Sid Miller,686
71,DEM,Susan Hays,378
71,REP,Sid Miller,189
72,DEM,Susan Hays,750
72,REP,Sid Miller,387
73,DEM,Susan Hays,518
73,REP,Sid Miller,325
74,DEM,Susan Hays,43
74,REP,Sid Miller,110
75,DEM,Susan Hays,344
75,REP,Sid Miller,1077
76,DEM,Susan Hays,164
76,REP,Sid Miller,647
77,DEM,Susan Hays,464
77,REP,Sid Miller,1163
78,DEM,Susan Hays,336
78,REP,Sid Miller,582
8,DEM,Susan Hays,72
8,REP,Sid Miller,281
9,DEM,Susan Hays,184
9,REP,Sid Miller,366
