precinct,party,candidate,votes
1,DEM,Janet T. Dudding,464
1,LIB,V. Alonzo Echevarria-Garza,48
1,REP,Glenn Hegar,1209
10,DEM,Janet T. Dudding,54
10,LIB,V. Alonzo Echevarria-Garza,6
10,REP,Glenn Hegar,464
11,DEM,Janet T. Dudding,691
11,LIB,V. Alonzo Echevarria-Garza,55
11,REP,Glenn Hegar,1070
12,DEM,Janet T. Dudding,603
12,LIB,V. Alonzo Echevarria-Garza,50
12,REP,Glenn Hegar,1066
13,DEM,Janet T. Dudding,874
13,LIB,V. Alonzo Echevarria-Garza,65
13,REP,Glenn Hegar,1368
14,DEM,Janet T. Dudding,449
14,LIB,V. Alonzo Echevarria-Garza,30
14,REP,Glenn Hegar,1939
15,DEM,Janet T. Dudding,132
15,LIB,V. Alonzo Echevarria-Garza,22
15,REP,Glenn Hegar,1213
16,DEM,Janet T. Dudding,177
16,LIB,V. Alonzo Echevarria-Garza,27
16,REP,Glenn Hegar,584
17,DEM,Janet T. Dudding,379
17,LIB,V. Alonzo Echevarria-Garza,30
17,REP,Glenn Hegar,458
18,DEM,Janet T. Dudding,728
18,LIB,V. Alonzo Echevarria-Garza,47
18,REP,Glenn Hegar,1812
19,DEM,Janet T. Dudding,245
19,LIB,V. Alonzo Echevarria-Garza,30
19,REP,Glenn Hegar,299
2,DEM,Janet T. Dudding,406
2,LIB,V. Alonzo Echevarria-Garza,50
2,REP,Glenn Hegar,1528
20,DEM,Janet T. Dudding,128
20,LIB,V. Alonzo Echevarria-Garza,17
20,REP,Glenn Hegar,576
21,DEM,Janet T. Dudding,1447
21,LIB,V. Alonzo Echevarria-Garza,73
21,REP,Glenn Hegar,676
22,DEM,Janet T. Dudding,468
22,LIB,V. Alonzo Echevarria-Garza,61
22,REP,Glenn Hegar,1783
23,DEM,Janet T. Dudding,437
23,LIB,V. Alonzo Echevarria-Garza,65
23,REP,Glenn Hegar,1295
24,DEM,Janet T. Dudding,131
24,LIB,V. Alonzo Echevarria-Garza,15
24,REP,Glenn Hegar,597
25,DEM,Janet T. Dudding,131
25,LIB,V. Alonzo Echevarria-Garza,19
25,REP,Glenn Hegar,632
26,DEM,Janet T. Dudding,825
26,LIB,V. Alonzo Echevarria-Garza,53
26,REP,Glenn Hegar,1054
27,DEM,Janet T. Dudding,633
27,LIB,V. Alonzo Echevarria-Garza,20
27,REP,Glenn Hegar,784
28,DEM,Janet T. Dudding,775
28,LIB,V. Alonzo Echevarria-Garza,54
28,REP,Glenn Hegar,1227
29,DEM,Janet T. Dudding,1044
29,LIB,V. Alonzo Echevarria-Garza,31
29,REP,Glenn Hegar,734
3,DEM,Janet T. Dudding,469
3,LIB,V. Alonzo Echevarria-Garza,53
3,REP,Glenn Hegar,1485
30,DEM,Janet T. Dudding,273
30,LIB,V. Alonzo Echevarria-Garza,37
30,REP,Glenn Hegar,1416
31,DEM,Janet T. Dudding,83
31,LIB,V. Alonzo Echevarria-Garza,16
31,REP,Glenn Hegar,524
32,DEM,Janet T. Dudding,217
32,LIB,V. Alonzo Echevarria-Garza,18
32,REP,Glenn Hegar,1164
33,DEM,Janet T. Dudding,253
33,LIB,V. Alonzo Echevarria-Garza,16
33,REP,Glenn Hegar,802
34,DEM,Janet T. Dudding,531
34,LIB,V. Alonzo Echevarria-Garza,45
34,REP,Glenn Hegar,2119
35,DEM,Janet T. Dudding,143
35,LIB,V. Alonzo Echevarria-Garza,19
35,REP,Glenn Hegar,785
36,DEM,Janet T. Dudding,154
36,LIB,V. Alonzo Echevarria-Garza,8
36,REP,Glenn Hegar,386
37,DEM,Janet T. Dudding,711
37,LIB,V. Alonzo Echevarria-Garza,67
37,REP,Glenn Hegar,1159
38,DEM,Janet T. Dudding,95
38,LIB,V. Alonzo Echevarria-Garza,8
38,REP,Glenn Hegar,310
39,DEM,Janet T. Dudding,383
39,LIB,V. Alonzo Echevarria-Garza,49
39,REP,Glenn Hegar,1017
4,DEM,Janet T. Dudding,324
4,LIB,V. Alonzo Echevarria-Garza,37
4,REP,Glenn Hegar,1220
40,DEM,Janet T. Dudding,211
40,LIB,V. Alonzo Echevarria-Garza,35
40,REP,Glenn Hegar,911
41,DEM,Janet T. Dudding,649
41,LIB,V. Alonzo Echevarria-Garza,31
41,REP,Glenn Hegar,478
42,DEM,Janet T. Dudding,89
42,LIB,V. Alonzo Echevarria-Garza,4
42,REP,Glenn Hegar,208
43,DEM,Janet T. Dudding,562
43,LIB,V. Alonzo Echevarria-Garza,41
43,REP,Glenn Hegar,1418
44,DEM,Janet T. Dudding,1259
44,LIB,V. Alonzo Echevarria-Garza,54
44,REP,Glenn Hegar,957
45,DEM,Janet T. Dudding,441
45,LIB,V. Alonzo Echevarria-Garza,43
45,REP,Glenn Hegar,1213
46,DEM,Janet T. Dudding,775
46,LIB,V. Alonzo Echevarria-Garza,64
46,REP,Glenn Hegar,1576
47,DEM,Janet T. Dudding,487
47,LIB,V. Alonzo Echevarria-Garza,50
47,REP,Glenn Hegar,795
48,DEM,Janet T. Dudding,349
48,LIB,V. Alonzo Echevarria-Garza,33
48,REP,Glenn Hegar,919
49,DEM,Janet T. Dudding,145
49,LIB,V. Alonzo Echevarria-Garza,13
49,REP,Glenn Hegar,980
5,DEM,Janet T. Dudding,190
5,LIB,V. Alonzo Echevarria-Garza,18
5,REP,Glenn Hegar,917
50,DEM,Janet T. Dudding,937
50,LIB,V. Alonzo Echevarria-Garza,19
50,REP,Glenn Hegar,311
51,DEM,Janet T. Dudding,462
51,LIB,V. Alonzo Echevarria-Garza,37
51,REP,Glenn Hegar,1405
52,DEM,Janet T. Dudding,439
52,LIB,V. Alonzo Echevarria-Garza,43
52,REP,Glenn Hegar,1108
53,DEM,Janet T. Dudding,1007
53,LIB,V. Alonzo Echevarria-Garza,37
53,REP,Glenn Hegar,308
54,DEM,Janet T. Dudding,975
54,LIB,V. Alonzo Echevarria-Garza,45
54,REP,Glenn Hegar,540
55,DEM,Janet T. Dudding,401
55,LIB,V. Alonzo Echevarria-Garza,38
55,REP,Glenn Hegar,1169
56,DEM,Janet T. Dudding,618
56,LIB,V. Alonzo Echevarria-Garza,72
56,REP,Glenn Hegar,1555
57,DEM,Janet T. Dudding,122
57,LIB,V. Alonzo Echevarria-Garza,12
57,REP,Glenn Hegar,484
58,DEM,Janet T. Dudding,1081
58,LIB,V. Alonzo Echevarria-Garza,35
58,REP,Glenn Hegar,686
59,DEM,Janet T. Dudding,813
59,LIB,V. Alonzo Echevarria-Garza,32
59,REP,Glenn Hegar,467
6,DEM,Janet T. Dudding,75
6,LIB,V. Alonzo Echevarria-Garza,22
6,REP,Glenn Hegar,761
60,DEM,Janet T. Dudding,1233
60,LIB,V. Alonzo Echevarria-Garza,64
60,REP,Glenn Hegar,1270
61,DEM,Janet T. Dudding,92
61,LIB,V. Alonzo Echevarria-Garza,13
61,REP,Glenn Hegar,410
62,DEM,Janet T. Dudding,1081
62,LIB,V. Alonzo Echevarria-Garza,48
62,REP,Glenn Hegar,838
63,DEM,Janet T. Dudding,1346
63,LIB,V. Alonzo Echevarria-Garza,52
63,REP,Glenn Hegar,474
64,DEM,Janet T. Dudding,4
64,LIB,V. Alonzo Echevarria-Garza,0
64,REP,Glenn Hegar,12
65,DEM,Janet T. Dudding,826
65,LIB,V. Alonzo Echevarria-Garza,47
65,REP,Glenn Hegar,1128
66,DEM,Janet T. Dudding,1516
66,LIB,V. Alonzo Echevarria-Garza,34
66,REP,Glenn Hegar,711
67,DEM,Janet T. Dudding,792
67,LIB,V. Alonzo Echevarria-Garza,13
67,REP,Glenn Hegar,300
68,DEM,Janet T. Dudding,969
68,LIB,V. Alonzo Echevarria-Garza,35
68,REP,Glenn Hegar,353
69,DEM,Janet T. Dudding,807
69,LIB,V. Alonzo Echevarria-Garza,28
69,REP,Glenn Hegar,414
7,DEM,Janet T. Dudding,310
7,LIB,V. Alonzo Echevarria-Garza,27
7,REP,Glenn Hegar,501
70,DEM,Janet T. Dudding,1316
70,LIB,V. Alonzo Echevarria-Garza,50
70,REP,Glenn Hegar,685
71,DEM,Janet T. Dudding,361
71,LIB,V. Alonzo Echevarria-Garza,13
71,REP,Glenn Hegar,194
72,DEM,Janet T. Dudding,720
72,LIB,V. Alonzo Echevarria-Garza,27
72,REP,Glenn Hegar,388
73,DEM,Janet T. Dudding,509
73,LIB,V. Alonzo Echevarria-Garza,27
73,REP,Glenn Hegar,310
74,DEM,Janet T. Dudding,42
74,LIB,V. Alonzo Echevarria-Garza,5
74,REP,Glenn Hegar,105
75,DEM,Janet T. Dudding,326
75,LIB,V. Alonzo Echevarria-Garza,36
