precinct,party,candidate,votes
1,DEM,Robert Johnson,499
1,REP,"Jesse F. McClure, III",1219
10,DEM,Robert Johnson,54
10,REP,"Jesse F. McClure, III",468
11,DEM,Robert Johnson,722
11,REP,"Jesse F. McClure, III",1088
12,DEM,Robert Johnson,628
12,REP,"Jesse F. McClure, III",1085
13,DEM,Robert Johnson,903
13,REP,"Jesse F. McClure, III",1387
14,DEM,Robert Johnson,457
14,REP,"Jesse F. McClure, III",1947
15,DEM,Robert Johnson,142
15,REP,"Jesse F. McClure, III",1216
16,DEM,Robert Johnson,184
16,REP,"Jesse F. McClure, III",598
17,DEM,Robert Johnson,396
17,REP,"Jesse F. McClure, III",468
18,DEM,Robert Johnson,739
18,REP,"Jesse F. McClure, III",1846
19,DEM,Robert Johnson,261
19,REP,"Jesse F. McClure, III",311
2,DEM,Robert Johnson,420
2,REP,"Jesse F. McClure, III",1545
20,DEM,Robert Johnson,128
20,REP,"Jesse F. McClure, III",591
21,DEM,Robert Johnson,1470
21,REP,"Jesse F. McClure, III",711
22,DEM,Robert Johnson,483
22,REP,"Jesse F. McClure, III",1816
23,DEM,Robert Johnson,476
23,REP,"Jesse F. McClure, III",1310
24,DEM,Robert Johnson,135
24,REP,"Jesse F. McClure, III",608
25,DEM,Robert Johnson,141
25,REP,"Jesse F. McClure, III",640
26,DEM,Robert Johnson,844
26,REP,"Jesse F. McClure, III",1077
27,DEM,Robert Johnson,637
27,REP,"Jesse F. McClure, III",797
28,DEM,Robert Johnson,788
28,REP,"Jesse F. McClure, III",1262
29,DEM,Robert Johnson,1053
29,REP,"Jesse F. McClure, III",745
3,DEM,Robert Johnson,474
3,REP,"Jesse F. McClure, III",1529
30,DEM,Robert Johnson,280
30,REP,"Jesse F. McClure, III",1443
31,DEM,Robert Johnson,86
31,REP,"Jesse F. McClure, III",528
32,DEM,Robert Johnson,217
32,REP,"Jesse F. McClure, III",1179
33,DEM,Robert Johnson,257
33,REP,"Jesse F. McClure, III",815
34,DEM,Robert Johnson,540
34,REP,"Jesse F. McClure, III",2148
35,DEM,Robert Johnson,149
35,REP,"Jesse F. McClure, III",794
36,DEM,Robert Johnson,156
36,REP,"Jesse F. McClure, III",395
37,DEM,Robert Johnson,734
37,REP,"Jesse F. McClure, III",1200
38,DEM,Robert Johnson,94
38,REP,"Jesse F. McClure, III",318
39,DEM,Robert Johnson,405
39,REP,"Jesse F. McClure, III",1042
4,DEM,Robert Johnson,344
4,REP,"Jesse F. McClure, III",1237
40,DEM,Robert Johnson,221
40,REP,"Jesse F. McClure, III",933
41,DEM,Robert Johnson,654
41,REP,"Jesse F. McClure, III",502
42,DEM,Robert Johnson,89
42,REP,"Jesse F. McClure, III",214
43,DEM,Robert Johnson,563
43,REP,"Jesse F. McClure, III",1448
44,DEM,Robert Johnson,1267
44,REP,"Jesse F. McClure, III",1002
45,DEM,Robert Johnson,449
45,REP,"Jesse F. McClure, III",1247
46,DEM,Robert Johnson,799
46,REP,"Jesse F. McClure, III",1612
47,DEM,Robert Johnson,504
47,REP,"Jesse F. McClure, III",817
48,DEM,Robert Johnson,365
48,REP,"Jesse F. McClure, III",927
49,DEM,Robert Johnson,146
49,REP,"Jesse F. McClure, III",989
5,DEM,Robert Johnson,200
5,REP,"Jesse F. McClure, III",925
50,DEM,Robert Johnson,942
50,REP,"Jesse F. McClure, III",325
51,DEM,Robert Johnson,460
51,REP,"Jesse F. McClure, III",1430
52,DEM,Robert Johnson,446
52,REP,"Jesse F. McClure, III",1138
53,DEM,Robert Johnson,1025
53,REP,"Jesse F. McClure, III",325
54,DEM,Robert Johnson,984
54,REP,"Jesse F. McClure, III",565
55,DEM,Robert Johnson,416
55,REP,"Jesse F. McClure, III",1185
56,DEM,Robert Johnson,644
56,REP,"Jesse F. McClure, III",1580
57,DEM,Robert Johnson,125
57,REP,"Jesse F. McClure, III",487
58,DEM,Robert Johnson,1099
58,REP,"Jesse F. McClure, III",701
59,DEM,Robert Johnson,834
59,REP,"Jesse F. McClure, III",478
6,DEM,Robert Johnson,82
6,REP,"Jesse F. McClure, III",773
60,DEM,Robert Johnson,1247
60,REP,"Jesse F. McClure, III",1307
61,DEM,Robert Johnson,95
61,REP,"Jesse F. McClure, III",416
62,DEM,Robert Johnson,1092
62,REP,"Jesse F. McClure, III",867
63,DEM,Robert Johnson,1367
63,REP,"Jesse F. McClure, III",503
64,DEM,Robert Johnson,4
64,REP,"Jesse F. McClure, III",12
65,DEM,Robert Johnson,854
65,REP,"Jesse F. McClure, III",1140
66,DEM,Robert Johnson,1538
66,REP,"Jesse F. McClure, III",716
67,DEM,Robert Johnson,798
67,REP,"Jesse F. McClure, III",304
68,DEM,Robert Johnson,992
68,REP,"Jesse F. McClure, III",365
69,DEM,Robert Johnson,822
69,REP,"Jesse F. McClure, III",418
7,DEM,Robert Johnson,328
7,REP,"Jesse F. McClure, III",506
70,DEM,Robert Johnson,1344
70,REP,"Jesse F. McClure, III",698
71,DEM,Robert Johnson,374
