precinct,party,candidate,votes
113,DEM,Elizabeth Davis Frizell,49
113,REP,Bert Richardson,444
114,DEM,Elizabeth Davis Frizell,274
114,REP,Bert Richardson,881
203,DEM,Elizabeth Davis Frizell,62
203,REP,Bert Richardson,240
204,DEM,Elizabeth Davis Frizell,58
204,REP,Bert Richardson,456
207,DEM,Elizabeth Davis Frizell,101
207,REP,Bert Richardson,216
211,DEM,Elizabeth Davis Frizell,126
211,REP,Bert Richardson,601
215,DEM,Elizabeth Davis Frizell,69
215,REP,Bert Richardson,234
301,DEM,Elizabeth Davis Frizell,193
301,REP,Bert Richardson,740
305,DEM,Elizabeth Davis Frizell,67
305,REP,Bert Richardson,350
308,DEM,Elizabeth Davis Frizell,58
308,REP,Bert Richardson,258
309,DEM,Elizabeth Davis Frizell,97
309,REP,Bert Richardson,517
406,DEM,Elizabeth Davis Frizell,277
406,REP,Bert Richardson,458
410,DEM,Elizabeth Davis Frizell,273
410,REP,Bert Richardson,1162
