precinct,party,candidate,votes
1,,Carrie Evelyn Menger,0
1,DEM,Jay Kleberg,129
1,GRN,"Alfred Molison, Jr",6
1,REP,Dawn Buckingham,819
10,,Carrie Evelyn Menger,1
10,DEM,Jay Kleberg,193
10,GRN,"Alfred Molison, Jr",7
10,REP,Dawn Buckingham,880
11,,Carrie Evelyn Menger,1
11,DEM,Jay Kleberg,51
11,GRN,"Alfred Molison, Jr",3
11,REP,Dawn Buckingham,339
12,,Carrie Evelyn Menger,0
12,DEM,Jay Kleberg,225
12,GRN,"Alfred Molison, Jr",13
12,REP,Dawn Buckingham,937
13,,Carrie Evelyn Menger,0
13,DEM,Jay Kleberg,140
13,GRN,"Alfred Molison, Jr",9
13,REP,Dawn Buckingham,579
14,,Carrie Evelyn Menger,0
14,DEM,Jay Kleberg,57
14,GRN,"Alfred Molison, Jr",2
14,REP,Dawn Buckingham,317
15,,Carrie Evelyn Menger,0
15,DEM,Jay Kleberg,92
15,GRN,"Alfred Molison, Jr",7
15,REP,Dawn Buckingham,474
16,,Carrie Evelyn Menger,0
16,DEM,Jay Kleberg,72
16,GRN,"Alfred Molison, Jr",0
16,REP,Dawn Buckingham,322
17,,Carrie Evelyn Menger,0
17,DEM,Jay Kleberg,185
17,GRN,"Alfred Molison, Jr",14
17,REP,Dawn Buckingham,1166
18,,Carrie Evelyn Menger,1
18,DEM,Jay Kleberg,190
18,GRN,"Alfred Molison, Jr",8
18,REP,Dawn Buckingham,553
19,,Carrie Evelyn Menger,0
19,DEM,Jay Kleberg,553
19,GRN,"Alfred Molison, Jr",33
19,REP,Dawn Buckingham,1901
2,,Carrie Evelyn Menger,0
2,DEM,Jay Kleberg,379
2,GRN,"Alfred Molison, Jr",25
2,REP,Dawn Buckingham,1471
20,,Carrie Evelyn Menger,0
20,DEM,Jay Kleberg,545
20,GRN,"Alfred Molison, Jr",20
20,REP,Dawn Buckingham,1499
3,,Carrie Evelyn Menger,0
3,DEM,Jay Kleberg,142
3,GRN,"Alfred Molison, Jr",15
3,REP,Dawn Buckingham,508
4,,Carrie Evelyn Menger,1
4,DEM,Jay Kleberg,419
4,GRN,"Alfred Molison, Jr",20
4,REP,Dawn Buckingham,1353
5,,Carrie Evelyn Menger,0
5,DEM,Jay Kleberg,179
5,GRN,"Alfred Molison, Jr",4
5,REP,Dawn Buckingham,588
6,,Carrie Evelyn Menger,0
6,DEM,Jay Kleberg,86
6,GRN,"Alfred Molison, Jr",4
6,REP,Dawn Buckingham,307
7,,Carrie Evelyn Menger,0
7,DEM,Jay Kleberg,71
7,GRN,"Alfred Molison, Jr",4
7,REP,Dawn Buckingham,372
8,,Carrie Evelyn Menger,0
8,DEM,Jay Kleberg,127
8,GRN,"Alfred Molison, Jr",3
8,REP,Dawn Buckingham,698
9,,Carrie Evelyn Menger,0
9,DEM,Jay Kleberg,316
9,GRN,"Alfred Molison, Jr",9
9,REP,Dawn Buckingham,1508
