precinct,party,candidate,votes
1,DEM,Rosa Lopez Theofanis,134
1,REP,Lesli R. Fitzpatrick,814
10,DEM,Rosa Lopez Theofanis,196
10,REP,Lesli R. Fitzpatrick,876
11,DEM,Rosa Lopez Theofanis,51
11,REP,Lesli R. Fitzpatrick,340
12,DEM,Rosa Lopez Theofanis,235
12,REP,Lesli R. Fitzpatrick,939
13,DEM,Rosa Lopez Theofanis,148
13,REP,Lesli R. Fitzpatrick,579
14,DEM,Rosa Lopez Theofanis,57
14,REP,Lesli R. Fitzpatrick,318
15,DEM,Rosa Lopez Theofanis,99
15,REP,Lesli R. Fitzpatrick,473
16,DEM,Rosa Lopez Theofanis,68
16,REP,Lesli R. Fitzpatrick,325
17,DEM,Rosa Lopez Theofanis,184
17,REP,Lesli R. Fitzpatrick,1171
18,DEM,Rosa Lopez Theofanis,192
18,REP,Lesli R. Fitzpatrick,550
19,DEM,Rosa Lopez Theofanis,559
19,REP,Lesli R. Fitzpatrick,1925
2,DEM,Rosa Lopez Theofanis,379
2,REP,Lesli R. Fitzpatrick,1453
20,DEM,Rosa Lopez Theofanis,543
20,REP,Lesli R. Fitzpatrick,1505
3,DEM,Rosa Lopez Theofanis,153
3,REP,Lesli R. Fitzpatrick,510
4,DEM,Rosa Lopez Theofanis,411
4,REP,Lesli R. Fitzpatrick,1359
5,DEM,Rosa Lopez Theofanis,180
5,REP,Lesli R. Fitzpatrick,580
6,DEM,Rosa Lopez Theofanis,80
6,REP,Lesli R. Fitzpatrick,317
7,DEM,Rosa Lopez Theofanis,74
7,REP,Lesli R. Fitzpatrick,370
8,DEM,Rosa Lopez Theofanis,124
8,REP,Lesli R. Fitzpatrick,699
9,DEM,Rosa Lopez Theofanis,295
9,REP,Lesli R. Fitzpatrick,1530
