precinct,party,candidate,votes
1,DEM,Erin A. Nowell,136
1,LIB,Thomas Edward Oxford,28
1,REP,Debra Lehrmann,788
10,DEM,Erin A. Nowell,193
10,LIB,Thomas Edward Oxford,32
10,REP,Debra Lehrmann,856
11,DEM,Erin A. Nowell,53
11,LIB,Thomas Edward Oxford,2
11,REP,Debra Lehrmann,339
12,DEM,Erin A. Nowell,231
12,LIB,Thomas Edward Oxford,35
12,REP,Debra Lehrmann,912
13,DEM,Erin A. Nowell,144
13,LIB,Thomas Edward Oxford,25
13,REP,Debra Lehrmann,560
14,DEM,Erin A. Nowell,55
14,LIB,Thomas Edward Oxford,15
14,REP,Debra Lehrmann,304
15,DEM,Erin A. Nowell,98
15,LIB,Thomas Edward Oxford,18
15,REP,Debra Lehrmann,460
16,DEM,Erin A. Nowell,67
16,LIB,Thomas Edward Oxford,8
16,REP,Debra Lehrmann,317
17,DEM,Erin A. Nowell,182
17,LIB,Thomas Edward Oxford,22
17,REP,Debra Lehrmann,1161
18,DEM,Erin A. Nowell,197
18,LIB,Thomas Edward Oxford,19
18,REP,Debra Lehrmann,532
19,DEM,Erin A. Nowell,558
19,LIB,Thomas Edward Oxford,49
19,REP,Debra Lehrmann,1887
2,DEM,Erin A. Nowell,377
2,LIB,Thomas Edward Oxford,33
2,REP,Debra Lehrmann,1462
20,DEM,Erin A. Nowell,534
20,LIB,Thomas Edward Oxford,35
20,REP,Debra Lehrmann,1491
3,DEM,Erin A. Nowell,145
3,LIB,Thomas Edward Oxford,22
3,REP,Debra Lehrmann,499
4,DEM,Erin A. Nowell,400
4,LIB,Thomas Edward Oxford,45
4,REP,Debra Lehrmann,1339
5,DEM,Erin A. Nowell,172
5,LIB,Thomas Edward Oxford,11
5,REP,Debra Lehrmann,585
6,DEM,Erin A. Nowell,80
6,LIB,Thomas Edward Oxford,11
6,REP,Debra Lehrmann,309
7,DEM,Erin A. Nowell,73
7,LIB,Thomas Edward Oxford,5
7,REP,Debra Lehrmann,369
8,DEM,Erin A. Nowell,122
8,LIB,Thomas Edward Oxford,13
8,REP,Debra Lehrmann,693
9,DEM,Erin A. Nowell,299
9,LIB,Thomas Edward Oxford,35
9,REP,Debra Lehrmann,1503
