precinct,party,candidate,votes
100,DEM,Janet T. Dudding,188
100,LIB,V. Alonzo Echevarria-Garza,10
100,REP,Glenn Hegar,126
101,DEM,Janet T. Dudding,190
101,LIB,V. Alonzo Echevarria-Garza,22
101,REP,Glenn Hegar,158
102,DEM,Janet T. Dudding,116
102,LIB,V. Alonzo Echevarria-Garza,8
102,REP,Glenn Hegar,281
103,DEM,Janet T. Dudding,695
103,LIB,V. Alonzo Echevarria-Garza,42
103,REP,Glenn Hegar,725
104,DEM,Janet T. Dudding,88
104,LIB,V. Alonzo Echevarria-Garza,10
104,REP,Glenn Hegar,253
108,DEM,Janet T. Dudding,170
108,LIB,V. Alonzo Echevarria-Garza,21
108,REP,Glenn Hegar,164
111,DEM,Janet T. Dudding,271
111,LIB,V. Alonzo Echevarria-Garza,25
111,REP,Glenn Hegar,273
201,DEM,Janet T. Dudding,157
201,LIB,V. Alonzo Echevarria-Garza,13
201,REP,Glenn Hegar,280
202,DEM,Janet T. Dudding,138
202,LIB,V. Alonzo Echevarria-Garza,19
202,REP,Glenn Hegar,414
203,DEM,Janet T. Dudding,127
203,LIB,V. Alonzo Echevarria-Garza,18
203,REP,Glenn Hegar,517
204,DEM,Janet T. Dudding,167
204,LIB,V. Alonzo Echevarria-Garza,17
204,REP,Glenn Hegar,592
205,DEM,Janet T. Dudding,29
205,LIB,V. Alonzo Echevarria-Garza,3
205,REP,Glenn Hegar,187
206,DEM,Janet T. Dudding,141
206,LIB,V. Alonzo Echevarria-Garza,8
206,REP,Glenn Hegar,313
300,DEM,Janet T. Dudding,76
300,LIB,V. Alonzo Echevarria-Garza,8
300,REP,Glenn Hegar,81
301,DEM,Janet T. Dudding,302
301,LIB,V. Alonzo Echevarria-Garza,23
301,REP,Glenn Hegar,305
302,DEM,Janet T. Dudding,196
302,LIB,V. Alonzo Echevarria-Garza,15
302,REP,Glenn Hegar,247
303,DEM,Janet T. Dudding,126
303,LIB,V. Alonzo Echevarria-Garza,8
303,REP,Glenn Hegar,227
305,DEM,Janet T. Dudding,101
305,LIB,V. Alonzo Echevarria-Garza,7
305,REP,Glenn Hegar,180
306,DEM,Janet T. Dudding,142
306,LIB,V. Alonzo Echevarria-Garza,16
306,REP,Glenn Hegar,145
400,DEM,Janet T. Dudding,170
400,LIB,V. Alonzo Echevarria-Garza,13
400,REP,Glenn Hegar,188
401,DEM,Janet T. Dudding,235
401,LIB,V. Alonzo Echevarria-Garza,18
401,REP,Glenn Hegar,91
402,DEM,Janet T. Dudding,292
402,LIB,V. Alonzo Echevarria-Garza,26
402,REP,Glenn Hegar,164
404,DEM,Janet T. Dudding,227
404,LIB,V. Alonzo Echevarria-Garza,15
404,REP,Glenn Hegar,233
405,DEM,Janet T. Dudding,110
405,LIB,V. Alonzo Echevarria-Garza,8
405,REP,Glenn Hegar,217
