precinct,party,candidate,votes
10,,Frank Ortiz,317
10,,Over Votes,0
10,,Prisci Roca Tipton,189
10,,Under Votes,64
11,,Frank Ortiz,286
11,,Over Votes,0
11,,Prisci Roca Tipton,216
11,,Under Votes,35
12,,Frank Ortiz,516
12,,Over Votes,0
12,,Prisci Roca Tipton,359
12,,Under Votes,68
13,,Frank Ortiz,106
13,,Over Votes,0
13,,Prisci Roca Tipton,64
13,,Under Votes,21
14,,Frank Ortiz,499
14,,Over Votes,0
14,,Prisci Roca Tipton,220
14,,Under Votes,44
15,,Frank Ortiz,402
15,,Over Votes,2
15,,Prisci Roca Tipton,336
15,,Under Votes,54
16,,Frank Ortiz,154
16,,Over Votes,0
16,,Prisci Roca Tipton,125
16,,Under Votes,40
17,,Frank Ortiz,144
17,,Over Votes,0
17,,Prisci Roca Tipton,95
17,,Under Votes,20
37,,Frank Ortiz,310
37,,Over Votes,0
37,,Prisci Roca Tipton,162
37,,Under Votes,45
38,,Frank Ortiz,158
38,,Over Votes,0
38,,Prisci Roca Tipton,198
38,,Under Votes,23
4,,Frank Ortiz,310
4,,Over Votes,0
4,,Prisci Roca Tipton,372
4,,Under Votes,81
45,,Frank Ortiz,321
45,,Over Votes,0
45,,Prisci Roca Tipton,155
45,,Under Votes,40
46,,Frank Ortiz,771
46,,Over Votes,0
46,,Prisci Roca Tipton,484
46,,Under Votes,66
47,,Frank Ortiz,289
47,,Over Votes,0
47,,Prisci Roca Tipton,217
47,,Under Votes,76
48,,Frank Ortiz,621
48,,Over Votes,0
48,,Prisci Roca Tipton,444
48,,Under Votes,74
49,,Frank Ortiz,11
49,,Over Votes,0
49,,Prisci Roca Tipton,7
49,,Under Votes,2
5,,Frank Ortiz,495
5,,Over Votes,0
5,,Prisci Roca Tipton,450
5,,Under Votes,96
53,,Frank Ortiz,494
53,,Over Votes,0
53,,Prisci Roca Tipton,296
53,,Under Votes,59
54,,Frank Ortiz,1037
54,,Over Votes,0
54,,Prisci Roca Tipton,697
54,,Under Votes,73
6,,Frank Ortiz,137
6,,Over Votes,0
6,,Prisci Roca Tipton,81
6,,Under Votes,30
60,,Frank Ortiz,202
60,,Over Votes,0
60,,Prisci Roca Tipton,120
60,,Under Votes,34
61,,Frank Ortiz,411
61,,Over Votes,0
61,,Prisci Roca Tipton,389
61,,Under Votes,64
62,,Frank Ortiz,581
62,,Over Votes,1
62,,Prisci Roca Tipton,460
62,,Under Votes,88
63,,Frank Ortiz,341
63,,Over Votes,0
63,,Prisci Roca Tipton,295
63,,Under Votes,34
68,,Frank Ortiz,389
68,,Over Votes,0
68,,Prisci Roca Tipton,230
68,,Under Votes,44
69,,Frank Ortiz,614
69,,Over Votes,0
69,,Prisci Roca Tipton,334
69,,Under Votes,76
7,,Frank Ortiz,194
7,,Over Votes,0
7,,Prisci Roca Tipton,179
7,,Under Votes,31
70,,Frank Ortiz,171
70,,Over Votes,1
70,,Prisci Roca Tipton,105
70,,Under Votes,26
71,,Frank Ortiz,483
71,,Over Votes,0
71,,Prisci Roca Tipton,331
71,,Under Votes,69
72,,Frank Ortiz,761
72,,Over Votes,0
72,,Prisci Roca Tipton,586
72,,Under Votes,70
73,,Frank Ortiz,760
73,,Over Votes,0
73,,Prisci Roca Tipton,723
73,,Under Votes,89
74,,Frank Ortiz,540
74,,Over Votes,0
74,,Prisci Roca Tipton,376
74,,Under Votes,70
75,,Frank Ortiz,507
75,,Over Votes,0
75,,Prisci Roca Tipton,316
75,,Under Votes,71
76,,Frank Ortiz,571
76,,Over Votes,1
76,,Prisci Roca Tipton,519
76,,Under Votes,74
77,,Frank Ortiz,403
77,,Over Votes,0
77,,Prisci Roca Tipton,245
77,,Under Votes,54
8,,Frank Ortiz,92
8,,Over Votes,0
8,,Prisci Roca Tipton,46
8,,Under Votes,5
82,,Frank Ortiz,289
82,,Over Votes,0
82,,Prisci Roca Tipton,229
82,,Under Votes,39
86,,Frank Ortiz,258
86,,Over Votes,0
86,,Prisci Roca Tipton,188
86,,Under Votes,34
9,,Frank Ortiz,353
9,,Over Votes,0
9,,Prisci Roca Tipton,237
9,,Under Votes,59
90,,Frank Ortiz,78
90,,Over Votes,0
90,,Prisci Roca Tipton,66
90,,Under Votes,7
91,,Frank Ortiz,229
91,,Over Votes,0
91,,Prisci Roca Tipton,147
91,,Under Votes,20
97,,Frank Ortiz,104
97,,Over Votes,0
97,,Prisci Roca Tipton,99
97,,Under Votes,22
98,,Frank Ortiz,894
98,,Over Votes,1
98,,Prisci Roca Tipton,673
98,,Under Votes,91
