precinct,party,candidate,votes
1,,Over Votes,0
1,,Under Votes,40
1,DEM,"Luis Villarreal, Jr.",350
1,REP,Janie Lopez,231
14,,Over Votes,0
14,,Under Votes,31
14,DEM,"Luis Villarreal, Jr.",453
14,REP,Janie Lopez,326
2,,Over Votes,0
2,,Under Votes,6
2,DEM,"Luis Villarreal, Jr.",100
2,REP,Janie Lopez,178
20,,Over Votes,0
20,,Under Votes,17
20,DEM,"Luis Villarreal, Jr.",225
20,REP,Janie Lopez,284
23,,Over Votes,0
23,,Under Votes,1
23,DEM,"Luis Villarreal, Jr.",23
23,REP,Janie Lopez,58
26,,Over Votes,1
26,,Under Votes,37
26,DEM,"Luis Villarreal, Jr.",423
26,REP,Janie Lopez,412
28,,Over Votes,0
28,,Under Votes,17
28,DEM,"Luis Villarreal, Jr.",414
28,REP,Janie Lopez,386
29,,Over Votes,0
29,,Under Votes,20
29,DEM,"Luis Villarreal, Jr.",392
29,REP,Janie Lopez,642
3,,Over Votes,0
3,,Under Votes,52
3,DEM,"Luis Villarreal, Jr.",847
3,REP,Janie Lopez,852
30,,Over Votes,0
30,,Under Votes,10
30,DEM,"Luis Villarreal, Jr.",198
30,REP,Janie Lopez,282
31,,Over Votes,0
31,,Under Votes,7
31,DEM,"Luis Villarreal, Jr.",66
31,REP,Janie Lopez,49
32,,Over Votes,1
32,,Under Votes,31
32,DEM,"Luis Villarreal, Jr.",514
32,REP,Janie Lopez,477
33,,Over Votes,0
33,,Under Votes,9
33,DEM,"Luis Villarreal, Jr.",127
33,REP,Janie Lopez,77
34,,Over Votes,0
34,,Under Votes,16
34,DEM,"Luis Villarreal, Jr.",277
34,REP,Janie Lopez,487
35,,Over Votes,0
35,,Under Votes,11
35,DEM,"Luis Villarreal, Jr.",257
35,REP,Janie Lopez,289
36,,Over Votes,0
36,,Under Votes,15
36,DEM,"Luis Villarreal, Jr.",526
36,REP,Janie Lopez,473
39,,Over Votes,0
39,,Under Votes,15
39,DEM,"Luis Villarreal, Jr.",201
39,REP,Janie Lopez,130
4,,Over Votes,0
4,,Under Votes,31
4,DEM,"Luis Villarreal, Jr.",578
4,REP,Janie Lopez,717
41,,Over Votes,0
41,,Under Votes,41
41,DEM,"Luis Villarreal, Jr.",789
41,REP,Janie Lopez,460
42,,Over Votes,0
42,,Under Votes,17
42,DEM,"Luis Villarreal, Jr.",203
42,REP,Janie Lopez,116
43,,Over Votes,0
43,,Under Votes,10
43,DEM,"Luis Villarreal, Jr.",190
43,REP,Janie Lopez,162
44,,Over Votes,0
44,,Under Votes,26
44,DEM,"Luis Villarreal, Jr.",644
44,REP,Janie Lopez,833
49,,Over Votes,0
49,,Under Votes,20
49,DEM,"Luis Villarreal, Jr.",385
49,REP,Janie Lopez,375
50,,Over Votes,0
50,,Under Votes,11
50,DEM,"Luis Villarreal, Jr.",498
50,REP,Janie Lopez,450
52,,Over Votes,0
52,,Under Votes,44
52,DEM,"Luis Villarreal, Jr.",474
52,REP,Janie Lopez,812
56,,Over Votes,0
56,,Under Votes,15
56,DEM,"Luis Villarreal, Jr.",453
56,REP,Janie Lopez,456
57,,Over Votes,0
57,,Under Votes,2
57,DEM,"Luis Villarreal, Jr.",71
57,REP,Janie Lopez,37
58,,Over Votes,1
58,,Under Votes,42
58,DEM,"Luis Villarreal, Jr.",476
58,REP,Janie Lopez,561
59,,Over Votes,0
59,,Under Votes,14
59,DEM,"Luis Villarreal, Jr.",82
59,REP,Janie Lopez,198
65,,Over Votes,0
65,,Under Votes,22
65,DEM,"Luis Villarreal, Jr.",390
65,REP,Janie Lopez,370
66,,Over Votes,0
66,,Under Votes,28
66,DEM,"Luis Villarreal, Jr.",461
66,REP,Janie Lopez,622
67,,Over Votes,0
67,,Under Votes,63
67,DEM,"Luis Villarreal, Jr.",746
67,REP,Janie Lopez,1154
78,,Over Votes,1
78,,Under Votes,22
78,DEM,"Luis Villarreal, Jr.",595
78,REP,Janie Lopez,608
79,,Over Votes,1
79,,Under Votes,32
79,DEM,"Luis Villarreal, Jr.",607
79,REP,Janie Lopez,668
80,,Over Votes,0
80,,Under Votes,33
80,DEM,"Luis Villarreal, Jr.",713
80,REP,Janie Lopez,1194
81,,Over Votes,0
81,,Under Votes,35
81,DEM,"Luis Villarreal, Jr.",278
81,REP,Janie Lopez,454
83,,Over Votes,0
83,,Under Votes,56
83,DEM,"Luis Villarreal, Jr.",404
83,REP,Janie Lopez,335
84,,Over Votes,0
84,,Under Votes,14
84,DEM,"Luis Villarreal, Jr.",431
84,REP,Janie Lopez,462
85,,Over Votes,0
85,,Under Votes,25
85,DEM,"Luis Villarreal, Jr.",526
85,REP,Janie Lopez,730
87,,Over Votes,0
87,,Under Votes,22
87,DEM,"Luis Villarreal, Jr.",409
87,REP,Janie Lopez,526
90,,Over Votes,0
90,,Under Votes,4
90,DEM,"Luis Villarreal, Jr.",74
90,REP,Janie Lopez,73
92,,Over Votes,0
92,,Under Votes,0
92,DEM,"Luis Villarreal, Jr.",43
92,REP,Janie Lopez,22
93,,Over Votes,0
93,,Under Votes,4
93,DEM,"Luis Villarreal, Jr.",80
93,REP,Janie Lopez,54
94,,Over Votes,0
94,,Under Votes,17
94,DEM,"Luis Villarreal, Jr.",226
94,REP,Janie Lopez,189
96,,Over Votes,0
96,,Under Votes,25
96,DEM,"Luis Villarreal, Jr.",554
96,REP,Janie Lopez,518
99,,Over Votes,0
99,,Under Votes,4
99,DEM,"Luis Villarreal, Jr.",72
99,REP,Janie Lopez,63
