precinct,party,candidate,votes
101,DEM,DEM Gisela D. Triana,35
101,LIB,LIB Tom Oxford,7
101,REP,REP Brett Busby,319
102,DEM,DEM Gisela D. Triana,1
102,LIB,LIB Tom Oxford,1
102,REP,REP Brett Busby,57
103,DEM,DEM Gisela D. Triana,39
103,LIB,LIB Tom Oxford,8
103,REP,REP Brett Busby,253
201,DEM,DEM Gisela D. Triana,67
201,LIB,LIB Tom Oxford,21
201,REP,REP Brett Busby,783
301,DEM,DEM Gisela D. Triana,49
301,LIB,LIB Tom Oxford,10
301,REP,REP Brett Busby,431
302,DEM,DEM Gisela D. Triana,17
302,LIB,LIB Tom Oxford,4
302,REP,REP Brett Busby,227
401,DEM,DEM Gisela D. Triana,60
401,LIB,LIB Tom Oxford,9
401,REP,REP Brett Busby,480
402,DEM,DEM Gisela D. Triana,11
402,LIB,LIB Tom Oxford,5
402,REP,REP Brett Busby,194
