Precinct,Rep,Mod,Dem,Total,Rep Share,Mod Share,Dem Share,Winning Party,Party Strength
1,1706,33,432,2171,0.7858129894,0.0152003685,0.1989866421,Rep,3
2,238,3,68,309,0.7702265372,0.0097087379,0.2200647249,Rep,3
4,222,4,81,307,0.7231270358,0.0130293160,0.2638436482,Rep,3
5,473,6,119,598,0.7909698997,0.0100334448,0.1989966555,Rep,3
6,341,3,40,384,0.8880208333,0.0078125000,0.1041666667,Rep,3
7,1098,16,245,1359,0.8079470199,0.0117733628,0.1802796174,Rep,3
9,535,12,187,734,0.7288828338,0.0163487738,0.2547683924,Rep,3
11,331,5,139,475,0.6968421053,0.0105263158,0.2926315789,Rep,3
12,445,10,169,624,0.7131410256,0.0160256410,0.2708333333,Rep,3
14,1268,19,227,1514,0.8375165125,0.0125495376,0.1499339498,Rep,3
15,367,7,53,427,0.8594847775,0.0163934426,0.1241217799,Rep,3
16,325,3,41,369,0.8807588076,0.0081300813,0.1111111111,Rep,3
17,1952,26,339,2317,0.8424687095,0.0112214070,0.1463098835,Rep,3
18,366,8,28,402,0.9104477612,0.0199004975,0.0696517413,Rep,3
19,316,3,28,347,0.9106628242,0.0086455331,0.0806916427,Rep,3
21,181,4,23,208,0.8701923077,0.0192307692,0.1105769231,Rep,3
13T,564,19,423,1006,0.5606361829,0.0188866799,0.4204771372,Rep,2
20E,140,3,24,167,0.8383233533,0.0179640719,0.1437125749,Rep,3
