precinct,party,candidate,votes
1,DEM,Brandon Birmingham,75
1,REP,David Newell,382
10,DEM,Brandon Birmingham,533
10,REP,David Newell,3322
11,DEM,Brandon Birmingham,366
11,REP,David Newell,1163
12,DEM,Brandon Birmingham,240
12,REP,David Newell,687
13,DEM,Brandon Birmingham,0
13,REP,David Newell,0
14,DEM,Brandon Birmingham,53
14,REP,David Newell,273
15,DEM,Brandon Birmingham,620
15,REP,David Newell,1032
2,DEM,Brandon Birmingham,128
2,REP,David Newell,343
3,DEM,Brandon Birmingham,109
3,REP,David Newell,188
4,DEM,Brandon Birmingham,346
4,REP,David Newell,2576
5,DEM,Brandon Birmingham,224
5,REP,David Newell,1628
6,DEM,Brandon Birmingham,328
6,REP,David Newell,1100
7,DEM,Brandon Birmingham,215
7,REP,David Newell,1253
8,DEM,Brandon Birmingham,456
8,REP,David Newell,3059
9,DEM,Brandon Birmingham,29
9,REP,David Newell,223
