precinct,party,candidate,votes
1,DEM,Kathy Cheng,65
1,REP,Jane Bland,390
10,DEM,Kathy Cheng,543
10,REP,Jane Bland,3328
11,DEM,Kathy Cheng,370
11,REP,Jane Bland,1171
12,DEM,Kathy Cheng,242
12,REP,Jane Bland,692
13,DEM,Kathy Cheng,0
13,REP,Jane Bland,0
14,DEM,Kathy Cheng,48
14,REP,Jane Bland,280
15,DEM,Kathy Cheng,644
15,REP,Jane Bland,1026
2,DEM,Kathy Cheng,137
2,REP,Jane Bland,340
3,DEM,Kathy Cheng,111
3,REP,Jane Bland,194
4,DEM,Kathy Cheng,364
4,REP,Jane Bland,2571
5,DEM,Kathy Cheng,220
5,REP,Jane Bland,1647
6,DEM,Kathy Cheng,340
6,REP,Jane Bland,1113
7,DEM,Kathy Cheng,222
7,REP,Jane Bland,1266
8,DEM,Kathy Cheng,454
8,REP,Jane Bland,3091
9,DEM,Kathy Cheng,30
9,REP,Jane Bland,225
