precinct,party,candidate,votes
1,DEM,Gisela D. Triana,67
1,LIB,Tom Oxford,7
1,REP,Brett Busby,387
10,DEM,Gisela D. Triana,519
10,LIB,Tom Oxford,92
10,REP,Brett Busby,3257
11,DEM,Gisela D. Triana,361
11,LIB,Tom Oxford,33
11,REP,Brett Busby,1141
12,DEM,Gisela D. Triana,235
12,LIB,Tom Oxford,8
12,REP,Brett Busby,688
13,DEM,Gisela D. Triana,0
13,LIB,Tom Oxford,0
13,REP,Brett Busby,0
14,DEM,Gisela D. Triana,47
14,LIB,Tom Oxford,3
14,REP,Brett Busby,277
15,DEM,Gisela D. Triana,626
15,LIB,Tom Oxford,48
15,REP,Brett Busby,990
2,DEM,Gisela D. Triana,130
2,LIB,Tom Oxford,9
2,REP,Brett Busby,338
3,DEM,Gisela D. Triana,106
3,LIB,Tom Oxford,3
3,REP,Brett Busby,190
4,DEM,Gisela D. Triana,341
4,LIB,Tom Oxford,74
4,REP,Brett Busby,2516
5,DEM,Gisela D. Triana,200
5,LIB,Tom Oxford,47
5,REP,Brett Busby,1619
6,DEM,Gisela D. Triana,323
6,LIB,Tom Oxford,23
6,REP,Brett Busby,1094
7,DEM,Gisela D. Triana,207
7,LIB,Tom Oxford,24
7,REP,Brett Busby,1246
8,DEM,Gisela D. Triana,446
8,LIB,Tom Oxford,72
8,REP,Brett Busby,3025
9,DEM,Gisela D. Triana,29
9,LIB,Tom Oxford,4
9,REP,Brett Busby,225
