precinct,party,candidate,votes
12,,Alec Johnson,154
12,,Over Votes,0
12,,Travis Clardy,759
12,,Under Votes,25
13,,Alec Johnson,75
13,,Over Votes,0
13,,Travis Clardy,744
13,,Under Votes,23
14,,Alec Johnson,108
14,,Over Votes,0
14,,Travis Clardy,902
14,,Under Votes,16
15,,Alec Johnson,516
15,,Over Votes,0
15,,Travis Clardy,1406
15,,Under Votes,38
22,,Alec Johnson,101
22,,Over Votes,0
22,,Travis Clardy,334
22,,Under Votes,7
23,,Alec Johnson,75
23,,Over Votes,0
23,,Travis Clardy,642
23,,Under Votes,22
24,,Alec Johnson,270
24,,Over Votes,0
24,,Travis Clardy,849
24,,Under Votes,53
25,,Alec Johnson,109
25,,Over Votes,0
25,,Travis Clardy,596
25,,Under Votes,18
26,,Alec Johnson,203
26,,Over Votes,0
26,,Travis Clardy,483
26,,Under Votes,28
27,,Alec Johnson,166
27,,Over Votes,0
27,,Travis Clardy,583
27,,Under Votes,18
28,,Alec Johnson,43
28,,Over Votes,0
28,,Travis Clardy,401
28,,Under Votes,8
32,,Alec Johnson,92
32,,Over Votes,0
32,,Travis Clardy,618
32,,Under Votes,12
33,,Alec Johnson,229
33,,Over Votes,0
33,,Travis Clardy,1010
33,,Under Votes,47
34,,Alec Johnson,118
34,,Over Votes,0
34,,Travis Clardy,959
34,,Under Votes,18
35,,Alec Johnson,143
35,,Over Votes,0
35,,Travis Clardy,566
35,,Under Votes,27
36,,Alec Johnson,194
36,,Over Votes,0
36,,Travis Clardy,1033
36,,Under Votes,25
37,,Alec Johnson,86
37,,Over Votes,0
37,,Travis Clardy,155
37,,Under Votes,6
38,,Alec Johnson,167
38,,Over Votes,0
38,,Travis Clardy,164
38,,Under Votes,12
42,,Alec Johnson,433
42,,Over Votes,0
42,,Travis Clardy,151
42,,Under Votes,33
43,,Alec Johnson,229
43,,Over Votes,0
43,,Travis Clardy,398
43,,Under Votes,21
44,,Alec Johnson,107
44,,Over Votes,0
44,,Travis Clardy,845
44,,Under Votes,20
45,,Alec Johnson,133
45,,Over Votes,0
45,,Travis Clardy,390
45,,Under Votes,14
46,,Alec Johnson,76
46,,Over Votes,0
46,,Travis Clardy,495
46,,Under Votes,5
47,,Alec Johnson,19
47,,Over Votes,0
47,,Travis Clardy,238
47,,Under Votes,6
48,,Alec Johnson,61
48,,Over Votes,0
48,,Travis Clardy,431
48,,Under Votes,8
