precinct,party,candidate,votes
1,DEM,Brandon Birmingham,90
1,REP,David Newell,564
10,DEM,Brandon Birmingham,26
10,REP,David Newell,202
11,DEM,Brandon Birmingham,56
11,REP,David Newell,610
12,DEM,Brandon Birmingham,32
12,REP,David Newell,227
13,DEM,Brandon Birmingham,17
13,REP,David Newell,100
14,DEM,Brandon Birmingham,12
14,REP,David Newell,122
15,DEM,Brandon Birmingham,37
15,REP,David Newell,250
17,DEM,Brandon Birmingham,90
17,REP,David Newell,660
20,DEM,Brandon Birmingham,15
20,REP,David Newell,360
24,DEM,Brandon Birmingham,21
24,REP,David Newell,237
26,DEM,Brandon Birmingham,8
26,REP,David Newell,135
27,DEM,Brandon Birmingham,27
27,REP,David Newell,287
32,DEM,Brandon Birmingham,11
32,REP,David Newell,176
6,DEM,Brandon Birmingham,46
6,REP,David Newell,251
8,DEM,Brandon Birmingham,71
8,REP,David Newell,524
9,DEM,Brandon Birmingham,43
9,REP,David Newell,317
