precinct,party,candidate,votes
1,DEM,John Betancourt,91
1,REP,Jay Johnson,561
10,DEM,John Betancourt,25
10,REP,Jay Johnson,200
11,DEM,John Betancourt,57
11,REP,Jay Johnson,611
12,DEM,John Betancourt,30
12,REP,Jay Johnson,229
13,DEM,John Betancourt,17
13,REP,Jay Johnson,98
14,DEM,John Betancourt,12
14,REP,Jay Johnson,123
15,DEM,John Betancourt,35
15,REP,Jay Johnson,254
17,DEM,John Betancourt,89
17,REP,Jay Johnson,664
20,DEM,John Betancourt,16
20,REP,Jay Johnson,355
24,DEM,John Betancourt,17
24,REP,Jay Johnson,241
26,DEM,John Betancourt,9
26,REP,Jay Johnson,136
27,DEM,John Betancourt,26
27,REP,Jay Johnson,291
32,DEM,John Betancourt,10
32,REP,Jay Johnson,178
6,DEM,John Betancourt,53
6,REP,Jay Johnson,244
8,DEM,John Betancourt,80
8,REP,Jay Johnson,516
9,DEM,John Betancourt,43
9,REP,Jay Johnson,317
