precinct,party,candidate,votes
1,,Chuck Hansen,0
1,,Meagan Dungan,0
1,,Vicky Hogue,0
1,,Over Votes,0
1,,Under Votes,0
10,,Chuck Hansen,0
10,,Meagan Dungan,0
10,,Vicky Hogue,0
10,,Over Votes,0
10,,Under Votes,0
101,,Chuck Hansen,0
101,,Meagan Dungan,0
101,,Vicky Hogue,0
101,,Over Votes,0
101,,Under Votes,0
102,,Chuck Hansen,0
102,,Meagan Dungan,0
102,,Vicky Hogue,0
102,,Over Votes,0
102,,Under Votes,0
103,,Chuck Hansen,0
103,,Meagan Dungan,0
103,,Vicky Hogue,0
103,,Over Votes,0
103,,Under Votes,0
104,,Chuck Hansen,0
104,,Meagan Dungan,0
104,,Vicky Hogue,0
104,,Over Votes,0
104,,Under Votes,0
106,,Chuck Hansen,0
106,,Meagan Dungan,0
106,,Vicky Hogue,0
106,,Over Votes,0
106,,Under Votes,0
107,,Chuck Hansen,0
107,,Meagan Dungan,0
107,,Vicky Hogue,0
107,,Over Votes,0
107,,Under Votes,0
108,,Chuck Hansen,0
108,,Meagan Dungan,0
108,,Vicky Hogue,0
108,,Over Votes,0
108,,Under Votes,0
109,,Chuck Hansen,0
109,,Meagan Dungan,0
109,,Vicky Hogue,0
109,,Over Votes,0
109,,Under Votes,0
11,,Chuck Hansen,0
11,,Meagan Dungan,0
11,,Vicky Hogue,0
11,,Over Votes,0
11,,Under Votes,0
110,,Chuck Hansen,0
110,,Meagan Dungan,0
110,,Vicky Hogue,0
110,,Over Votes,0
110,,Under Votes,0
111,,Chuck Hansen,0
111,,Meagan Dungan,0
111,,Vicky Hogue,0
111,,Over Votes,0
111,,Under Votes,0
112,,Chuck Hansen,0
112,,Meagan Dungan,0
112,,Vicky Hogue,0
112,,Over Votes,0
112,,Under Votes,0
113,,Chuck Hansen,0
113,,Meagan Dungan,0
113,,Vicky Hogue,0
113,,Over Votes,0
113,,Under Votes,0
114,,Chuck Hansen,0
114,,Meagan Dungan,0
114,,Vicky Hogue,0
114,,Over Votes,0
114,,Under Votes,0
115,,Chuck Hansen,0
115,,Meagan Dungan,0
115,,Vicky Hogue,0
115,,Over Votes,0
115,,Under Votes,0
116,,Chuck Hansen,0
116,,Meagan Dungan,0
