precinct,party,candidate,votes
1,,Ernest Lynch,481
1,,Jim Garrison,253
1,,Over Votes,0
1,,Under Votes,89
11,,Ernest Lynch,48
11,,Jim Garrison,42
11,,Over Votes,0
11,,Under Votes,10
12,,Ernest Lynch,0
12,,Jim Garrison,0
12,,Over Votes,0
12,,Under Votes,0
13,,Ernest Lynch,147
13,,Jim Garrison,70
13,,Over Votes,0
13,,Under Votes,32
14,,Ernest Lynch,202
14,,Jim Garrison,110
14,,Over Votes,0
14,,Under Votes,53
15,,Ernest Lynch,121
15,,Jim Garrison,63
15,,Over Votes,0
15,,Under Votes,25
16,,Ernest Lynch,456
16,,Jim Garrison,252
16,,Over Votes,0
16,,Under Votes,80
17,,Ernest Lynch,0
17,,Jim Garrison,0
17,,Over Votes,0
17,,Under Votes,0
18,,Ernest Lynch,0
18,,Jim Garrison,0
18,,Over Votes,0
18,,Under Votes,0
2,,Ernest Lynch,365
2,,Jim Garrison,216
2,,Over Votes,0
2,,Under Votes,81
20,,Ernest Lynch,68
20,,Jim Garrison,35
20,,Over Votes,0
20,,Under Votes,20
21,,Ernest Lynch,272
21,,Jim Garrison,176
21,,Over Votes,0
21,,Under Votes,27
22,,Ernest Lynch,67
22,,Jim Garrison,53
22,,Over Votes,0
22,,Under Votes,18
23,,Ernest Lynch,23
23,,Jim Garrison,9
23,,Over Votes,0
23,,Under Votes,16
25,,Ernest Lynch,0
25,,Jim Garrison,0
25,,Over Votes,0
25,,Under Votes,0
26,,Ernest Lynch,401
26,,Jim Garrison,282
26,,Over Votes,0
26,,Under Votes,57
27,,Ernest Lynch,0
27,,Jim Garrison,0
27,,Over Votes,0
27,,Under Votes,0
28,,Ernest Lynch,0
28,,Jim Garrison,0
28,,Over Votes,0
28,,Under Votes,0
29,,Ernest Lynch,0
29,,Jim Garrison,0
29,,Over Votes,0
29,,Under Votes,0
3,,Ernest Lynch,156
3,,Jim Garrison,77
3,,Over Votes,0
3,,Under Votes,36
30,,Ernest Lynch,727
30,,Jim Garrison,434
30,,Over Votes,0
30,,Under Votes,163
32,,Ernest Lynch,519
32,,Jim Garrison,247
32,,Over Votes,0
32,,Under Votes,96
33,,Ernest Lynch,0
33,,Jim Garrison,0
33,,Over Votes,0
33,,Under Votes,0
34,,Ernest Lynch,440
34,,Jim Garrison,266
34,,Over Votes,0
34,,Under Votes,71
35,,Ernest Lynch,404
35,,Jim Garrison,219
35,,Over Votes,0
