precinct,party,candidate,votes
1,Rep,Andrea Bouressa,1144
1,,Over Votes,0
1,,Under Votes,782
10,Rep,Andrea Bouressa,495
10,,Over Votes,0
10,,Under Votes,130
100,Rep,Andrea Bouressa,1
100,,Over Votes,0
100,,Under Votes,7
101,Rep,Andrea Bouressa,1674
101,,Over Votes,0
101,,Under Votes,1191
102,Rep,Andrea Bouressa,1322
102,,Over Votes,0
102,,Under Votes,635
103,Rep,Andrea Bouressa,407
103,,Over Votes,0
103,,Under Votes,403
104,Rep,Andrea Bouressa,498
104,,Over Votes,0
104,,Under Votes,669
105,Rep,Andrea Bouressa,53
105,,Over Votes,0
105,,Under Votes,62
106,Rep,Andrea Bouressa,701
106,,Over Votes,0
106,,Under Votes,554
107,Rep,Andrea Bouressa,1275
107,,Over Votes,0
107,,Under Votes,1142
108,Rep,Andrea Bouressa,1040
108,,Over Votes,0
108,,Under Votes,1007
109,Rep,Andrea Bouressa,2028
109,,Over Votes,0
109,,Under Votes,1284
11,Rep,Andrea Bouressa,2601
11,,Over Votes,0
11,,Under Votes,820
110,Rep,Andrea Bouressa,1099
110,,Over Votes,0
110,,Under Votes,848
111,Rep,Andrea Bouressa,1508
111,,Over Votes,0
111,,Under Votes,675
112,Rep,Andrea Bouressa,1310
112,,Over Votes,0
112,,Under Votes,1012
113,Rep,Andrea Bouressa,1179
113,,Over Votes,0
113,,Under Votes,908
114,Rep,Andrea Bouressa,1934
114,,Over Votes,0
114,,Under Votes,1128
115,Rep,Andrea Bouressa,1110
115,,Over Votes,0
115,,Under Votes,1013
116,Rep,Andrea Bouressa,2130
116,,Over Votes,0
116,,Under Votes,1423
117,Rep,Andrea Bouressa,1645
117,,Over Votes,0
117,,Under Votes,1289
118,Rep,Andrea Bouressa,1773
118,,Over Votes,0
118,,Under Votes,1223
119,Rep,Andrea Bouressa,957
119,,Over Votes,0
119,,Under Votes,739
12,Rep,Andrea Bouressa,1067
12,,Over Votes,0
12,,Under Votes,551
120,Rep,Andrea Bouressa,1667
120,,Over Votes,0
120,,Under Votes,1026
121,Rep,Andrea Bouressa,986
121,,Over Votes,0
