precinct,party,candidate,votes
1,,Bill Cox,460
1,,Scott Sanford,363
1,,Over Votes,0
1,,Under Votes,0
11,,Bill Cox,59
11,,Scott Sanford,41
11,,Over Votes,0
11,,Under Votes,0
12,,Bill Cox,0
12,,Scott Sanford,0
12,,Over Votes,0
12,,Under Votes,0
13,,Bill Cox,162
13,,Scott Sanford,86
13,,Over Votes,0
13,,Under Votes,1
14,,Bill Cox,213
14,,Scott Sanford,152
14,,Over Votes,0
14,,Under Votes,0
15,,Bill Cox,109
15,,Scott Sanford,100
15,,Over Votes,0
15,,Under Votes,0
16,,Bill Cox,414
16,,Scott Sanford,373
16,,Over Votes,0
16,,Under Votes,1
17,,Bill Cox,0
17,,Scott Sanford,0
17,,Over Votes,0
17,,Under Votes,0
18,,Bill Cox,0
18,,Scott Sanford,0
18,,Over Votes,0
18,,Under Votes,0
2,,Bill Cox,359
2,,Scott Sanford,303
2,,Over Votes,0
2,,Under Votes,0
20,,Bill Cox,79
20,,Scott Sanford,44
20,,Over Votes,0
20,,Under Votes,0
21,,Bill Cox,292
21,,Scott Sanford,183
21,,Over Votes,0
21,,Under Votes,0
22,,Bill Cox,61
22,,Scott Sanford,77
22,,Over Votes,0
22,,Under Votes,0
23,,Bill Cox,31
23,,Scott Sanford,17
23,,Over Votes,0
23,,Under Votes,0
25,,Bill Cox,0
25,,Scott Sanford,0
25,,Over Votes,0
25,,Under Votes,0
26,,Bill Cox,397
26,,Scott Sanford,342
26,,Over Votes,0
26,,Under Votes,1
27,,Bill Cox,0
27,,Scott Sanford,0
27,,Over Votes,0
27,,Under Votes,0
28,,Bill Cox,0
28,,Scott Sanford,0
28,,Over Votes,0
28,,Under Votes,0
29,,Bill Cox,0
29,,Scott Sanford,0
29,,Over Votes,0
29,,Under Votes,0
3,,Bill Cox,196
3,,Scott Sanford,73
3,,Over Votes,0
3,,Under Votes,0
30,,Bill Cox,640
30,,Scott Sanford,684
30,,Over Votes,0
30,,Under Votes,0
32,,Bill Cox,522
