precinct,party,candidate,votes
1,,Kevin Brooks,0
1,,Virdie Montgomery,0
1,,Over Votes,0
1,,Under Votes,0
2,,Kevin Brooks,0
2,,Virdie Montgomery,0
2,,Over Votes,0
2,,Under Votes,0
3,,Kevin Brooks,0
3,,Virdie Montgomery,0
3,,Over Votes,0
3,,Under Votes,0
4,,Kevin Brooks,0
4,,Virdie Montgomery,0
4,,Over Votes,0
4,,Under Votes,0
5,,Kevin Brooks,0
5,,Virdie Montgomery,0
5,,Over Votes,0
5,,Under Votes,0
6,,Kevin Brooks,0
6,,Virdie Montgomery,0
6,,Over Votes,0
6,,Under Votes,0
7,,Kevin Brooks,0
7,,Virdie Montgomery,0
7,,Over Votes,0
7,,Under Votes,0
8,,Kevin Brooks,0
8,,Virdie Montgomery,0
8,,Over Votes,0
8,,Under Votes,0
9,,Kevin Brooks,0
9,,Virdie Montgomery,0
9,,Over Votes,0
9,,Under Votes,0
10,,Kevin Brooks,0
10,,Virdie Montgomery,0
10,,Over Votes,0
10,,Under Votes,0
11,,Kevin Brooks,0
11,,Virdie Montgomery,0
11,,Over Votes,0
11,,Under Votes,0
12,,Kevin Brooks,0
12,,Virdie Montgomery,0
12,,Over Votes,0
12,,Under Votes,0
13,,Kevin Brooks,0
13,,Virdie Montgomery,0
13,,Over Votes,0
13,,Under Votes,0
14,,Kevin Brooks,0
14,,Virdie Montgomery,0
14,,Over Votes,0
14,,Under Votes,0
15,,Kevin Brooks,0
15,,Virdie Montgomery,0
15,,Over Votes,0
15,,Under Votes,0
16,,Kevin Brooks,0
16,,Virdie Montgomery,0
16,,Over Votes,0
16,,Under Votes,0
17,,Kevin Brooks,0
17,,Virdie Montgomery,0
17,,Over Votes,0
17,,Under Votes,0
18,,Kevin Brooks,0
18,,Virdie Montgomery,0
18,,Over Votes,0
18,,Under Votes,0
19,,Kevin Brooks,0
19,,Virdie Montgomery,0
19,,Over Votes,0
19,,Under Votes,0
20,,Kevin Brooks,0
20,,Virdie Montgomery,0
20,,Over Votes,0
20,,Under Votes,0
21,,Kevin Brooks,0
21,,Virdie Montgomery,0
21,,Over Votes,0
21,,Under Votes,0
22,,Kevin Brooks,0
22,,Virdie Montgomery,0
22,,Over Votes,0
22,,Under Votes,0
23,,Kevin Brooks,0
23,,Virdie Montgomery,0
23,,Over Votes,0
23,,Under Votes,0
24,,Kevin Brooks,0
24,,Virdie Montgomery,0
24,,Over Votes,0
24,,Under Votes,0
25,,Kevin Brooks,0
25,,Virdie Montgomery,0
25,,Over Votes,0
25,,Under Votes,0
26,,Kevin Brooks,0
26,,Virdie Montgomery,0
26,,Over Votes,0
26,,Under Votes,0
27,,Kevin Brooks,386
27,,Virdie Montgomery,743
27,,Over Votes,0
27,,Under Votes,188
