precinct,party,candidate,votes
1,DEM,Gisela D. Triana,333
1,,Over Votes,0
1,,Under Votes,90
10,DEM,Gisela D. Triana,25
10,,Over Votes,0
10,,Under Votes,6
100,DEM,Gisela D. Triana,143
100,,Over Votes,0
100,,Under Votes,37
101,DEM,Gisela D. Triana,398
101,,Over Votes,0
101,,Under Votes,109
102,DEM,Gisela D. Triana,248
102,,Over Votes,0
102,,Under Votes,71
103,DEM,Gisela D. Triana,140
103,,Over Votes,0
103,,Under Votes,60
104,DEM,Gisela D. Triana,224
104,,Over Votes,0
104,,Under Votes,58
105,DEM,Gisela D. Triana,31
105,,Over Votes,0
105,,Under Votes,11
106,DEM,Gisela D. Triana,198
106,,Over Votes,0
106,,Under Votes,56
107,DEM,Gisela D. Triana,415
107,,Over Votes,0
107,,Under Votes,136
108,DEM,Gisela D. Triana,321
108,,Over Votes,0
108,,Under Votes,126
109,DEM,Gisela D. Triana,406
109,,Over Votes,0
109,,Under Votes,171
11,DEM,Gisela D. Triana,221
11,,Over Votes,0
11,,Under Votes,51
110,DEM,Gisela D. Triana,346
110,,Over Votes,0
110,,Under Votes,101
111,DEM,Gisela D. Triana,207
111,,Over Votes,0
111,,Under Votes,62
112,DEM,Gisela D. Triana,323
112,,Over Votes,0
112,,Under Votes,118
113,DEM,Gisela D. Triana,355
113,,Over Votes,0
113,,Under Votes,96
114,DEM,Gisela D. Triana,492
114,,Over Votes,0
114,,Under Votes,131
115,DEM,Gisela D. Triana,375
115,,Over Votes,0
115,,Under Votes,136
116,DEM,Gisela D. Triana,394
116,,Over Votes,0
116,,Under Votes,191
117,DEM,Gisela D. Triana,457
117,,Over Votes,0
117,,Under Votes,111
118,DEM,Gisela D. Triana,401
118,,Over Votes,0
118,,Under Votes,140
119,DEM,Gisela D. Triana,246
119,,Over Votes,0
119,,Under Votes,88
12,DEM,Gisela D. Triana,207
12,,Over Votes,0
12,,Under Votes,70
120,DEM,Gisela D. Triana,334
120,,Over Votes,0
120,,Under Votes,120
121,DEM,Gisela D. Triana,276
121,,Over Votes,0
121,,Under Votes,98
122,DEM,Gisela D. Triana,388
122,,Over Votes,0
122,,Under Votes,152
123,DEM,Gisela D. Triana,210
123,,Over Votes,0
123,,Under Votes,61
124,DEM,Gisela D. Triana,360
124,,Over Votes,0
124,,Under Votes,120
125,DEM,Gisela D. Triana,247
125,,Over Votes,0
125,,Under Votes,67
