precinct,party,candidate,votes
1,Dem,Kim Cooks,760
1,Rep,Gino J. Rossini,1028
1,,Over Votes,0
1,,Under Votes,138
2,Dem,Kim Cooks,1305
2,Rep,Gino J. Rossini,1441
2,,Over Votes,0
2,,Under Votes,243
3,Dem,Kim Cooks,772
3,Rep,Gino J. Rossini,433
3,,Over Votes,0
3,,Under Votes,166
4,Dem,Kim Cooks,853
4,Rep,Gino J. Rossini,1810
4,,Over Votes,0
4,,Under Votes,195
5,Dem,Kim Cooks,213
5,Rep,Gino J. Rossini,463
5,,Over Votes,0
5,,Under Votes,57
6,Dem,Kim Cooks,544
6,Rep,Gino J. Rossini,481
6,,Over Votes,0
6,,Under Votes,84
7,Dem,Kim Cooks,420
7,Rep,Gino J. Rossini,514
7,,Over Votes,0
7,,Under Votes,101
8,Dem,Kim Cooks,1009
8,Rep,Gino J. Rossini,1818
8,,Over Votes,0
8,,Under Votes,277
9,Dem,Kim Cooks,899
9,Rep,Gino J. Rossini,1280
9,,Over Votes,0
9,,Under Votes,184
10,Dem,Kim Cooks,103
10,Rep,Gino J. Rossini,562
10,,Over Votes,0
10,,Under Votes,50
11,Dem,Kim Cooks,632
11,Rep,Gino J. Rossini,2433
11,,Over Votes,0
11,,Under Votes,249
12,Dem,Kim Cooks,511
12,Rep,Gino J. Rossini,994
12,,Over Votes,0
12,,Under Votes,113
13,Dem,Kim Cooks,616
13,Rep,Gino J. Rossini,1594
13,,Over Votes,0
13,,Under Votes,109
14,Dem,Kim Cooks,1089
14,Rep,Gino J. Rossini,982
14,,Over Votes,0
14,,Under Votes,208
15,Dem,Kim Cooks,447
15,Rep,Gino J. Rossini,446
15,,Over Votes,0
15,,Under Votes,88
16,Dem,Kim Cooks,576
16,Rep,Gino J. Rossini,1136
16,,Over Votes,0
16,,Under Votes,127
17,Dem,Kim Cooks,941
17,Rep,Gino J. Rossini,1586
17,,Over Votes,0
17,,Under Votes,190
18,Dem,Kim Cooks,124
18,Rep,Gino J. Rossini,561
18,,Over Votes,0
18,,Under Votes,46
19,Dem,Kim Cooks,486
19,Rep,Gino J. Rossini,646
19,,Over Votes,0
19,,Under Votes,76
20,Dem,Kim Cooks,488
20,Rep,Gino J. Rossini,1079
20,,Over Votes,0
20,,Under Votes,117
21,Dem,Kim Cooks,1432
21,Rep,Gino J. Rossini,1471
21,,Over Votes,0
21,,Under Votes,202
22,Dem,Kim Cooks,610
22,Rep,Gino J. Rossini,2467
22,,Over Votes,0
22,,Under Votes,238
23,Dem,Kim Cooks,1172
23,Rep,Gino J. Rossini,534
23,,Over Votes,0
23,,Under Votes,168
24,Dem,Kim Cooks,738
24,Rep,Gino J. Rossini,385
24,,Over Votes,0
24,,Under Votes,78
25,Dem,Kim Cooks,1202
25,Rep,Gino J. Rossini,1359
25,,Over Votes,0
25,,Under Votes,339
26,Dem,Kim Cooks,325
26,Rep,Gino J. Rossini,367
26,,Over Votes,0
26,,Under Votes,47
27,Dem,Kim Cooks,701
27,Rep,Gino J. Rossini,1022
27,,Over Votes,0
27,,Under Votes,157
28,Dem,Kim Cooks,1135
28,Rep,Gino J. Rossini,1136
28,,Over Votes,0
28,,Under Votes,174
29,Dem,Kim Cooks,713
29,Rep,Gino J. Rossini,1609
29,,Over Votes,0
29,,Under Votes,182
30,Dem,Kim Cooks,265
30,Rep,Gino J. Rossini,390
30,,Over Votes,0
30,,Under Votes,49
31,Dem,Kim Cooks,634
31,Rep,Gino J. Rossini,859
31,,Over Votes,0
31,,Under Votes,84
32,Dem,Kim Cooks,773
32,Rep,Gino J. Rossini,952
32,,Over Votes,0
32,,Under Votes,140
33,Dem,Kim Cooks,726
33,Rep,Gino J. Rossini,1505
33,,Over Votes,0
33,,Under Votes,184
34,Dem,Kim Cooks,1519
34,Rep,Gino J. Rossini,1285
34,,Over Votes,0
34,,Under Votes,237
35,Dem,Kim Cooks,208
35,Rep,Gino J. Rossini,990
35,,Over Votes,0
35,,Under Votes,95
36,Dem,Kim Cooks,457
36,Rep,Gino J. Rossini,946
36,,Over Votes,0
36,,Under Votes,100
37,Dem,Kim Cooks,281
37,Rep,Gino J. Rossini,1558
37,,Over Votes,0
37,,Under Votes,127
38,Dem,Kim Cooks,1091
38,Rep,Gino J. Rossini,1080
38,,Over Votes,0
38,,Under Votes,216
39,Dem,Kim Cooks,983
39,Rep,Gino J. Rossini,759
39,,Over Votes,0
39,,Under Votes,163
40,Dem,Kim Cooks,845
40,Rep,Gino J. Rossini,1531
40,,Over Votes,0
40,,Under Votes,180
41,Dem,Kim Cooks,419
41,Rep,Gino J. Rossini,878
41,,Over Votes,0
41,,Under Votes,89
42,Dem,Kim Cooks,353
42,Rep,Gino J. Rossini,1088
42,,Over Votes,0
42,,Under Votes,107
43,Dem,Kim Cooks,967
43,Rep,Gino J. Rossini,968
43,,Over Votes,0
43,,Under Votes,186
44,Dem,Kim Cooks,393
44,Rep,Gino J. Rossini,431
44,,Over Votes,0
44,,Under Votes,100
45,Dem,Kim Cooks,857
45,Rep,Gino J. Rossini,1451
45,,Over Votes,0
45,,Under Votes,167
46,Dem,Kim Cooks,923
46,Rep,Gino J. Rossini,691
46,,Over Votes,0
46,,Under Votes,183
47,Dem,Kim Cooks,908
47,Rep,Gino J. Rossini,789
47,,Over Votes,0
47,,Under Votes,125
48,Dem,Kim Cooks,1334
48,Rep,Gino J. Rossini,1221
48,,Over Votes,0
48,,Under Votes,157
49,Dem,Kim Cooks,753
49,Rep,Gino J. Rossini,919
49,,Over Votes,0
49,,Under Votes,134
50,Dem,Kim Cooks,959
50,Rep,Gino J. Rossini,609
50,,Over Votes,0
50,,Under Votes,205
51,Dem,Kim Cooks,513
51,Rep,Gino J. Rossini,393
51,,Over Votes,0
51,,Under Votes,100
52,Dem,Kim Cooks,1361
52,Rep,Gino J. Rossini,1079
52,,Over Votes,0
52,,Under Votes,469
53,Dem,Kim Cooks,723
53,Rep,Gino J. Rossini,829
53,,Over Votes,0
53,,Under Votes,110
54,Dem,Kim Cooks,1216
54,Rep,Gino J. Rossini,860
54,,Over Votes,0
54,,Under Votes,178
55,Dem,Kim Cooks,1573
55,Rep,Gino J. Rossini,903
55,,Over Votes,0
55,,Under Votes,315
56,Dem,Kim Cooks,837
56,Rep,Gino J. Rossini,1389
56,,Over Votes,0
56,,Under Votes,203
57,Dem,Kim Cooks,409
57,Rep,Gino J. Rossini,540
57,,Over Votes,0
57,,Under Votes,85
58,Dem,Kim Cooks,1169
58,Rep,Gino J. Rossini,1044
58,,Over Votes,0
58,,Under Votes,184
59,Dem,Kim Cooks,1015
59,Rep,Gino J. Rossini,1474
59,,Over Votes,0
59,,Under Votes,236
60,Dem,Kim Cooks,810
60,Rep,Gino J. Rossini,1475
60,,Over Votes,0
60,,Under Votes,204
61,Dem,Kim Cooks,489
61,Rep,Gino J. Rossini,647
61,,Over Votes,0
61,,Under Votes,78
62,Dem,Kim Cooks,858
62,Rep,Gino J. Rossini,739
62,,Over Votes,0
62,,Under Votes,124
63,Dem,Kim Cooks,606
63,Rep,Gino J. Rossini,893
63,,Over Votes,0
63,,Under Votes,105
64,Dem,Kim Cooks,808
64,Rep,Gino J. Rossini,866
64,,Over Votes,0
64,,Under Votes,166
65,Dem,Kim Cooks,388
65,Rep,Gino J. Rossini,403
65,,Over Votes,0
65,,Under Votes,56
66,Dem,Kim Cooks,685
66,Rep,Gino J. Rossini,706
66,,Over Votes,0
66,,Under Votes,106
67,Dem,Kim Cooks,914
67,Rep,Gino J. Rossini,908
67,,Over Votes,0
67,,Under Votes,173
68,Dem,Kim Cooks,601
68,Rep,Gino J. Rossini,569
68,,Over Votes,0
68,,Under Votes,115
69,Dem,Kim Cooks,1202
69,Rep,Gino J. Rossini,1438
69,,Over Votes,0
69,,Under Votes,191
70,Dem,Kim Cooks,575
70,Rep,Gino J. Rossini,751
70,,Over Votes,0
70,,Under Votes,90
71,Dem,Kim Cooks,595
71,Rep,Gino J. Rossini,641
71,,Over Votes,0
71,,Under Votes,78
72,Dem,Kim Cooks,518
72,Rep,Gino J. Rossini,656
72,,Over Votes,0
72,,Under Votes,75
73,Dem,Kim Cooks,593
73,Rep,Gino J. Rossini,427
73,,Over Votes,0
73,,Under Votes,102
74,Dem,Kim Cooks,541
74,Rep,Gino J. Rossini,720
74,,Over Votes,0
74,,Under Votes,112
75,Dem,Kim Cooks,639
75,Rep,Gino J. Rossini,930
75,,Over Votes,0
75,,Under Votes,132
76,Dem,Kim Cooks,945
76,Rep,Gino J. Rossini,1243
76,,Over Votes,0
76,,Under Votes,175
77,Dem,Kim Cooks,1207
77,Rep,Gino J. Rossini,1040
77,,Over Votes,0
77,,Under Votes,186
78,Dem,Kim Cooks,1636
78,Rep,Gino J. Rossini,1188
78,,Over Votes,0
78,,Under Votes,229
79,Dem,Kim Cooks,667
79,Rep,Gino J. Rossini,826
79,,Over Votes,0
79,,Under Votes,167
80,Dem,Kim Cooks,1054
80,Rep,Gino J. Rossini,1242
80,,Over Votes,0
80,,Under Votes,213
81,Dem,Kim Cooks,974
81,Rep,Gino J. Rossini,893
81,,Over Votes,0
81,,Under Votes,164
82,Dem,Kim Cooks,884
82,Rep,Gino J. Rossini,844
82,,Over Votes,0
82,,Under Votes,142
83,Dem,Kim Cooks,915
83,Rep,Gino J. Rossini,1797
83,,Over Votes,0
83,,Under Votes,202
84,Dem,Kim Cooks,712
84,Rep,Gino J. Rossini,880
84,,Over Votes,0
84,,Under Votes,113
85,Dem,Kim Cooks,1204
85,Rep,Gino J. Rossini,921
85,,Over Votes,0
85,,Under Votes,176
86,Dem,Kim Cooks,944
86,Rep,Gino J. Rossini,1104
86,,Over Votes,0
86,,Under Votes,146
87,Dem,Kim Cooks,1202
87,Rep,Gino J. Rossini,1086
87,,Over Votes,0
87,,Under Votes,243
88,Dem,Kim Cooks,439
88,Rep,Gino J. Rossini,236
88,,Over Votes,0
88,,Under Votes,51
89,Dem,Kim Cooks,1012
89,Rep,Gino J. Rossini,1066
89,,Over Votes,0
89,,Under Votes,186
90,Dem,Kim Cooks,790
90,Rep,Gino J. Rossini,1435
90,,Over Votes,0
90,,Under Votes,175
91,Dem,Kim Cooks,783
91,Rep,Gino J. Rossini,771
91,,Over Votes,0
91,,Under Votes,105
92,Dem,Kim Cooks,1294
92,Rep,Gino J. Rossini,1323
92,,Over Votes,0
92,,Under Votes,260
93,Dem,Kim Cooks,27
93,Rep,Gino J. Rossini,180
93,,Over Votes,0
93,,Under Votes,15
94,Dem,Kim Cooks,1450
94,Rep,Gino J. Rossini,1392
94,,Over Votes,0
94,,Under Votes,246
95,Dem,Kim Cooks,962
95,Rep,Gino J. Rossini,1081
95,,Over Votes,0
95,,Under Votes,194
96,Dem,Kim Cooks,314
96,Rep,Gino J. Rossini,401
96,,Over Votes,0
96,,Under Votes,67
97,Dem,Kim Cooks,260
97,Rep,Gino J. Rossini,731
