precinct,party,candidate,votes
1,Dem,Christine Vinh Weems,777
1,Rep,John Devine,1040
1,,Over Votes,0
1,,Under Votes,109
2,Dem,Christine Vinh Weems,1328
2,Rep,John Devine,1451
2,,Over Votes,0
2,,Under Votes,210
3,Dem,Christine Vinh Weems,796
3,Rep,John Devine,442
3,,Over Votes,0
3,,Under Votes,133
4,Dem,Christine Vinh Weems,881
4,Rep,John Devine,1829
4,,Over Votes,0
4,,Under Votes,148
5,Dem,Christine Vinh Weems,220
5,Rep,John Devine,454
5,,Over Votes,0
5,,Under Votes,59
6,Dem,Christine Vinh Weems,540
6,Rep,John Devine,495
6,,Over Votes,0
6,,Under Votes,74
7,Dem,Christine Vinh Weems,432
7,Rep,John Devine,523
7,,Over Votes,0
7,,Under Votes,80
8,Dem,Christine Vinh Weems,1032
8,Rep,John Devine,1860
8,,Over Votes,0
8,,Under Votes,213
9,Dem,Christine Vinh Weems,910
9,Rep,John Devine,1299
9,,Over Votes,0
9,,Under Votes,154
10,Dem,Christine Vinh Weems,102
10,Rep,John Devine,570
10,,Over Votes,0
10,,Under Votes,43
11,Dem,Christine Vinh Weems,642
11,Rep,John Devine,2447
11,,Over Votes,0
11,,Under Votes,225
12,Dem,Christine Vinh Weems,535
12,Rep,John Devine,987
12,,Over Votes,0
12,,Under Votes,96
13,Dem,Christine Vinh Weems,648
13,Rep,John Devine,1590
13,,Over Votes,0
13,,Under Votes,80
14,Dem,Christine Vinh Weems,1135
14,Rep,John Devine,986
14,,Over Votes,0
14,,Under Votes,158
15,Dem,Christine Vinh Weems,475
15,Rep,John Devine,434
15,,Over Votes,0
15,,Under Votes,72
16,Dem,Christine Vinh Weems,584
16,Rep,John Devine,1154
16,,Over Votes,0
16,,Under Votes,102
17,Dem,Christine Vinh Weems,955
17,Rep,John Devine,1609
17,,Over Votes,0
17,,Under Votes,153
18,Dem,Christine Vinh Weems,121
18,Rep,John Devine,571
18,,Over Votes,0
18,,Under Votes,39
19,Dem,Christine Vinh Weems,517
19,Rep,John Devine,633
19,,Over Votes,0
19,,Under Votes,58
20,Dem,Christine Vinh Weems,508
20,Rep,John Devine,1086
20,,Over Votes,0
20,,Under Votes,90
21,Dem,Christine Vinh Weems,1468
21,Rep,John Devine,1461
21,,Over Votes,0
21,,Under Votes,176
22,Dem,Christine Vinh Weems,623
22,Rep,John Devine,2516
22,,Over Votes,0
22,,Under Votes,176
23,Dem,Christine Vinh Weems,1182
23,Rep,John Devine,547
23,,Over Votes,0
23,,Under Votes,145
24,Dem,Christine Vinh Weems,744
24,Rep,John Devine,400
24,,Over Votes,0
24,,Under Votes,57
25,Dem,Christine Vinh Weems,1293
25,Rep,John Devine,1368
25,,Over Votes,0
25,,Under Votes,239
26,Dem,Christine Vinh Weems,334
26,Rep,John Devine,361
