precinct,party,candidate,votes
1,REP,April Farris,296
1,,Over Votes,0
1,,Under Votes,152
10,REP,April Farris,184
10,,Over Votes,0
10,,Under Votes,60
100,REP,April Farris,186
100,,Over Votes,0
100,,Under Votes,57
101,REP,April Farris,367
101,,Over Votes,0
101,,Under Votes,113
102,REP,April Farris,429
102,,Over Votes,0
102,,Under Votes,180
103,REP,April Farris,79
103,,Over Votes,0
103,,Under Votes,34
104,REP,April Farris,94
104,,Over Votes,0
104,,Under Votes,50
105,REP,April Farris,4
105,,Over Votes,0
105,,Under Votes,1
106,REP,April Farris,183
106,,Over Votes,0
106,,Under Votes,68
107,REP,April Farris,338
107,,Over Votes,0
107,,Under Votes,133
108,REP,April Farris,234
108,,Over Votes,0
108,,Under Votes,120
109,REP,April Farris,486
109,,Over Votes,0
109,,Under Votes,202
11,REP,April Farris,639
11,,Over Votes,0
11,,Under Votes,225
110,REP,April Farris,333
110,,Over Votes,0
110,,Under Votes,154
111,REP,April Farris,361
111,,Over Votes,0
111,,Under Votes,146
112,REP,April Farris,321
112,,Over Votes,0
112,,Under Votes,155
113,REP,April Farris,264
113,,Over Votes,0
113,,Under Votes,108
114,REP,April Farris,377
114,,Over Votes,0
114,,Under Votes,180
115,REP,April Farris,275
115,,Over Votes,0
115,,Under Votes,140
116,REP,April Farris,529
116,,Over Votes,0
116,,Under Votes,315
117,REP,April Farris,341
117,,Over Votes,0
117,,Under Votes,105
118,REP,April Farris,413
118,,Over Votes,0
118,,Under Votes,157
119,REP,April Farris,244
119,,Over Votes,0
119,,Under Votes,127
12,REP,April Farris,235
12,,Over Votes,0
12,,Under Votes,136
120,REP,April Farris,483
120,,Over Votes,0
120,,Under Votes,242
121,REP,April Farris,182
121,,Over Votes,0
121,,Under Votes,80
122,REP,April Farris,630
122,,Over Votes,0
122,,Under Votes,350
123,REP,April Farris,222
123,,Over Votes,0
123,,Under Votes,111
124,REP,April Farris,252
124,,Over Votes,0
124,,Under Votes,127
125,REP,April Farris,124
125,,Over Votes,0
125,,Under Votes,162
126,REP,April Farris,423
126,,Over Votes,0
126,,Under Votes,178
127,REP,April Farris,326
127,,Over Votes,0
127,,Under Votes,108
128,REP,April Farris,550
128,,Over Votes,0
128,,Under Votes,225
129,REP,April Farris,441
129,,Over Votes,0
129,,Under Votes,169
13,REP,April Farris,382
13,,Over Votes,0
13,,Under Votes,141
130,REP,April Farris,318
130,,Over Votes,0
130,,Under Votes,174
131,REP,April Farris,376
131,,Over Votes,0
131,,Under Votes,161
132,REP,April Farris,207
132,,Over Votes,0
