precinct,party,candidate,votes
1,REP,Brian Fletcher,0
1,REP,Jessika Gustin,0
1,,Over Votes,0
1,,Under Votes,0
10,REP,Brian Fletcher,0
10,REP,Jessika Gustin,0
10,,Over Votes,0
10,,Under Votes,0
100,REP,Brian Fletcher,0
100,REP,Jessika Gustin,0
100,,Over Votes,0
100,,Under Votes,0
101,REP,Brian Fletcher,0
101,REP,Jessika Gustin,0
101,,Over Votes,0
101,,Under Votes,0
102,REP,Brian Fletcher,0
102,REP,Jessika Gustin,0
102,,Over Votes,0
102,,Under Votes,0
103,REP,Brian Fletcher,0
103,REP,Jessika Gustin,0
103,,Over Votes,0
103,,Under Votes,0
104,REP,Brian Fletcher,0
104,REP,Jessika Gustin,0
104,,Over Votes,0
104,,Under Votes,0
105,REP,Brian Fletcher,0
105,REP,Jessika Gustin,0
105,,Over Votes,0
105,,Under Votes,0
106,REP,Brian Fletcher,0
106,REP,Jessika Gustin,0
106,,Over Votes,0
106,,Under Votes,0
107,REP,Brian Fletcher,0
107,REP,Jessika Gustin,0
107,,Over Votes,0
107,,Under Votes,0
108,REP,Brian Fletcher,0
108,REP,Jessika Gustin,0
108,,Over Votes,0
108,,Under Votes,0
109,REP,Brian Fletcher,0
109,REP,Jessika Gustin,0
109,,Over Votes,0
109,,Under Votes,0
11,REP,Brian Fletcher,0
11,REP,Jessika Gustin,0
11,,Over Votes,0
11,,Under Votes,0
110,REP,Brian Fletcher,0
110,REP,Jessika Gustin,0
110,,Over Votes,0
110,,Under Votes,0
111,REP,Brian Fletcher,0
111,REP,Jessika Gustin,0
111,,Over Votes,0
111,,Under Votes,0
112,REP,Brian Fletcher,0
112,REP,Jessika Gustin,0
112,,Over Votes,0
112,,Under Votes,0
113,REP,Brian Fletcher,0
113,REP,Jessika Gustin,0
113,,Over Votes,0
113,,Under Votes,0
114,REP,Brian Fletcher,0
114,REP,Jessika Gustin,0
114,,Over Votes,0
114,,Under Votes,0
115,REP,Brian Fletcher,0
115,REP,Jessika Gustin,0
115,,Over Votes,0
115,,Under Votes,0
116,REP,Brian Fletcher,0
