precinct,party,candidate,votes
1,REP,NO,55
1,REP,YES,373
1,,Over Votes,0
1,,Under Votes,20
10,REP,NO,15
10,REP,YES,217
10,,Over Votes,0
10,,Under Votes,12
100,REP,NO,13
100,REP,YES,224
100,,Over Votes,0
100,,Under Votes,6
101,REP,NO,72
101,REP,YES,393
101,,Over Votes,1
101,,Under Votes,14
102,REP,NO,76
102,REP,YES,506
102,,Over Votes,1
102,,Under Votes,26
103,REP,NO,8
103,REP,YES,97
103,,Over Votes,0
103,,Under Votes,8
104,REP,NO,30
104,REP,YES,102
104,,Over Votes,0
104,,Under Votes,12
105,REP,NO,1
105,REP,YES,4
105,,Over Votes,0
105,,Under Votes,0
106,REP,NO,48
106,REP,YES,194
106,,Over Votes,0
106,,Under Votes,9
107,REP,NO,77
107,REP,YES,378
107,,Over Votes,0
107,,Under Votes,16
108,REP,NO,73
108,REP,YES,258
108,,Over Votes,0
108,,Under Votes,23
109,REP,NO,97
109,REP,YES,550
109,,Over Votes,0
109,,Under Votes,41
11,REP,NO,58
11,REP,YES,779
11,,Over Votes,1
11,,Under Votes,26
110,REP,NO,92
110,REP,YES,370
110,,Over Votes,0
110,,Under Votes,25
111,REP,NO,73
111,REP,YES,410
111,,Over Votes,0
111,,Under Votes,24
112,REP,NO,87
112,REP,YES,356
112,,Over Votes,0
112,,Under Votes,33
113,REP,NO,40
113,REP,YES,317
113,,Over Votes,0
113,,Under Votes,15
114,REP,NO,50
114,REP,YES,487
114,,Over Votes,0
114,,Under Votes,20
115,REP,NO,74
115,REP,YES,307
115,,Over Votes,0
115,,Under Votes,34
116,REP,NO,157
116,REP,YES,641
116,,Over Votes,0
116,,Under Votes,46
117,REP,NO,46
117,REP,YES,390
117,,Over Votes,0
117,,Under Votes,10
118,REP,NO,76
118,REP,YES,465
118,,Over Votes,1
118,,Under Votes,28
119,REP,NO,67
119,REP,YES,271
119,,Over Votes,0
119,,Under Votes,33
12,REP,NO,33
12,REP,YES,318
12,,Over Votes,0
12,,Under Votes,20
120,REP,NO,140
120,REP,YES,537
120,,Over Votes,2
120,,Under Votes,46
121,REP,NO,29
121,REP,YES,215
121,,Over Votes,0
