precinct,party,candidate,votes
1,REP,Bo French,158
1,REP,Hawk Dunlap,22
1,REP,James (Jim) Matlock,50
1,REP,Jim Wright,103
1,REP,Katherine Culbert,42
1,,Over Votes,0
1,,Under Votes,73
10,REP,Bo French,92
10,REP,Hawk Dunlap,15
10,REP,James (Jim) Matlock,29
10,REP,Jim Wright,68
10,REP,Katherine Culbert,11
10,,Over Votes,0
10,,Under Votes,29
100,REP,Bo French,109
100,REP,Hawk Dunlap,7
100,REP,James (Jim) Matlock,39
100,REP,Jim Wright,65
100,REP,Katherine Culbert,11
100,,Over Votes,0
100,,Under Votes,12
101,REP,Bo French,179
101,REP,Hawk Dunlap,20
101,REP,James (Jim) Matlock,72
101,REP,Jim Wright,116
101,REP,Katherine Culbert,37
101,,Over Votes,1
101,,Under Votes,55
102,REP,Bo French,250
102,REP,Hawk Dunlap,18
102,REP,James (Jim) Matlock,59
102,REP,Jim Wright,135
102,REP,Katherine Culbert,45
102,,Over Votes,0
102,,Under Votes,102
103,REP,Bo French,44
103,REP,Hawk Dunlap,1
103,REP,James (Jim) Matlock,12
103,REP,Jim Wright,36
103,REP,Katherine Culbert,5
103,,Over Votes,0
103,,Under Votes,15
104,REP,Bo French,43
104,REP,Hawk Dunlap,6
104,REP,James (Jim) Matlock,15
104,REP,Jim Wright,36
104,REP,Katherine Culbert,16
104,,Over Votes,0
104,,Under Votes,28
105,REP,Bo French,2
105,REP,Hawk Dunlap,0
105,REP,James (Jim) Matlock,2
105,REP,Jim Wright,0
105,REP,Katherine Culbert,0
105,,Over Votes,0
105,,Under Votes,1
106,REP,Bo French,112
106,REP,Hawk Dunlap,13
106,REP,James (Jim) Matlock,35
106,REP,Jim Wright,43
106,REP,Katherine Culbert,27
106,,Over Votes,0
106,,Under Votes,21
107,REP,Bo French,189
107,REP,Hawk Dunlap,16
107,REP,James (Jim) Matlock,48
107,REP,Jim Wright,116
107,REP,Katherine Culbert,46
107,,Over Votes,0
107,,Under Votes,56
108,REP,Bo French,135
108,REP,Hawk Dunlap,12
108,REP,James (Jim) Matlock,45
108,REP,Jim Wright,67
108,REP,Katherine Culbert,38
108,,Over Votes,0
108,,Under Votes,57
109,REP,Bo French,333
109,REP,Hawk Dunlap,18
109,REP,James (Jim) Matlock,62
109,REP,Jim Wright,128
109,REP,Katherine Culbert,48
109,,Over Votes,1
109,,Under Votes,98
11,REP,Bo French,337
11,REP,Hawk Dunlap,37
11,REP,James (Jim) Matlock,121
11,REP,Jim Wright,214
11,REP,Katherine Culbert,41
11,,Over Votes,0
11,,Under Votes,114
110,REP,Bo French,203
110,REP,Hawk Dunlap,18
110,REP,James (Jim) Matlock,51
110,REP,Jim Wright,100
110,REP,Katherine Culbert,39
110,,Over Votes,1
110,,Under Votes,75
111,REP,Bo French,214
111,REP,Hawk Dunlap,17
111,REP,James (Jim) Matlock,52
111,REP,Jim Wright,123
111,REP,Katherine Culbert,37
111,,Over Votes,0
111,,Under Votes,64
112,REP,Bo French,163
112,REP,Hawk Dunlap,37
112,REP,James (Jim) Matlock,38
112,REP,Jim Wright,107
112,REP,Katherine Culbert,44
112,,Over Votes,0
112,,Under Votes,87
113,REP,Bo French,164
113,REP,Hawk Dunlap,15
113,REP,James (Jim) Matlock,46
113,REP,Jim Wright,74
113,REP,Katherine Culbert,31
113,,Over Votes,0
113,,Under Votes,42
114,REP,Bo French,221
114,REP,Hawk Dunlap,24
114,REP,James (Jim) Matlock,83
114,REP,Jim Wright,118
114,REP,Katherine Culbert,33
114,,Over Votes,0
114,,Under Votes,78
115,REP,Bo French,159
115,REP,Hawk Dunlap,13
115,REP,James (Jim) Matlock,33
115,REP,Jim Wright,90
115,REP,Katherine Culbert,41
115,,Over Votes,1
115,,Under Votes,78
116,REP,Bo French,328
116,REP,Hawk Dunlap,28
116,REP,James (Jim) Matlock,68
116,REP,Jim Wright,186
116,REP,Katherine Culbert,81
116,,Over Votes,1
116,,Under Votes,152
117,REP,Bo French,171
117,REP,Hawk Dunlap,22
117,REP,James (Jim) Matlock,49
117,REP,Jim Wright,110
117,REP,Katherine Culbert,36
117,,Over Votes,0
117,,Under Votes,58
118,REP,Bo French,231
118,REP,Hawk Dunlap,35
118,REP,James (Jim) Matlock,73
118,REP,Jim Wright,133
118,REP,Katherine Culbert,42
118,,Over Votes,0
118,,Under Votes,56
119,REP,Bo French,134
119,REP,Hawk Dunlap,18
119,REP,James (Jim) Matlock,37
119,REP,Jim Wright,90
119,REP,Katherine Culbert,28
119,,Over Votes,0
119,,Under Votes,64
12,REP,Bo French,158
12,REP,Hawk Dunlap,14
12,REP,James (Jim) Matlock,40
12,REP,Jim Wright,76
12,REP,Katherine Culbert,31
12,,Over Votes,0
12,,Under Votes,52
120,REP,Bo French,247
120,REP,Hawk Dunlap,34
120,REP,James (Jim) Matlock,69
120,REP,Jim Wright,207
120,REP,Katherine Culbert,61
120,,Over Votes,0
120,,Under Votes,107
121,REP,Bo French,101
121,REP,Hawk Dunlap,13
121,REP,James (Jim) Matlock,31
121,REP,Jim Wright,57
121,REP,Katherine Culbert,20
121,,Over Votes,0
121,,Under Votes,40
122,REP,Bo French,423
122,REP,Hawk Dunlap,25
122,REP,James (Jim) Matlock,97
122,REP,Jim Wright,197
122,REP,Katherine Culbert,85
122,,Over Votes,0
122,,Under Votes,153
123,REP,Bo French,145
123,REP,Hawk Dunlap,4
123,REP,James (Jim) Matlock,45
123,REP,Jim Wright,71
123,REP,Katherine Culbert,29
123,,Over Votes,0
123,,Under Votes,39
124,REP,Bo French,155
124,REP,Hawk Dunlap,11
124,REP,James (Jim) Matlock,50
124,REP,Jim Wright,83
124,REP,Katherine Culbert,34
124,,Over Votes,0
124,,Under Votes,46
125,REP,Bo French,66
125,REP,Hawk Dunlap,6
125,REP,James (Jim) Matlock,37
125,REP,Jim Wright,51
125,REP,Katherine Culbert,14
125,,Over Votes,0
125,,Under Votes,112
126,REP,Bo French,234
126,REP,Hawk Dunlap,26
126,REP,James (Jim) Matlock,70
126,REP,Jim Wright,134
126,REP,Katherine Culbert,51
126,,Over Votes,0
126,,Under Votes,86
127,REP,Bo French,181
127,REP,Hawk Dunlap,17
127,REP,James (Jim) Matlock,63
127,REP,Jim Wright,96
127,REP,Katherine Culbert,27
127,,Over Votes,0
127,,Under Votes,50
128,REP,Bo French,323
128,REP,Hawk Dunlap,38
128,REP,James (Jim) Matlock,84
128,REP,Jim Wright,175
128,REP,Katherine Culbert,47
128,,Over Votes,0
128,,Under Votes,108
129,REP,Bo French,212
129,REP,Hawk Dunlap,16
129,REP,James (Jim) Matlock,85
129,REP,Jim Wright,164
129,REP,Katherine Culbert,34
129,,Over Votes,1
129,,Under Votes,98
13,REP,Bo French,210
13,REP,Hawk Dunlap,17
13,REP,James (Jim) Matlock,71
13,REP,Jim Wright,120
13,REP,Katherine Culbert,32
13,,Over Votes,0
13,,Under Votes,73
130,REP,Bo French,198
130,REP,Hawk Dunlap,21
130,REP,James (Jim) Matlock,40
130,REP,Jim Wright,118
130,REP,Katherine Culbert,35
130,,Over Votes,1
130,,Under Votes,79
131,REP,Bo French,220
131,REP,Hawk Dunlap,29
131,REP,James (Jim) Matlock,45
131,REP,Jim Wright,102
131,REP,Katherine Culbert,53
131,,Over Votes,0
131,,Under Votes,88
132,REP,Bo French,129
132,REP,Hawk Dunlap,12
132,REP,James (Jim) Matlock,31
132,REP,Jim Wright,69
132,REP,Katherine Culbert,32
132,,Over Votes,0
132,,Under Votes,47
133,REP,Bo French,102
133,REP,Hawk Dunlap,15
133,REP,James (Jim) Matlock,43
133,REP,Jim Wright,93
133,REP,Katherine Culbert,23
133,,Over Votes,0
133,,Under Votes,45
134,REP,Bo French,140
134,REP,Hawk Dunlap,20
134,REP,James (Jim) Matlock,59
134,REP,Jim Wright,94
134,REP,Katherine Culbert,25
134,,Over Votes,1
134,,Under Votes,38
135,REP,Bo French,154
135,REP,Hawk Dunlap,26
135,REP,James (Jim) Matlock,33
135,REP,Jim Wright,92
135,REP,Katherine Culbert,41
135,,Over Votes,0
135,,Under Votes,82
136,REP,Bo French,130
136,REP,Hawk Dunlap,13
136,REP,James (Jim) Matlock,32
136,REP,Jim Wright,84
136,REP,Katherine Culbert,43
136,,Over Votes,0
136,,Under Votes,71
137,REP,Bo French,134
137,REP,Hawk Dunlap,14
137,REP,James (Jim) Matlock,22
137,REP,Jim Wright,67
137,REP,Katherine Culbert,40
137,,Over Votes,0
137,,Under Votes,54
138,REP,Bo French,137
138,REP,Hawk Dunlap,15
138,REP,James (Jim) Matlock,33
138,REP,Jim Wright,82
138,REP,Katherine Culbert,40
138,,Over Votes,0
138,,Under Votes,55
139,REP,Bo French,128
139,REP,Hawk Dunlap,19
139,REP,James (Jim) Matlock,54
139,REP,Jim Wright,71
139,REP,Katherine Culbert,45
139,,Over Votes,0
139,,Under Votes,81
14,REP,Bo French,104
14,REP,Hawk Dunlap,8
14,REP,James (Jim) Matlock,34
14,REP,Jim Wright,81
14,REP,Katherine Culbert,22
14,,Over Votes,0
14,,Under Votes,35
140,REP,Bo French,426
140,REP,Hawk Dunlap,25
140,REP,James (Jim) Matlock,112
140,REP,Jim Wright,209
140,REP,Katherine Culbert,67
140,,Over Votes,1
140,,Under Votes,137
141,REP,Bo French,227
141,REP,Hawk Dunlap,27
141,REP,James (Jim) Matlock,70
141,REP,Jim Wright,119
141,REP,Katherine Culbert,43
141,,Over Votes,1
141,,Under Votes,116
142,REP,Bo French,160
142,REP,Hawk Dunlap,18
142,REP,James (Jim) Matlock,40
142,REP,Jim Wright,76
142,REP,Katherine Culbert,47
142,,Over Votes,1
142,,Under Votes,58
143,REP,Bo French,132
143,REP,Hawk Dunlap,14
143,REP,James (Jim) Matlock,35
143,REP,Jim Wright,82
143,REP,Katherine Culbert,30
143,,Over Votes,1
143,,Under Votes,45
144,REP,Bo French,261
144,REP,Hawk Dunlap,24
144,REP,James (Jim) Matlock,60
144,REP,Jim Wright,90
144,REP,Katherine Culbert,33
144,,Over Votes,0
144,,Under Votes,91
145,REP,Bo French,78
145,REP,Hawk Dunlap,14
145,REP,James (Jim) Matlock,28
145,REP,Jim Wright,46
145,REP,Katherine Culbert,13
145,,Over Votes,0
145,,Under Votes,18
146,REP,Bo French,155
146,REP,Hawk Dunlap,28
146,REP,James (Jim) Matlock,73
146,REP,Jim Wright,115
146,REP,Katherine Culbert,43
146,,Over Votes,0
146,,Under Votes,75
147,REP,Bo French,74
147,REP,Hawk Dunlap,8
147,REP,James (Jim) Matlock,32
147,REP,Jim Wright,66
147,REP,Katherine Culbert,15
147,,Over Votes,0
147,,Under Votes,27
148,REP,Bo French,55
148,REP,Hawk Dunlap,11
148,REP,James (Jim) Matlock,28
148,REP,Jim Wright,52
148,REP,Katherine Culbert,31
148,,Over Votes,0
148,,Under Votes,109
149,REP,Bo French,268
149,REP,Hawk Dunlap,18
149,REP,James (Jim) Matlock,103
149,REP,Jim Wright,185
149,REP,Katherine Culbert,67
149,,Over Votes,0
149,,Under Votes,100
15,REP,Bo French,63
15,REP,Hawk Dunlap,7
15,REP,James (Jim) Matlock,18
15,REP,Jim Wright,25
15,REP,Katherine Culbert,15
15,,Over Votes,0
15,,Under Votes,15
150,REP,Bo French,213
150,REP,Hawk Dunlap,22
150,REP,James (Jim) Matlock,129
150,REP,Jim Wright,130
150,REP,Katherine Culbert,40
150,,Over Votes,0
150,,Under Votes,64
151,REP,Bo French,86
151,REP,Hawk Dunlap,7
151,REP,James (Jim) Matlock,17
151,REP,Jim Wright,43
151,REP,Katherine Culbert,10
151,,Over Votes,1
151,,Under Votes,25
152,REP,Bo French,4
152,REP,Hawk Dunlap,0
152,REP,James (Jim) Matlock,0
152,REP,Jim Wright,4
152,REP,Katherine Culbert,1
152,,Over Votes,0
152,,Under Votes,1
153,REP,Bo French,30
153,REP,Hawk Dunlap,10
153,REP,James (Jim) Matlock,27
153,REP,Jim Wright,36
153,REP,Katherine Culbert,16
153,,Over Votes,0
153,,Under Votes,38
154,REP,Bo French,191
154,REP,Hawk Dunlap,27
154,REP,James (Jim) Matlock,72
154,REP,Jim Wright,144
154,REP,Katherine Culbert,30
154,,Over Votes,0
154,,Under Votes,65
155,REP,Bo French,166
155,REP,Hawk Dunlap,20
155,REP,James (Jim) Matlock,59
155,REP,Jim Wright,68
155,REP,Katherine Culbert,29
155,,Over Votes,0
155,,Under Votes,66
156,REP,Bo French,172
156,REP,Hawk Dunlap,23
156,REP,James (Jim) Matlock,56
156,REP,Jim Wright,115
156,REP,Katherine Culbert,40
156,,Over Votes,0
156,,Under Votes,72
157,REP,Bo French,209
157,REP,Hawk Dunlap,24
157,REP,James (Jim) Matlock,46
157,REP,Jim Wright,153
157,REP,Katherine Culbert,40
157,,Over Votes,0
157,,Under Votes,76
158,REP,Bo French,95
158,REP,Hawk Dunlap,11
158,REP,James (Jim) Matlock,38
158,REP,Jim Wright,83
158,REP,Katherine Culbert,23
158,,Over Votes,0
158,,Under Votes,68
159,REP,Bo French,107
159,REP,Hawk Dunlap,21
159,REP,James (Jim) Matlock,37
159,REP,Jim Wright,70
159,REP,Katherine Culbert,23
159,,Over Votes,0
159,,Under Votes,81
16,REP,Bo French,181
16,REP,Hawk Dunlap,20
16,REP,James (Jim) Matlock,60
16,REP,Jim Wright,89
16,REP,Katherine Culbert,26
16,,Over Votes,0
