precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,28
101,DEM,Robert Johnson,219
101,REP,"Jesse F. McClure, III",846
102,,Over Votes,0
102,,Under Votes,3
102,DEM,Robert Johnson,25
102,REP,"Jesse F. McClure, III",126
103,,Over Votes,0
103,,Under Votes,7
103,DEM,Robert Johnson,26
103,REP,"Jesse F. McClure, III",320
201,,Over Votes,0
201,,Under Votes,44
201,DEM,Robert Johnson,285
201,REP,"Jesse F. McClure, III",1469
202,,Over Votes,0
202,,Under Votes,3
202,DEM,Robert Johnson,30
202,REP,"Jesse F. McClure, III",317
302,,Over Votes,0
302,,Under Votes,20
302,DEM,Robert Johnson,73
302,REP,"Jesse F. McClure, III",669
303,,Over Votes,0
303,,Under Votes,7
303,DEM,Robert Johnson,47
303,REP,"Jesse F. McClure, III",355
304,,Over Votes,0
304,,Under Votes,7
304,DEM,Robert Johnson,38
304,REP,"Jesse F. McClure, III",311
305,,Over Votes,0
305,,Under Votes,25
305,DEM,Robert Johnson,175
305,REP,"Jesse F. McClure, III",823
401,,Over Votes,0
401,,Under Votes,6
401,DEM,Robert Johnson,58
401,REP,"Jesse F. McClure, III",186
402,,Over Votes,0
402,,Under Votes,36
402,DEM,Robert Johnson,376
402,REP,"Jesse F. McClure, III",631
