precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,29
101,DEM,William Demond,216
101,REP,Randy Wilson,848
102,,Over Votes,0
102,,Under Votes,3
102,DEM,William Demond,25
102,REP,Randy Wilson,126
103,,Over Votes,0
103,,Under Votes,8
103,DEM,William Demond,23
103,REP,Randy Wilson,322
201,,Over Votes,0
201,,Under Votes,47
201,DEM,William Demond,279
201,REP,Randy Wilson,1472
202,,Over Votes,0
202,,Under Votes,4
202,DEM,William Demond,28
202,REP,Randy Wilson,318
302,,Over Votes,0
302,,Under Votes,19
302,DEM,William Demond,76
302,REP,Randy Wilson,667
303,,Over Votes,0
303,,Under Votes,8
303,DEM,William Demond,46
303,REP,Randy Wilson,355
304,,Over Votes,0
304,,Under Votes,10
304,DEM,William Demond,34
304,REP,Randy Wilson,312
305,,Over Votes,0
305,,Under Votes,32
305,DEM,William Demond,172
305,REP,Randy Wilson,819
401,,Over Votes,0
401,,Under Votes,6
401,DEM,William Demond,57
401,REP,Randy Wilson,187
402,,Over Votes,0
402,,Under Votes,42
402,DEM,William Demond,364
402,REP,Randy Wilson,637
