precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,20
101,DEM,Erin A. Nowell,208
101,LIB,Thomas Edward Oxford,22
101,REP,Debra Lehrmann,843
102,,Over Votes,0
102,,Under Votes,3
102,DEM,Erin A. Nowell,22
102,LIB,Thomas Edward Oxford,3
102,REP,Debra Lehrmann,126
103,,Over Votes,0
103,,Under Votes,5
103,DEM,Erin A. Nowell,24
103,LIB,Thomas Edward Oxford,0
103,REP,Debra Lehrmann,324
201,,Over Votes,0
201,,Under Votes,39
201,DEM,Erin A. Nowell,278
201,LIB,Thomas Edward Oxford,13
201,REP,Debra Lehrmann,1468
202,,Over Votes,0
202,,Under Votes,4
202,DEM,Erin A. Nowell,30
202,LIB,Thomas Edward Oxford,6
202,REP,Debra Lehrmann,310
302,,Over Votes,0
302,,Under Votes,12
302,DEM,Erin A. Nowell,77
302,LIB,Thomas Edward Oxford,5
302,REP,Debra Lehrmann,668
303,,Over Votes,0
303,,Under Votes,7
303,DEM,Erin A. Nowell,44
303,LIB,Thomas Edward Oxford,8
303,REP,Debra Lehrmann,350
304,,Over Votes,0
304,,Under Votes,4
304,DEM,Erin A. Nowell,36
304,LIB,Thomas Edward Oxford,3
304,REP,Debra Lehrmann,313
305,,Over Votes,0
305,,Under Votes,22
305,DEM,Erin A. Nowell,171
305,LIB,Thomas Edward Oxford,21
305,REP,Debra Lehrmann,809
401,,Over Votes,0
401,,Under Votes,6
401,DEM,Erin A. Nowell,57
401,LIB,Thomas Edward Oxford,5
401,REP,Debra Lehrmann,182
402,,Over Votes,0
402,,Under Votes,30
402,DEM,Erin A. Nowell,369
402,LIB,Thomas Edward Oxford,10
402,REP,Debra Lehrmann,634
