precinct,party,candidate,votes
101,DEM,Tina Clinton,936
101,REP,Kevin Patrick Yeary,2039
102,DEM,Tina Clinton,632
102,REP,Kevin Patrick Yeary,2753
103,DEM,Tina Clinton,686
103,REP,Kevin Patrick Yeary,2693
104,DEM,Tina Clinton,356
104,REP,Kevin Patrick Yeary,1325
105,DEM,Tina Clinton,655
105,REP,Kevin Patrick Yeary,2272
106,DEM,Tina Clinton,785
106,REP,Kevin Patrick Yeary,3503
107,DEM,Tina Clinton,731
107,REP,Kevin Patrick Yeary,2236
108,DEM,Tina Clinton,328
108,REP,Kevin Patrick Yeary,1136
201,DEM,Tina Clinton,1226
201,REP,Kevin Patrick Yeary,2566
202,DEM,Tina Clinton,294
202,REP,Kevin Patrick Yeary,648
203,DEM,Tina Clinton,929
203,REP,Kevin Patrick Yeary,3047
204,DEM,Tina Clinton,680
204,REP,Kevin Patrick Yeary,2463
205,DEM,Tina Clinton,1255
205,REP,Kevin Patrick Yeary,3215
206,DEM,Tina Clinton,1125
206,REP,Kevin Patrick Yeary,4066
207,DEM,Tina Clinton,387
207,REP,Kevin Patrick Yeary,1533
208,DEM,Tina Clinton,391
208,REP,Kevin Patrick Yeary,1401
301,DEM,Tina Clinton,1341
301,REP,Kevin Patrick Yeary,1544
302,DEM,Tina Clinton,1259
302,REP,Kevin Patrick Yeary,2307
303,DEM,Tina Clinton,348
303,REP,Kevin Patrick Yeary,317
304,DEM,Tina Clinton,1192
304,REP,Kevin Patrick Yeary,1919
305,DEM,Tina Clinton,758
305,REP,Kevin Patrick Yeary,1751
306,DEM,Tina Clinton,618
306,REP,Kevin Patrick Yeary,1112
401,DEM,Tina Clinton,498
401,REP,Kevin Patrick Yeary,1250
402,DEM,Tina Clinton,958
402,REP,Kevin Patrick Yeary,2909
403,DEM,Tina Clinton,1090
403,REP,Kevin Patrick Yeary,3928
404,DEM,Tina Clinton,753
404,REP,Kevin Patrick Yeary,2462
405,DEM,Tina Clinton,723
405,REP,Kevin Patrick Yeary,2829
406,DEM,Tina Clinton,1118
406,REP,Kevin Patrick Yeary,2915
407,DEM,Tina Clinton,521
407,REP,Kevin Patrick Yeary,2002
