precinct,party,candidate,votes
101,,Write-in,1
101,DEM,Joseph R Biden,1073
101,GRN,Howie Hawkins,9
101,LIB,Jo Jorgensen,46
101,REP,Donald J Trump,1926
102,,Write-in,3
102,DEM,Joseph R Biden,707
102,GRN,Howie Hawkins,12
102,LIB,Jo Jorgensen,30
102,REP,Donald J Trump,2708
103,,Write-in,0
103,DEM,Joseph R Biden,810
103,GRN,Howie Hawkins,2
103,LIB,Jo Jorgensen,47
103,REP,Donald J Trump,2610
104,,Write-in,0
104,DEM,Joseph R Biden,404
104,GRN,Howie Hawkins,4
104,LIB,Jo Jorgensen,17
104,REP,Donald J Trump,1303
105,,Write-in,2
105,DEM,Joseph R Biden,695
105,GRN,Howie Hawkins,7
105,LIB,Jo Jorgensen,31
105,REP,Donald J Trump,2261
106,,Write-in,0
106,DEM,Joseph R Biden,868
106,GRN,Howie Hawkins,10
106,LIB,Jo Jorgensen,50
106,REP,Donald J Trump,3452
107,,Write-in,0
107,DEM,Joseph R Biden,846
107,GRN,Howie Hawkins,4
107,LIB,Jo Jorgensen,22
107,REP,Donald J Trump,2149
108,,Write-in,0
108,DEM,Joseph R Biden,367
108,GRN,Howie Hawkins,3
108,LIB,Jo Jorgensen,15
108,REP,Donald J Trump,1118
201,,Write-in,4
201,DEM,Joseph R Biden,1313
201,GRN,Howie Hawkins,8
201,LIB,Jo Jorgensen,51
201,REP,Donald J Trump,2525
202,,Write-in,0
202,DEM,Joseph R Biden,311
202,GRN,Howie Hawkins,5
202,LIB,Jo Jorgensen,9
202,REP,Donald J Trump,649
203,,Write-in,0
203,DEM,Joseph R Biden,1048
203,GRN,Howie Hawkins,5
203,LIB,Jo Jorgensen,47
203,REP,Donald J Trump,2962
204,,Write-in,3
204,DEM,Joseph R Biden,744
204,GRN,Howie Hawkins,10
204,LIB,Jo Jorgensen,35
204,REP,Donald J Trump,2414
205,,Write-in,0
205,DEM,Joseph R Biden,1431
205,GRN,Howie Hawkins,10
205,LIB,Jo Jorgensen,39
205,REP,Donald J Trump,3080
206,,Write-in,0
206,DEM,Joseph R Biden,1238
206,GRN,Howie Hawkins,8
206,LIB,Jo Jorgensen,52
206,REP,Donald J Trump,3990
207,,Write-in,0
207,DEM,Joseph R Biden,438
207,GRN,Howie Hawkins,3
207,LIB,Jo Jorgensen,19
207,REP,Donald J Trump,1509
208,,Write-in,2
208,DEM,Joseph R Biden,438
208,GRN,Howie Hawkins,2
208,LIB,Jo Jorgensen,17
208,REP,Donald J Trump,1374
301,,Write-in,1
301,DEM,Joseph R Biden,1363
301,GRN,Howie Hawkins,8
301,LIB,Jo Jorgensen,72
301,REP,Donald J Trump,1537
302,,Write-in,4
302,DEM,Joseph R Biden,1399
302,GRN,Howie Hawkins,10
302,LIB,Jo Jorgensen,59
302,REP,Donald J Trump,2185
303,,Write-in,0
303,DEM,Joseph R Biden,365
303,GRN,Howie Hawkins,1
303,LIB,Jo Jorgensen,15
303,REP,Donald J Trump,314
304,,Write-in,0
304,DEM,Joseph R Biden,1248
304,GRN,Howie Hawkins,15
304,LIB,Jo Jorgensen,64
304,REP,Donald J Trump,1903
305,,Write-in,0
305,DEM,Joseph R Biden,826
305,GRN,Howie Hawkins,6
305,LIB,Jo Jorgensen,46
305,REP,Donald J Trump,1697
306,,Write-in,0
306,DEM,Joseph R Biden,666
306,GRN,Howie Hawkins,4
306,LIB,Jo Jorgensen,36
306,REP,Donald J Trump,1086
401,,Write-in,3
401,DEM,Joseph R Biden,568
401,GRN,Howie Hawkins,5
401,LIB,Jo Jorgensen,24
401,REP,Donald J Trump,1204
402,,Write-in,2
402,DEM,Joseph R Biden,1007
402,GRN,Howie Hawkins,5
402,LIB,Jo Jorgensen,43
402,REP,Donald J Trump,2888
403,,Write-in,1
403,DEM,Joseph R Biden,1199
403,GRN,Howie Hawkins,14
403,LIB,Jo Jorgensen,58
403,REP,Donald J Trump,3870
404,,Write-in,0
404,DEM,Joseph R Biden,835
404,GRN,Howie Hawkins,10
404,LIB,Jo Jorgensen,35
404,REP,Donald J Trump,2424
405,,Write-in,2
405,DEM,Joseph R Biden,776
405,GRN,Howie Hawkins,3
405,LIB,Jo Jorgensen,36
405,REP,Donald J Trump,2824
406,,Write-in,1
406,DEM,Joseph R Biden,1232
406,GRN,Howie Hawkins,8
406,LIB,Jo Jorgensen,64
406,REP,Donald J Trump,2849
407,,Write-in,0
407,DEM,Joseph R Biden,611
407,GRN,Howie Hawkins,0
407,LIB,Jo Jorgensen,27
407,REP,Donald J Trump,1929
