precinct,party,candidate,votes
1,DEM,Brandon Birmingham,127
1,REP,David Newell,873
10,DEM,Brandon Birmingham,39
10,REP,David Newell,259
11,DEM,Brandon Birmingham,74
11,REP,David Newell,315
12,DEM,Brandon Birmingham,207
12,REP,David Newell,1101
13,DEM,Brandon Birmingham,27
13,REP,David Newell,153
14,DEM,Brandon Birmingham,14
14,REP,David Newell,76
15,DEM,Brandon Birmingham,28
15,REP,David Newell,311
16,DEM,Brandon Birmingham,3
16,REP,David Newell,75
2,DEM,Brandon Birmingham,140
2,REP,David Newell,916
4,DEM,Brandon Birmingham,13
4,REP,David Newell,55
5,DEM,Brandon Birmingham,63
5,REP,David Newell,409
6,DEM,Brandon Birmingham,33
6,REP,David Newell,226
7,DEM,Brandon Birmingham,30
7,REP,David Newell,174
9,DEM,Brandon Birmingham,13
9,REP,David Newell,99
