precinct,party,candidate,votes
101,,Over Votes,0
101,,Under Votes,5
101,DEM,"Mary ""MJ"" Hegar",41
101,GRN,David B. Collins,2
101,LIB,Kerry Douglas McKennon,8
101,REP,John Cornyn,276
102,,Over Votes,0
102,,Under Votes,1
102,DEM,"Mary ""MJ"" Hegar",15
102,GRN,David B. Collins,1
102,LIB,Kerry Douglas McKennon,3
102,REP,John Cornyn,59
203,,Over Votes,0
203,,Under Votes,1
203,DEM,"Mary ""MJ"" Hegar",4
203,GRN,David B. Collins,0
203,LIB,Kerry Douglas McKennon,3
203,REP,John Cornyn,107
204,,Over Votes,0
204,,Under Votes,4
204,DEM,"Mary ""MJ"" Hegar",15
204,GRN,David B. Collins,0
204,LIB,Kerry Douglas McKennon,0
204,REP,John Cornyn,71
205,,Over Votes,0
205,,Under Votes,5
205,DEM,"Mary ""MJ"" Hegar",19
205,GRN,David B. Collins,0
205,LIB,Kerry Douglas McKennon,1
205,REP,John Cornyn,99
306,,Over Votes,0
306,,Under Votes,10
306,DEM,"Mary ""MJ"" Hegar",52
306,GRN,David B. Collins,1
306,LIB,Kerry Douglas McKennon,1
306,REP,John Cornyn,173
407,,Over Votes,0
407,,Under Votes,0
407,DEM,"Mary ""MJ"" Hegar",1
407,GRN,David B. Collins,0
407,LIB,Kerry Douglas McKennon,0
407,REP,John Cornyn,80
408,,Over Votes,0
408,,Under Votes,6
408,DEM,"Mary ""MJ"" Hegar",46
408,GRN,David B. Collins,1
408,LIB,Kerry Douglas McKennon,4
408,REP,John Cornyn,164
