precinct,party,candidate,votes
101,DEM,Rochelle Mercedes Garza,782
101,LIB,Mark Ash,94
101,REP,Ken Paxton,1396
102,DEM,Rochelle Mercedes Garza,75
102,LIB,Mark Ash,11
102,REP,Ken Paxton,747
103,DEM,Rochelle Mercedes Garza,20
103,LIB,Mark Ash,7
103,REP,Ken Paxton,179
104,DEM,Rochelle Mercedes Garza,696
104,LIB,Mark Ash,90
104,REP,Ken Paxton,1178
205,DEM,Rochelle Mercedes Garza,154
205,LIB,Mark Ash,37
205,REP,Ken Paxton,1053
206,DEM,Rochelle Mercedes Garza,285
206,LIB,Mark Ash,25
206,REP,Ken Paxton,317
207,DEM,Rochelle Mercedes Garza,743
207,LIB,Mark Ash,65
207,REP,Ken Paxton,986
308,DEM,Rochelle Mercedes Garza,282
308,LIB,Mark Ash,58
308,REP,Ken Paxton,1755
309,DEM,Rochelle Mercedes Garza,34
309,LIB,Mark Ash,17
309,REP,Ken Paxton,371
310,DEM,Rochelle Mercedes Garza,71
310,LIB,Mark Ash,8
310,REP,Ken Paxton,445
311,DEM,Rochelle Mercedes Garza,20
311,LIB,Mark Ash,2
311,REP,Ken Paxton,15
412,DEM,Rochelle Mercedes Garza,458
412,LIB,Mark Ash,56
412,REP,Ken Paxton,828
413,DEM,Rochelle Mercedes Garza,215
413,LIB,Mark Ash,40
413,REP,Ken Paxton,1056
414,DEM,Rochelle Mercedes Garza,13
414,LIB,Mark Ash,6
414,REP,Ken Paxton,230
415,DEM,Rochelle Mercedes Garza,16
415,LIB,Mark Ash,1
415,REP,Ken Paxton,136
416,DEM,Rochelle Mercedes Garza,503
416,LIB,Mark Ash,52
416,REP,Ken Paxton,610
