precinct,party,candidate,votes
101,DEM,Janet T. Dudding,737
101,LIB,V. Alonzo Echevarria-Garza,89
101,REP,Glenn Hegar,1443
102,DEM,Janet T. Dudding,68
102,LIB,V. Alonzo Echevarria-Garza,2
102,REP,Glenn Hegar,757
103,DEM,Janet T. Dudding,18
103,LIB,V. Alonzo Echevarria-Garza,4
103,REP,Glenn Hegar,184
104,DEM,Janet T. Dudding,662
104,LIB,V. Alonzo Echevarria-Garza,65
104,REP,Glenn Hegar,1232
205,DEM,Janet T. Dudding,157
205,LIB,V. Alonzo Echevarria-Garza,13
205,REP,Glenn Hegar,1075
206,DEM,Janet T. Dudding,265
206,LIB,V. Alonzo Echevarria-Garza,19
206,REP,Glenn Hegar,339
207,DEM,Janet T. Dudding,723
207,LIB,V. Alonzo Echevarria-Garza,58
207,REP,Glenn Hegar,1012
308,DEM,Janet T. Dudding,259
308,LIB,V. Alonzo Echevarria-Garza,33
308,REP,Glenn Hegar,1805
309,DEM,Janet T. Dudding,34
309,LIB,V. Alonzo Echevarria-Garza,12
309,REP,Glenn Hegar,376
310,DEM,Janet T. Dudding,69
310,LIB,V. Alonzo Echevarria-Garza,7
310,REP,Glenn Hegar,444
311,DEM,Janet T. Dudding,22
311,LIB,V. Alonzo Echevarria-Garza,1
311,REP,Glenn Hegar,14
412,DEM,Janet T. Dudding,435
412,LIB,V. Alonzo Echevarria-Garza,44
412,REP,Glenn Hegar,853
413,DEM,Janet T. Dudding,203
413,LIB,V. Alonzo Echevarria-Garza,25
413,REP,Glenn Hegar,1075
414,DEM,Janet T. Dudding,13
414,LIB,V. Alonzo Echevarria-Garza,1
414,REP,Glenn Hegar,235
415,DEM,Janet T. Dudding,16
415,LIB,V. Alonzo Echevarria-Garza,0
415,REP,Glenn Hegar,136
416,DEM,Janet T. Dudding,501
416,LIB,V. Alonzo Echevarria-Garza,41
416,REP,Glenn Hegar,619
